pattern	subject	regime	expected	start	end	nmatches	method	oracle
w-8	f-w0	match	match	0	12	-	libpcre2-differential	10.46 2025-08-27
w-8	f-w7	match	match	0	4	-	libpcre2-differential	10.46 2025-08-27
w-8	f-w255	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	f-w511	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	f-w2047	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	f-s0	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	f-s4095	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	f-sh1	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	f-pfx3	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	f-sfx	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	f-nar4	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	f-upper	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	f-cnt2	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	f-near	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	f-prefix	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	f-glued	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	f-bg	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	l-w0-early	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	l-w0-last	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	l-w7-mid	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	l-w255-mid	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	l-w511-last	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	l-w1023-early	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	l-w2047-early	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	l-s4095-mid	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	l-sh1-mid	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	l-pfx3-mid	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	l-sfx-mid	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	l-nar4-mid	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	l-upper	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	l-glued	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
w-8	l-cnt2	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
