pattern	bytes	branches	branch_bytes	distinct_first	max_first_run	shared_prefix	shared_suffix	trie_nodes	first_code_unit	required_code_unit	min_length	match_m_n	search_m_n	tput_m_n	oracle
w-8	56	8	4-12	6	2	0	0	43	bitmap-or-none	NONE	4	2/38	9/38	3/4	10.46 2025-08-27
w-64	526	64	3-12	24	2	0	0	413	bitmap-or-none	NONE	3	2/38	9/38	3/4	10.46 2025-08-27
w-256	2101	256	3-12	26	2	0	0	1575	bitmap-or-none	NONE	3	3/38	11/38	3/4	10.46 2025-08-27
w-512	4264	512	3-12	26	2	0	0	3118	bitmap-or-none	NONE	3	4/38	13/38	3/4	10.46 2025-08-27
w-1024	8705	1024	3-12	26	2	0	0	6169	bitmap-or-none	NONE	3	4/38	14/38	3/4	10.46 2025-08-27
w-2048	17495	2048	3-12	26	3	0	0	11918	bitmap-or-none	NONE	3	5/38	16/38	3/4	10.46 2025-08-27
s-2048	12140	2048	3-6	26	3	0	0	6566	bitmap-or-none	NONE	3	1/38	1/38	3/4	10.46 2025-08-27
s-4096	24343	4096	3-6	26	3	0	0	12363	bitmap-or-none	NONE	3	2/38	3/38	3/4	10.46 2025-08-27
sh1-64	548	64	3-12	1	64	1	0	376	k	NONE	3	1/38	2/38	3/4	10.46 2025-08-27
sh1-512	4641	512	3-12	1	512	1	0	2967	k	NONE	3	1/38	2/38	3/4	10.46 2025-08-27
pfx3-512	5093	512	6-12	1	512	3	0	2397	q	NONE	6	1/38	2/38	3/4	10.46 2025-08-27
sfx-64	646	64	6-12	25	2	0	3	538	bitmap-or-none	g	6	1/38	2/38	3/4	10.46 2025-08-27
sfx-512	5058	512	6-12	26	3	0	3	3900	bitmap-or-none	g	6	1/38	2/38	3/4	10.46 2025-08-27
nar4-64	571	64	4-12	4	4	0	0	426	bitmap-or-none	NONE	4	1/38	2/38	3/4	10.46 2025-08-27
nar4-512	4483	512	3-12	4	7	0	0	3006	bitmap-or-none	NONE	3	1/38	2/38	3/4	10.46 2025-08-27
srt-512	4264	512	3-12	26	28	0	0	3118	bitmap-or-none	NONE	3	4/38	13/38	3/4	10.46 2025-08-27
ci-512	4268	512	3-12	26	2	0	0	3118	bitmap-or-none	NONE	3	5/38	15/38	3/4	10.46 2025-08-27
cnt-64	531	64	3-12	24	2	0	0	413	bitmap-or-none	NONE	3	3/38	9/38	3/4	10.46 2025-08-27
wb-512	4268	512	3-12	26	2	0	0	3118	bitmap-or-none	NONE	3	4/38	9/38	3/4	10.46 2025-08-27
floor	1	1	1-1	1	1	1	1	1	#	NONE	1	0/38	21/38	0/4	10.46 2025-08-27
