pattern	subject	regime	expected	start	end	nmatches	method	oracle
year4	f-year-4	match	match	0	4	-	libpcre2-differential	10.46 2025-08-27
year4	f-year-3	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	f-year-5	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	f-hex-32	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	f-hex-31	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	f-hex-32g	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	f-pw-8	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	f-pw-7	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	f-pw-64	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	f-pw-65	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	f-quad-4	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	f-quad-3	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	f-quad-4x	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	f-mac-6	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	f-mac-5	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	f-csv-5	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	f-csv-4	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	l-00	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	l-01	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	l-02	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	l-03	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	l-04	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	l-05	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	l-06	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	l-07	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	l-08	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	l-09	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	l-10	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	l-11	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
year4	r-00016	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
