pattern	bytes	max_count	nest_depth	count_product	lazy	first_code_unit	required_code_unit	min_length	match_m_n	search_m_n	tput_m_n	oracle
year4	5	4	1	4	no	bitmap-or-none	NONE	4	1/49	21/46	2/5	10.46 2025-08-27
hex32	12	32	1	32	no	bitmap-or-none	NONE	32	2/49	6/46	2/5	10.46 2025-08-27
pw-8-64	7	64	1	64	no	bitmap-or-none	NONE	8	26/49	38/46	5/5	10.46 2025-08-27
line-80	6	80	1	open	no	bitmap-or-none	NONE	80	14/49	11/46	5/5	10.46 2025-08-27
dotted4	23	3	2	9	no	bitmap-or-none	.	7	1/49	4/46	0/5	10.46 2025-08-27
csv5	32	32	2	128	no	bitmap-or-none	,	4	1/49	3/46	0/5	10.46 2025-08-27
ctx-lazy-64	64	64	1	64	yes	bitmap-or-none	NONE	8	1/49	1/46	0/5	10.46 2025-08-27
ctx-lazy-256	65	256	1	256	yes	bitmap-or-none	NONE	8	2/49	3/46	0/5	10.46 2025-08-27
ctx-lazy-1024	66	1024	1	1024	yes	bitmap-or-none	NONE	8	2/49	3/46	0/5	10.46 2025-08-27
ctx-greedy-256	64	256	1	256	no	bitmap-or-none	NONE	8	2/49	3/46	0/5	10.46 2025-08-27
dig-exact-2	5	2	1	2	no	bitmap-or-none	NONE	2	1/49	33/46	2/5	10.46 2025-08-27
dig-exact-8	5	8	1	8	no	bitmap-or-none	NONE	8	1/49	12/46	2/5	10.46 2025-08-27
dig-exact-16	6	16	1	16	no	bitmap-or-none	NONE	16	1/49	8/46	2/5	10.46 2025-08-27
dig-exact-32	6	32	1	32	no	bitmap-or-none	NONE	32	1/49	3/46	2/5	10.46 2025-08-27
dig-upto-2	7	2	1	2	no	bitmap-or-none	NONE	1	2/49	36/46	2/5	10.46 2025-08-27
dig-upto-4	7	4	1	4	no	bitmap-or-none	NONE	1	4/49	36/46	2/5	10.46 2025-08-27
dig-upto-8	7	8	1	8	no	bitmap-or-none	NONE	1	7/49	36/46	2/5	10.46 2025-08-27
dig-upto-16	8	16	1	16	no	bitmap-or-none	NONE	1	10/49	36/46	2/5	10.46 2025-08-27
dig-upto-32	8	32	1	32	no	bitmap-or-none	NONE	1	15/49	36/46	2/5	10.46 2025-08-27
cls-upto-4	10	4	1	4	no	bitmap-or-none	NONE	0	1/49	46/46	5/5	10.46 2025-08-27
cls-upto-8	10	8	1	8	no	bitmap-or-none	NONE	0	2/49	46/46	5/5	10.46 2025-08-27
cls-upto-16	11	16	1	16	no	bitmap-or-none	NONE	0	3/49	46/46	5/5	10.46 2025-08-27
cls-upto-32	11	32	1	32	no	bitmap-or-none	NONE	0	4/49	46/46	5/5	10.46 2025-08-27
cls-upto-64	11	64	1	64	no	bitmap-or-none	NONE	0	7/49	46/46	5/5	10.46 2025-08-27
cls-upto-128	12	128	1	128	no	bitmap-or-none	NONE	0	8/49	46/46	5/5	10.46 2025-08-27
cls-upto-256	12	256	1	256	no	bitmap-or-none	NONE	0	9/49	46/46	5/5	10.46 2025-08-27
cls-upto-512	12	512	1	512	no	bitmap-or-none	NONE	0	11/49	46/46	5/5	10.46 2025-08-27
cls-upto-1024	13	1024	1	1024	no	bitmap-or-none	NONE	0	12/49	46/46	5/5	10.46 2025-08-27
cls-upto-2048	13	2048	1	2048	no	bitmap-or-none	NONE	0	12/49	46/46	5/5	10.46 2025-08-27
cls-upto-4096	13	4096	1	4096	no	bitmap-or-none	NONE	0	12/49	46/46	5/5	10.46 2025-08-27
cls-upto-8192	13	8192	1	8192	no	bitmap-or-none	NONE	0	12/49	46/46	5/5	10.46 2025-08-27
cls-upto-16384	14	16384	1	16384	no	bitmap-or-none	NONE	0	12/49	46/46	5/5	10.46 2025-08-27
cls-upto-32768	14	32768	1	32768	no	bitmap-or-none	NONE	0	12/49	46/46	5/5	10.46 2025-08-27
cls-upto-65535	14	65535	1	65535	no	bitmap-or-none	NONE	0	12/49	46/46	5/5	10.46 2025-08-27
cls-atleast-4096	12	4096	1	open	no	bitmap-or-none	NONE	4096	0/49	0/46	3/5	10.46 2025-08-27
cls-lazy-16384	15	16384	1	16384	yes	bitmap-or-none	NONE	0	12/49	46/46	5/5	10.46 2025-08-27
grp-upto-1024	19	1024	1	1024	no	bitmap-or-none	NONE	0	12/49	46/46	5/5	10.46 2025-08-27
nest2-4	16	4	2	16	no	bitmap-or-none	NONE	1	10/49	36/46	2/5	10.46 2025-08-27
nest2-64	18	64	2	4096	no	bitmap-or-none	NONE	1	18/49	36/46	2/5	10.46 2025-08-27
nest3-3	25	3	3	27	no	bitmap-or-none	NONE	1	12/49	36/46	2/5	10.46 2025-08-27
nest3-16	28	16	3	4096	no	bitmap-or-none	NONE	1	18/49	36/46	2/5	10.46 2025-08-27
nest2-letters-6	19	6	2	36	no	bitmap-or-none	NONE	1	5/49	26/46	3/5	10.46 2025-08-27
floor	1	0	0	1	no	:	NONE	1	0/49	6/46	0/5	10.46 2025-08-27
