family	pattern_id	fidelity	hazard_class	source_name	source_url	source_ref	license	license_note	retrieved_utc	adaptation	attribution	text_location	canonical_sha256	pattern_text
wild-validator	wild-validator-email-owasp	verbatim	none	owasp-validation	https://community.owasp.org/OWASP_Validation_Regex_Repository	regex[name=e-mail]/pattern	CC-BY-SA-4.0		2026-09-16T04:49:00Z		OWASP Validation Regex Repository (community.owasp.org), CC BY-SA 4.0	inline	d8ff75f3b038f923b1da00b14408307a80431d0376e4f43d4117163ecb917b69	^[a-zA-Z0-9_+&*-]+(?:\.[a-zA-Z0-9_+&*-]+)*@(?:[a-zA-Z0-9-]+\.)+[a-zA-Z]{2,}$
wild-validator	wild-validator-ipv4-owasp	verbatim	none	owasp-validation	https://community.owasp.org/OWASP_Validation_Regex_Repository	regex[name=IP]/pattern	CC-BY-SA-4.0		2026-09-16T04:49:00Z		OWASP Validation Regex Repository (community.owasp.org), CC BY-SA 4.0	inline	b4c17274c614156d5f0cc59904ebd66b02f6b780f13a775ac033be7e1ab6d4e0	^(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\.(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\.(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\.(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)$
wild-validator	wild-validator-us-zip-owasp	verbatim	none	owasp-validation	https://community.owasp.org/OWASP_Validation_Regex_Repository	regex[name=US_zip]/pattern	CC-BY-SA-4.0		2026-09-16T04:49:00Z		OWASP Validation Regex Repository (community.owasp.org), CC BY-SA 4.0	inline	d8c6b7a98f5d060a80e59b9fc4667202da16d9de1d55cc7ccf313d0a68c70f66	^\d{5}(-\d{4})?$
wild-validator	wild-validator-uuid-grok	verbatim	none	grok	https://raw.githubusercontent.com/logstash-plugins/logstash-patterns-core/main/patterns/legacy/grok-patterns	grok-patterns:19 (UUID)	Apache-2.0		2026-09-16T04:49:00Z			inline	1339226bbd0e5734fe2a91b9a08f21d4f62f743765289ee4006fcf508370bbe4	[A-Fa-f0-9]{8}-(?:[A-Fa-f0-9]{4}-){3}[A-Fa-f0-9]{12}
wild-logparse	wild-logparse-base10num-grok	verbatim	exponential-backtracking	grok	https://raw.githubusercontent.com/logstash-plugins/logstash-patterns-core/main/patterns/legacy/grok-patterns	grok-patterns:6 (BASE10NUM)	Apache-2.0		2026-09-16T04:49:00Z			inline	5800d14b10809466e6aed7b870a65a94cb313455ee44d5299683040633a61740	(?<![0-9.+-])(?>[+-]?(?:(?:[0-9]+(?:\.[0-9]+)?)|(?:\.[0-9]+)))
wild-logparse	wild-logparse-base10num-noatomic	adapted	exponential-backtracking	grok	https://raw.githubusercontent.com/logstash-plugins/logstash-patterns-core/main/patterns/legacy/grok-patterns	grok-patterns:6 (BASE10NUM)	Apache-2.0		2026-09-16T04:49:00Z	every atomic group (?>...) in the verbatim BASE10NUM rewritten to a plain non-capturing group (?:...), the author's own construct removed and nothing else changed -- the pattern's own performance fix undone, as a control for the fidelity-preserving member		inline	b65977fdddeffd856fa836454d3bb10a5a0e93f36feb1042a94d5c968deb2614	(?<![0-9.+-])(?:[+-]?(?:(?:[0-9]+(?:\.[0-9]+)?)|(?:\.[0-9]+)))
wild-logparse	wild-logparse-quotedstring-grok	verbatim	exponential-backtracking	grok	https://raw.githubusercontent.com/logstash-plugins/logstash-patterns-core/main/patterns/legacy/grok-patterns	grok-patterns:18 (QUOTEDSTRING)	Apache-2.0		2026-09-16T04:49:00Z			inline	3d92cb5cb5130c64dc53a03ebb9040841425fb344e31cfbc948e78765d6334a7	(?>(?<!\\)(?>"(?>\\.|[^\\"]+)+"|""|(?>'(?>\\.|[^\\']+)+')|''|(?>`(?>\\.|[^\\`]+)+`)|``))
wild-logparse	wild-logparse-quotedstring-noatomic	adapted	exponential-backtracking	grok	https://raw.githubusercontent.com/logstash-plugins/logstash-patterns-core/main/patterns/legacy/grok-patterns	grok-patterns:18 (QUOTEDSTRING)	Apache-2.0		2026-09-16T04:49:00Z	every atomic group (?>...) in the verbatim QUOTEDSTRING rewritten to a plain non-capturing group (?:...), the author's own construct removed and nothing else changed -- the pattern's own performance fix undone, as a control for the fidelity-preserving member		inline	0c2ca6b6e4264bdb101f6f2f542771d42f8daaeb2a6edf59ac549f997c27f032	(?:(?<!\\)(?:"(?:\\.|[^\\"]+)+"|""|(?:'(?:\\.|[^\\']+)+')|''|(?:`(?:\\.|[^\\`]+)+`)|``))
wild-logparse	wild-logparse-winpath-grok	verbatim	exponential-backtracking	grok	https://raw.githubusercontent.com/logstash-plugins/logstash-patterns-core/main/patterns/legacy/grok-patterns	grok-patterns:39 (WINPATH)	Apache-2.0		2026-09-16T04:49:00Z			inline	047cb1c56477e9c10e3754074d88ead36aeb80da6d69ce7ba7c11c770ba37f55	(?>[A-Za-z]+:|\\)(?:\\[^\\?*]*)+
wild-logparse	wild-logparse-syslogbase-expanded	adapted	exponential-backtracking	grok	https://raw.githubusercontent.com/logstash-plugins/logstash-patterns-core/main/patterns/legacy/grok-patterns	grok-patterns:92 (SYSLOGBASE) + its own transitive %{...} macros (SYSLOGTIMESTAMP:81, SYSLOGFACILITY:85, SYSLOGHOST:84/IPORHOST:32/IP:30/IPV6:28/IPV4:29/HOSTNAME:31, SYSLOGPROG:83/PROG:82, MONTH:51, MONTHDAY:54, TIME:65/HOUR:61/MINUTE:62/SECOND:64, NONNEGINT:12, POSINT:11)	Apache-2.0		2026-09-16T04:49:00Z	every %{NAME} and %{NAME:label} grok macro reference mechanically substituted, recursively, by the named pattern's own definition in the same file -- unlabelled to a plain non-capturing group (?:...), labelled to a named group (?<label>...), exactly grok's own compile step -- producing one self-contained pattern with no remaining %{...} references		inline	ed2b6beb4784e0715f0ebd0186a3ec763bcca4bcf3bfb50f46f359941cc4bc0a	(?<timestamp>(?:\b(?:[Jj]an(?:uary|uar)?|[Ff]eb(?:ruary|ruar)?|[Mm](?:a|ä)?r(?:ch|z)?|[Aa]pr(?:il)?|[Mm]a(?:y|i)?|[Jj]un(?:e|i)?|[Jj]ul(?:y|i)?|[Aa]ug(?:ust)?|[Ss]ep(?:tember)?|[Oo](?:c|k)?t(?:ober)?|[Nn]ov(?:ember)?|[Dd]e(?:c|z)(?:ember)?)\b) +(?:(?:(?:0[1-9])|(?:[12][0-9])|(?:3[01])|[1-9])) (?:(?!<[0-9])(?:(?:2[0123]|[01]?[0-9])):(?:(?:[0-5][0-9]))(?::(?:(?:(?:[0-5]?[0-9]|60)(?:[:.,][0-9]+)?)))(?![0-9]))) (?:(?:<(?<facility>\b(?:[0-9]+)\b).(?<priority>\b(?:[0-9]+)\b)>) )?(?<logsource>(?:(?:(?:(?:(?:((([0-9A-Fa-f]{1,4}:){7}([0-9A-Fa-f]{1,4}|:))|(([0-9A-Fa-f]{1,4}:){6}(:[0-9A-Fa-f]{1,4}|((25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)(\.(25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)){3})|:))|(([0-9A-Fa-f]{1,4}:){5}(((:[0-9A-Fa-f]{1,4}){1,2})|:((25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)(\.(25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)){3})|:))|(([0-9A-Fa-f]{1,4}:){4}(((:[0-9A-Fa-f]{1,4}){1,3})|((:[0-9A-Fa-f]{1,4})?:((25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)(\.(25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)){3}))|:))|(([0-9A-Fa-f]{1,4}:){3}(((:[0-9A-Fa-f]{1,4}){1,4})|((:[0-9A-Fa-f]{1,4}){0,2}:((25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)(\.(25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)){3}))|:))|(([0-9A-Fa-f]{1,4}:){2}(((:[0-9A-Fa-f]{1,4}){1,5})|((:[0-9A-Fa-f]{1,4}){0,3}:((25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)(\.(25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)){3}))|:))|(([0-9A-Fa-f]{1,4}:){1}(((:[0-9A-Fa-f]{1,4}){1,6})|((:[0-9A-Fa-f]{1,4}){0,4}:((25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)(\.(25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)){3}))|:))|(:(((:[0-9A-Fa-f]{1,4}){1,7})|((:[0-9A-Fa-f]{1,4}){0,5}:((25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)(\.(25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)){3}))|:)))(%.+)?)|(?:(?<![0-9])(?:(?:[0-1]?[0-9]{1,2}|2[0-4][0-9]|25[0-5])[.](?:[0-1]?[0-9]{1,2}|2[0-4][0-9]|25[0-5])[.](?:[0-1]?[0-9]{1,2}|2[0-4][0-9]|25[0-5])[.](?:[0-1]?[0-9]{1,2}|2[0-4][0-9]|25[0-5]))(?![0-9]))))|(?:\b(?:[0-9A-Za-z][0-9A-Za-z-]{0,62})(?:\.(?:[0-9A-Za-z][0-9A-Za-z-]{0,62}))*(\.?|\b))))) (?:(?<program>[\x21-\x5a\x5c\x5e-\x7e]+)(?:\[(?<pid>\b(?:[1-9][0-9]*)\b)\])?):
