pattern	subject	regime	expected	start	end	nmatches	method	oracle
ipv4-near-miss	v-email	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	v-ipv4	search_short	match	0	11	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	v-ipv4-oor	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	v-us-zip	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	v-us-zip-plus4	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	v-uuid-valid	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	v-uuid-badnibble	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	lp-num-neg-dec	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	lp-num-leadzero	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	lp-quoted	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	lp-quoted-escaped	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	lp-winpath	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	lp-winpath-reserved	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	lp-syslog	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	lp-atomic-hit	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	lp-atomic-nonmatch	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	waf-dbnames	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	waf-sleep	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	waf-union	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	waf-concat	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	waf-comment-obfuscation	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	waf-benign	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	sec-aws-key	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	sec-github-pat	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	sec-slack-webhook	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	sec-userpass	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	dt-iso8601	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	dt-prose-month	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	cg-array-begin	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	cg-constant	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
ipv4-near-miss	cg-object-begin	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
