pattern	subject	regime	expected	start	end	nmatches	method	oracle
orig	s-000	match	match	0	16	-	libpcre2-differential	10.46 2025-08-27
orig	s-001	match	match	0	21	-	libpcre2-differential	10.46 2025-08-27
orig	s-002	match	match	0	6	-	libpcre2-differential	10.46 2025-08-27
orig	s-003	match	match	0	23	-	libpcre2-differential	10.46 2025-08-27
orig	s-004	match	match	0	33	-	libpcre2-differential	10.46 2025-08-27
orig	s-005	match	match	0	6	-	libpcre2-differential	10.46 2025-08-27
orig	s-006	match	match	0	15	-	libpcre2-differential	10.46 2025-08-27
orig	s-007	match	match	0	25	-	libpcre2-differential	10.46 2025-08-27
orig	s-008	match	match	0	19	-	libpcre2-differential	10.46 2025-08-27
orig	s-009	match	match	0	14	-	libpcre2-differential	10.46 2025-08-27
orig	s-010	match	match	0	14	-	libpcre2-differential	10.46 2025-08-27
orig	s-011	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-012	match	match	0	18	-	libpcre2-differential	10.46 2025-08-27
orig	s-013	match	match	0	18	-	libpcre2-differential	10.46 2025-08-27
orig	s-014	match	match	0	14	-	libpcre2-differential	10.46 2025-08-27
orig	s-015	match	match	0	17	-	libpcre2-differential	10.46 2025-08-27
orig	s-016	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-017	match	match	0	18	-	libpcre2-differential	10.46 2025-08-27
orig	s-018	match	match	0	17	-	libpcre2-differential	10.46 2025-08-27
orig	s-019	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-020	match	match	0	20	-	libpcre2-differential	10.46 2025-08-27
orig	s-021	match	match	0	14	-	libpcre2-differential	10.46 2025-08-27
orig	s-022	match	match	0	22	-	libpcre2-differential	10.46 2025-08-27
orig	s-023	match	match	0	18	-	libpcre2-differential	10.46 2025-08-27
orig	s-024	match	match	0	14	-	libpcre2-differential	10.46 2025-08-27
orig	s-025	match	match	0	18	-	libpcre2-differential	10.46 2025-08-27
orig	s-026	match	match	0	22	-	libpcre2-differential	10.46 2025-08-27
orig	s-027	match	match	0	22	-	libpcre2-differential	10.46 2025-08-27
orig	s-028	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-029	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-030	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-031	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-032	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-033	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-034	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-035	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-036	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-037	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-038	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-039	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-040	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-041	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-042	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-043	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-044	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-045	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-046	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-047	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-048	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-049	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-050	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-051	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-052	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-053	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-054	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-055	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-056	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
orig	s-057	match	match	0	10252	-	libpcre2-differential	10.46 2025-08-27
orig	s-058	match	match	0	4011	-	libpcre2-differential	10.46 2025-08-27
