id	len	sha256	description
s-000	16	b4c9a289323b21a01c3e940f150eb9b8c542587f1abfd8f0e1cc1ffc5e475514	valid dot-atom simple
s-001	21	2954b061096c38c04e0321af86305cd56adbeed6bfb8f61eb069c94d2a3c4155	valid dot-atom multi-label domain
s-002	6	80305c9bb1bb2480e03894350e0a8a366dcbdeb302e69e0817aa0743abd77054	valid dot-atom single-char local
s-003	23	80f03a5258b13b040490f8551f3700f087aa652df0a1fce8df420867cf594558	valid dot-atom many dots
s-004	33	929ba83f97afb9e9a6bc4958aaceab03f6fe3a81a13a8d9d239596d8d383256b	valid dot-atom with allowed specials
s-005	6	a2470cc7138452132545e505cda16e82e15fbf69556810f95116ca96507465be	valid dot-atom two-label domain minimal
s-006	15	1e5da52c6d1be8d6041284f3bd2607f78a234c39424cd49a72f645b711048d50	valid dot-atom single-char labels chained
s-007	25	d92bed9166a7cebbb8ecdc455a9023e3eb1c1b394a7cacc0ec4b5f9c977fd619	valid dot-atom local with digits
s-008	19	ced95a329cb4c1a0ec9fa1b77819bbe2dd37d015c4df39cba3ee102e21524e57	valid dot-atom label with internal hyphen
s-009	14	a72262de092556f802ca21dfc94b8bbd8cb533f606ff4c670bca89f4cb3b4791	valid dot-atom label with internal hyphens
s-010	14	0a75bda545d2aca1d6cd68cfb6663f19628b38591795153e55b5ac73e143b27d	valid dot-atom TLD single char label
s-011	22	a32a37bcd849fce231cbd8928916105b1901c478f309534a44e9c2a7688b2688	valid quoted simple
s-012	18	b2ab5d463f85df5597c7110f62d4ed7a197e83e68aa02d3bf0aa36a785842c96	valid quoted with escaped quote
s-013	18	ec5909e5d5b1ea189ae967629153ba1e0b3f2e9972a5877e7055703128584848	valid quoted with escaped backslash
s-014	14	aa988fb8294b9805bcb77cd10a270e367f155346c4ecec4471dee715d88aa3b4	valid quoted empty
s-015	17	acbb218b46fb3c899b4349217f62c68977b9349a1ec42de1a6939119f0d11e30	valid quoted with control char 0x01
s-016	17	e33fe21b7ffd845b0e088eb77c3953cec5c1a7a8de1e5013136dc9c489f3cf0a	valid quoted with tab 0x09 (in qchar range)
s-017	18	c5c061e0f0084ef70f3631c4c459a720f6abf78d71b36639b25d1e0d04e5f3cb	valid quoted with escaped 0x00-adjacent \x09
s-018	17	d0b4e970471fc72422181a5e11053d44a055a07ce6005097995c848edba7f451	valid quoted with 0x7f (DEL, in qchar range)
s-019	18	9db48ff30f890b68e53047762ff847a3dc994ae4adbef388ee3b44a16550df44	valid quoted with escaped high byte \xff
s-020	20	190a88a538c030852634cbcfb0241748ae7f44a4f1ccdc621f8a3943c7bce7f4	valid quoted with many escaped quotes
s-021	14	cb52ef1c24cd9950f258cf637428f12c82388f624e16ee2008b3276130ad4bfe	valid IPv4 literal all-zero
s-022	22	31c47ebd05fb72112baa0ef9d47e22c47e6f6c381f2778f8882234942e2956a7	valid IPv4 literal max
s-023	18	fcaa061d84aa08842368d82df89d763f10a95f7e390d6c2aa422977a7e44ac42	valid IPv4 literal typical
s-024	14	97cd09cac63c0bde0936b5d7a1f561f03e8c7e54dea10cfa69a43df9a3c08de8	valid IPv4 literal single-digit octets
