#coverage of the seed list_syntax_334fd10e.tsv by bench/syntax's 95 patterns: covered 77, covered-by-family 32, not-exercised 19, not-exercised-by-family 5, pcre2-rejects 5
kind	syntax	key	seed_status	seed_module	seed_engines	seed_built	coverage	patterns	reason
esc	\d	\d	module	classes	dfa|vm	built	covered	cls-d	
esc	\D	\D	module	classes	dfa|vm	built	not-exercised	-	the complement of `\d`: the same class mechanism, set inverted
esc	\s	\s	module	classes	dfa|vm	built	covered	cls-s	
esc	\S	\S	module	classes	dfa|vm	built	covered	cls-S	
esc	\w	\w	module	classes	dfa|vm	built	covered	cls-w	
esc	\W	\W	module	classes	dfa|vm	built	not-exercised	-	the complement of `\w`: the same class mechanism, set inverted
esc	\h	\h	module	classes	dfa|vm	built	covered	cls-h	
esc	\H	\H	module	classes	dfa|vm	built	not-exercised	-	the complement of `\h`: the same class mechanism, set inverted
esc	\v	\v	module	classes	dfa|vm	built	covered	cls-v	
esc	\V	\V	module	classes	dfa|vm	built	not-exercised	-	the complement of `\v`: the same class mechanism, set inverted
esc	\N	\N	module	classes	dfa|vm	built	covered	cls-N	
esc	\N{name}	\N{name}	rejected			-	pcre2-rejects	-	PCRE2 refuses this construct (the seed's `expect`: PCRE2 does not support \F, \L, \l, \N{name}, \U, or \u); the oracle can state no expectation
esc	\N{U+0041}	\N{U+0041}	module	unicode-props	dfa|vm	unbuilt	not-exercised	-	UTF-only in PCRE2 (error 193 in byte mode): the utf family's, not this set's (NOTES.md, `Room for a utf family`)
esc	\b	\b	module	assertions	dfa|vm	built	covered	asr-wb	
esc	\B	\B	module	assertions	dfa|vm	built	covered	asr-nwb	
esc	\A	\A	module	assertions	dfa|vm	built	covered	anc-A	
esc	\Z	\Z	module	assertions	dfa|vm	built	covered	anc-Z	
esc	\z	\z	module	assertions	dfa|vm	built	covered	anc-z	
esc	\G	\G	module	assertions	dfa|vm	built	covered	anc-G	
esc	\K	\K	module	assertions	vm	built	covered	asr-K	
esc	\k<name>	\k<name>	module	backrefs	vm	built	covered	bak-k-named mod-J	
