pattern	subject	regime	expected	start	end	nmatches	method	oracle
anc-caret	f-cat	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-CAT	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-Cat	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-concat	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-abc	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-abba	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-aaab	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-item	match	match	0	4	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-item-done	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-item-done-nl	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-item-nl-done	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-item-crlf-done	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-num	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-date	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-time	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-ident	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-kv	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-kv-tab	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-dup	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-tag	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-parens	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-parens-open	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-quoted	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-fx	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-hash	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-cafe	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-bell	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-prose	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-dup	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-order	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-tags	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-parens	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-kv	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-multi	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-crlf	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-case	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-quoted	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-latin1	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-run	match	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-cat	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-CAT	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-Cat	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-concat	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-abc	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-abba	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-aaab	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-item	search_short	match	0	4	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-item-done	search_short	match	0	4	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-item-done-nl	search_short	match	0	4	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-item-nl-done	search_short	match	0	4	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-item-crlf-done	search_short	match	0	4	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-num	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-date	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-time	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-ident	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-kv	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-kv-tab	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-dup	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-tag	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-parens	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-parens-open	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-quoted	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-fx	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-hash	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-cafe	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	f-bell	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-prose	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-dup	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-order	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-tags	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-parens	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-kv	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-multi	search_short	match	0	4	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-crlf	search_short	match	0	4	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-case	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-quoted	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-latin1	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	l-run	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
anc-caret	t-64k	throughput	nomatch	-	-	0	libpcre2-differential	10.46 2025-08-27
