pattern	family	constructs	seed_module	bytes	captures	backref_max	match_empty	max_lookbehind	first_code_unit	required_code_unit	min_length	match_m_n	search_m_n	tput_m_n	oracle
lit-cat	literal	base-grammar	-	3	0	0	0	0	c	t	3	1/42	5/42	3/3	10.46 2025-08-27
anc-caret	anchors	^	-	5	0	0	0	0	i	NONE	4	1/42	7/42	0/3	10.46 2025-08-27
anc-dollar	anchors	$	-	5	0	0	0	0	d	e	4	1/42	6/42	0/3	10.46 2025-08-27
anc-A	anchors	\A	assertions	6	0	0	0	1	i	NONE	4	1/42	7/42	0/3	10.46 2025-08-27
anc-z-uc	anchors	\Z	assertions	6	0	0	0	0	d	e	4	1/42	6/42	0/3	10.46 2025-08-27
anc-z-lc	anchors	\z	assertions	6	0	0	0	0	d	e	4	1/42	4/42	0/3	10.46 2025-08-27
anc-G	anchors	\G	assertions	6	0	0	0	0	i	NONE	4	1/42	7/42	0/3	10.46 2025-08-27
anc-m-caret	anchors	(?m) ^	-+modifiers	9	0	0	0	0	type-2	m	4	1/42	7/42	3/3	10.46 2025-08-27
anc-m-dollar	anchors	(?m) $	-+modifiers	9	0	0	0	0	d	e	4	1/42	6/42	3/3	10.46 2025-08-27
asr-wb	assertions	\b	assertions	7	0	0	0	1	c	t	3	1/42	4/42	3/3	10.46 2025-08-27
asr-nwb	assertions	\B	assertions	7	0	0	0	1	c	t	3	0/42	2/42	3/3	10.46 2025-08-27
asr-K	assertions	\K	assertions	9	0	0	0	0	k	=	5	1/42	2/42	3/3	10.46 2025-08-27
cls-d	classes	\d	classes	3	0	0	0	0	bitmap-or-none	NONE	1	2/42	7/42	3/3	10.46 2025-08-27
cls-s-lc	classes	\s	classes	9	0	0	0	0	c	t	7	0/42	1/42	2/3	10.46 2025-08-27
cls-s-uc	classes	\S	classes	7	0	0	0	0	bitmap-or-none	@	3	0/42	1/42	3/3	10.46 2025-08-27
cls-w	classes	\w	classes	3	0	0	0	0	bitmap-or-none	NONE	1	13/42	42/42	3/3	10.46 2025-08-27
cls-h	classes	\h	classes	15	0	0	0	0	k	e	9	1/42	2/42	3/3	10.46 2025-08-27
cls-v	classes	\v	classes	11	0	0	0	0	i	e	9	2/42	2/42	2/3	10.46 2025-08-27
cls-N	classes	\N	classes	5	0	0	0	0	i	m	4	1/42	9/42	3/3	10.46 2025-08-27
cls-posix	classes	[[:alpha:]]	classes	12	0	0	0	0	bitmap-or-none	NONE	1	10/42	37/42	3/3	10.46 2025-08-27
cls-negset	classes	base-grammar	-	10	0	0	0	0	c	t	3	0/42	1/42	0/3	10.46 2025-08-27
cls-range	classes	base-grammar	-	14	0	0	0	0	0	x	3	0/42	1/42	3/3	10.46 2025-08-27
cls-dot	classes	base-grammar	-	3	0	0	0	0	c	t	3	1/42	5/42	3/3	10.46 2025-08-27
cls-fold-pair	classes	base-grammar	-	6	0	0	0	0	c	t	3	1/42	5/42	3/3	10.46 2025-08-27
cls-pair-ctl	classes	base-grammar	-	6	0	0	0	0	c	t	3	1/42	5/42	3/3	10.46 2025-08-27
cls-mixed-case	classes	base-grammar	-	10	0	0	0	0	c	t	3	1/42	5/42	3/3	10.46 2025-08-27
cls-i-class	classes	(?i)	modifiers	13	0	0	0	0	c	t	3	3/42	7/42	3/3	10.46 2025-08-27
qnt-star	quantifiers	base-grammar	-	4	0	0	0	0	c	t	2	1/42	5/42	3/3	10.46 2025-08-27
qnt-plus	quantifiers	base-grammar	-	3	0	0	0	0	a	b	2	1/42	6/42	3/3	10.46 2025-08-27
qnt-quest	quantifiers	base-grammar	-	7	0	0	0	0	c	r	5	0/42	1/42	3/3	10.46 2025-08-27
qnt-lazy	quantifiers	base-grammar	-	5	0	0	0	0	"	"	2	1/42	2/42	3/3	10.46 2025-08-27
qnt-poss-star	quantifiers	a*+	atomic-groups	4	0	0	0	0	bitmap-or-none	b	1	1/42	15/42	3/3	10.46 2025-08-27
qnt-poss-plus	quantifiers	a++	atomic-groups	5	0	0	0	0	a	b	3	0/42	0/42	0/3	10.46 2025-08-27
qnt-plus-ctl	quantifiers	base-grammar	-	4	0	0	0	0	a	b	3	1/42	2/42	0/3	10.46 2025-08-27
qnt-poss-quest	quantifiers	a?+	atomic-groups	4	0	0	0	0	a	NONE	1	0/42	2/42	0/3	10.46 2025-08-27
qnt-poss-brace	quantifiers	a{1,2}+	atomic-groups	8	0	0	0	0	a	b	2	0/42	6/42	3/3	10.46 2025-08-27
grp-cap	groups	(a)	-	5	1	0	0	0	c	t	3	1/42	5/42	3/3	10.46 2025-08-27
grp-noncap	groups	(?:...)	-	7	0	0	0	0	a	b	2	0/42	6/42	3/3	10.46 2025-08-27
grp-named	groups	(?<name>a)	named-groups	9	1	0	0	0	c	t	3	1/42	5/42	3/3	10.46 2025-08-27
grp-named-quote	groups	(?'name'...)	named-groups	9	1	0	0	0	c	t	3	1/42	5/42	3/3	10.46 2025-08-27
grp-atomic-rep	groups	(?>...)	atomic-groups	7	0	0	0	0	a	b	2	1/42	6/42	3/3	10.46 2025-08-27
grp-atomic-alt	groups	(?>...)	atomic-groups	9	0	0	0	0	a	c	2	1/42	2/42	3/3	10.46 2025-08-27
grp-comment	groups	(?#...)	comments	14	0	0	0	0	c	t	3	1/42	5/42	3/3	10.46 2025-08-27
grp-branch-reset	groups	(?|...)	branch-reset	15	1	0	0	0	bitmap-or-none	NONE	3	1/42	5/42	3/3	10.46 2025-08-27
grp-callout	groups	(?C1)	callouts	8	0	0	0	0	c	t	3	1/42	5/42	3/3	10.46 2025-08-27
alt-two	alternation	base-grammar	-	7	0	0	0	0	bitmap-or-none	NONE	3	1/42	5/42	3/3	10.46 2025-08-27
alt-nested	alternation	base-grammar	-	16	0	0	0	0	bitmap-or-none	NONE	3	1/42	5/42	3/3	10.46 2025-08-27
bak-1	backrefs	\1	backrefs	8	1	1	0	0	bitmap-or-none	\x20	3	1/42	4/42	3/3	10.46 2025-08-27
bak-2	backrefs	\2 \1	backrefs	12	2	2	0	0	bitmap-or-none	NONE	4	1/42	3/42	3/3	10.46 2025-08-27
bak-g-rel	backrefs	\g{-1}	backrefs	12	1	1	0	0	bitmap-or-none	\x20	3	1/42	4/42	3/3	10.46 2025-08-27
bak-k-named	backrefs	\k<name> (?<name>a)	backrefs+named-groups	24	1	1	0	0	<	>	7	1/42	2/42	3/3	10.46 2025-08-27
bak-py	backrefs	(?P=n) (?P<name>a)	backrefs+named-groups	17	1	1	0	0	bitmap-or-none	\x20	3	1/42	4/42	3/3	10.46 2025-08-27
lka-pos	lookaround	(?=...)	lookaround	13	0	0	0	0	i	e	4	0/42	2/42	3/3	10.46 2025-08-27
lka-neg	lookaround	(?!...)	lookaround	13	0	0	0	0	i	m	4	1/42	7/42	3/3	10.46 2025-08-27
lkb-pos	lookaround	(?<=...)	lookaround	14	0	0	0	5	d	e	4	0/42	2/42	3/3	10.46 2025-08-27
lkb-neg	lookaround	(?<!...)	lookaround	14	0	0	0	5	d	e	4	1/42	6/42	3/3	10.46 2025-08-27
lka-nonatomic	lookaround	(?*a)	lookaround	12	0	0	0	0	i	m	4	1/42	9/42	3/3	10.46 2025-08-27
lka-verb	lookaround	(*pla:a)	lookaround	16	0	0	0	0	i	e	4	0/42	2/42	3/3	10.46 2025-08-27
cnd-group	conditionals	(?(1)a|b)	conditionals	15	1	1	0	0	bitmap-or-none	m	4	1/42	9/42	3/3	10.46 2025-08-27
rec-R	recursion	(?R)	recursion	19	0	0	0	0	(	)	2	1/42	4/42	3/3	10.46 2025-08-27
rec-1	recursion	(?1)	recursion	21	1	0	0	0	(	)	2	1/42	4/42	3/3	10.46 2025-08-27
rec-name	recursion	(?&name) (?<name>a)	named-groups+recursion	26	1	0	0	0	(	)	2	1/42	4/42	3/3	10.46 2025-08-27
rec-define	recursion	(?(DEFINE)(?<w>a)) (?&name)	recursion	33	1	0	0	0	bitmap-or-none	:	5	1/42	2/42	3/3	10.46 2025-08-27
rec-g-angle	recursion	\g<1>	recursion	12	1	0	0	0	bitmap-or-none	NONE	4	1/42	3/42	3/3	10.46 2025-08-27
rec-py	recursion	(?P>n) (?P<name>a)	named-groups+recursion	18	1	0	0	0	bitmap-or-none	NONE	4	1/42	3/42	3/3	10.46 2025-08-27
rec-fwd	recursion	(?+1)(a)	recursion	12	1	0	0	0	bitmap-or-none	NONE	4	1/42	3/42	3/3	10.46 2025-08-27
rec-back	recursion	(a)(?-1)	recursion	12	1	0	0	0	bitmap-or-none	NONE	4	1/42	3/42	3/3	10.46 2025-08-27
mod-i	modifiers	(?i)	modifiers	7	0	0	0	0	c	t	3	3/42	7/42	3/3	10.46 2025-08-27
mod-s	modifiers	(?s)	modifiers	13	0	0	0	0	i	e	9	2/42	3/42	3/3	10.46 2025-08-27
mod-x	modifiers	(?x)	modifiers	20	0	0	0	0	c	t	3	1/42	5/42	3/3	10.46 2025-08-27
mod-n	modifiers	(?n)	modifiers	9	0	0	0	0	c	t	3	1/42	5/42	3/3	10.46 2025-08-27
mod-U	modifiers	(?U)	modifiers	8	0	0	0	0	"	"	3	1/42	2/42	3/3	10.46 2025-08-27
mod-J	modifiers	(?J) (?<name>a) \k<name>	backrefs+modifiers+named-groups	33	2	2	0	0	bitmap-or-none	\x20	3	1/42	4/42	3/3	10.46 2025-08-27
mod-a	modifiers	(?a)	modifiers	7	0	0	0	0	bitmap-or-none	NONE	1	13/42	42/42	3/3	10.46 2025-08-27
mod-r	modifiers	(?r) (?i)	modifiers	8	0	0	0	0	c	t	3	3/42	7/42	3/3	10.46 2025-08-27
mod-reset	modifiers	(?^) (?i)	modifiers	11	0	0	0	0	c	t	3	2/42	6/42	3/3	10.46 2025-08-27
mod-unset	modifiers	(?-i) (?i)	modifiers	12	0	0	0	0	c	t	3	2/42	6/42	3/3	10.46 2025-08-27
esc-tab	escapes	\t	-	10	0	0	0	0	k	e	9	1/42	1/42	3/3	10.46 2025-08-27
esc-nl	escapes	\n	-	10	0	0	0	0	i	e	9	1/42	1/42	2/3	10.46 2025-08-27
esc-cr	escapes	\r \n	-	12	0	0	0	0	i	e	10	1/42	1/42	0/3	10.46 2025-08-27
esc-hex	escapes	\x41	-	6	0	0	0	0	c	t	3	1/42	5/42	3/3	10.46 2025-08-27
esc-hex-braced	escapes	\x41	-	9	0	0	0	0	c	\xe9	4	1/42	2/42	3/3	10.46 2025-08-27
esc-ctrl	escapes	\cX	misc	10	0	0	0	0	b	d	8	1/42	1/42	0/3	10.46 2025-08-27
esc-octal-o	escapes	\o{101}	misc	9	0	0	0	0	c	t	3	1/42	5/42	3/3	10.46 2025-08-27
esc-octal-0	escapes	\0	backrefs	12	0	0	0	0	i	e	9	1/42	2/42	3/3	10.46 2025-08-27
esc-quote	escapes	\Q \E	quoting	8	0	0	0	0	f	)	4	1/42	2/42	3/3	10.46 2025-08-27
msc-R	misc	\R	misc	10	0	0	0	0	i	e	9	2/42	2/42	2/3	10.46 2025-08-27
msc-X	misc	\X	misc	4	0	0	0	0	c	t	3	1/42	5/42	3/3	10.46 2025-08-27
msc-C	misc	\C	misc	4	0	0	0	0	c	t	3	1/42	5/42	3/3	10.46 2025-08-27
unp-p-lc	uniprop	\p{L}	unicode-props	6	0	0	0	0	bitmap-or-none	NONE	1	11/42	37/42	3/3	10.46 2025-08-27
unp-p-uc	uniprop	\P{L}	unicode-props	6	0	0	0	0	bitmap-or-none	NONE	1	5/42	31/42	3/3	10.46 2025-08-27
vrb-accept	verbs	(*ACCEPT)	verbs	17	0	0	0	0	i	NONE	1	1/42	9/42	3/3	10.46 2025-08-27
vrb-skip	verbs	(*ACCEPT)	verbs	10	0	0	0	0	a	b	2	1/42	6/42	3/3	10.46 2025-08-27
xcl-minus	extclass	(?[[a]])	extended-classes	19	0	0	0	0	bitmap-or-none	NONE	1	0/42	36/42	3/3	10.46 2025-08-27
floor	floor	base-grammar	-	1	0	0	0	0	#	NONE	1	0/42	2/42	0/3	10.46 2025-08-27
