pattern	subject	regime	expected	start	end	nmatches	method	oracle
cls-boundary-range	cls-boundary-range	search_short	match	0	5	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	cls-high-range	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	cls-neg-single-miss	search_short	match	0	2	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	cls-cyr-triple	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	cls-mixed-hit	search_short	match	0	3	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	cls-dot-hit	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	cls-dot-rep-hit	search_short	match	0	8	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	cls-dot-rep-miss	search_short	match	0	5	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	cls-w-ascii-posix-hit	search_short	match	0	5	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	cls-digit-pair	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	cls-space-pair	search_short	match	0	4	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	cls-posix-straupperss	search_short	match	0	3	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	cls-lead-pair-hit	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	cls-neg-cjk-miss	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	cls-allhigh-ascii-hit	search_short	match	0	5	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	lit-2b-hit	search_short	match	0	2	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	lit-3b-hit	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	lit-4b-hit	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	lit-run3-hit	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	lit-nearmiss	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	lit-mixedascii-hit	search_short	match	0	4	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	lit-mixedascii-miss	search_short	match	0	4	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	lit-cyrrun-hit	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	lit-offset-tail-hit	search_short	match	0	2	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	lit-offset-head-hit	search_short	match	1	3	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	lit-nfc-decomposed-miss	search_short	match	0	4	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	lit-nfc-precomposed-hit	search_short	match	0	2	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	lit-sharps-hit	search_short	match	0	3	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	lit-sharps-miss	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	lit-anchored-extra-miss	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	ci-eacute-triple	search_short	match	0	2	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	ci-moskva-hit	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	ci-greek-hit	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	ci-kelvin-hit	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	ci-longs-hit	search_short	match	2	5	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	ci-classrange-hit	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	ci-negfold-hit	search_short	match	0	3	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	ci-strasse-hit	search_short	match	0	7	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	ci-strasse-nearmiss	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	ci-sigma-final-hit	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	ci-sigma-capital-hit	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	ci-turkish-i-capital-miss	search_short	match	2	9	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	ci-turkish-i-lower-miss	search_short	match	2	3	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	ci-ascii-control-hit	search_short	nomatch	-	-	-	libpcre2-differential	10.46 2025-08-27
cls-boundary-range	ci-ascii-control-miss	search_short	match	0	3	-	libpcre2-differential	10.46 2025-08-27
