id	source	len	n_chars	n_ascii	n_lead2	n_lead3	n_lead4	n_cont	pct_ascii	pct_multibyte	dominant_lead	avg_bytes_per_char
cls-boundary-range	search_short	5	4	3	1	0	0	1	0.6000	0.4000	0xc3	1.2500
cls-high-range	search_short	6	3	0	3	0	0	3	0.0000	1.0000	0xd0	2.0000
cls-neg-single-miss	search_short	2	1	0	1	0	0	1	0.0000	1.0000	0xc3	2.0000
cls-cyr-triple	search_short	12	6	0	6	0	0	6	0.0000	1.0000	0xd0	2.0000
cls-mixed-hit	search_short	5	3	1	2	0	0	2	0.2000	0.8000	0xd0	1.6667
cls-dot-hit	search_short	3	1	0	0	1	0	2	0.0000	1.0000	0xe6	3.0000
cls-dot-rep-hit	search_short	12	5	0	4	0	1	7	0.0000	1.0000	0xc3	2.4000
cls-dot-rep-miss	search_short	5	3	1	2	0	0	2	0.2000	0.8000	0xc3	1.6667
cls-w-ascii-posix-hit	search_short	8	8	8	0	0	0	0	1.0000	0.0000	n/a	1.0000
cls-digit-pair	search_short	8	4	0	4	0	0	4	0.0000	1.0000	0xd9	2.0000
cls-space-pair	search_short	4	3	2	1	0	0	1	0.5000	0.5000	0xc2	1.3333
cls-posix-straupperss	search_short	11	10	9	1	0	0	1	0.8182	0.1818	0xc3	1.1000
cls-lead-pair-hit	search_short	6	3	0	3	0	0	3	0.0000	1.0000	0xce	2.0000
cls-neg-cjk-miss	search_short	9	3	0	0	3	0	6	0.0000	1.0000	0xe6	3.0000
cls-allhigh-ascii-hit	search_short	10	10	10	0	0	0	0	1.0000	0.0000	n/a	1.0000
lit-2b-hit	search_short	2	1	0	1	0	0	1	0.0000	1.0000	0xc3	2.0000
lit-3b-hit	search_short	3	1	0	0	1	0	2	0.0000	1.0000	0xe6	3.0000
lit-4b-hit	search_short	4	1	0	0	0	1	3	0.0000	1.0000	0xf0	4.0000
lit-run3-hit	search_short	9	3	0	0	3	0	6	0.0000	1.0000	0xe6	3.0000
lit-nearmiss	search_short	9	3	0	0	3	0	6	0.0000	1.0000	0xe6	3.0000
lit-mixedascii-hit	search_short	14	10	8	0	2	0	4	0.5714	0.4286	0xe4	1.4000
lit-mixedascii-miss	search_short	16	16	16	0	0	0	0	1.0000	0.0000	n/a	1.0000
lit-cyrrun-hit	search_short	12	6	0	6	0	0	6	0.0000	1.0000	0xd0	2.0000
lit-offset-tail-hit	search_short	3	2	1	1	0	0	1	0.3333	0.6667	0xc3	1.5000
lit-offset-head-hit	search_short	3	2	1	1	0	0	1	0.3333	0.6667	0xc3	1.5000
lit-nfc-decomposed-miss	search_short	6	5	4	1	0	0	1	0.6667	0.3333	0xcc	1.2000
lit-nfc-precomposed-hit	search_short	8	7	6	1	0	0	1	0.7500	0.2500	0xc3	1.1429
lit-sharps-hit	search_short	11	10	9	1	0	0	1	0.8182	0.1818	0xc3	1.1000
lit-sharps-miss	search_short	11	11	11	0	0	0	0	1.0000	0.0000	n/a	1.0000
lit-anchored-extra-miss	search_short	15	5	0	0	5	0	10	0.0000	1.0000	0xe6	3.0000
ci-eacute-triple	search_short	2	1	0	1	0	0	1	0.0000	1.0000	0xc3	2.0000
ci-moskva-hit	search_short	12	6	0	6	0	0	6	0.0000	1.0000	0xd0	2.0000
ci-greek-hit	search_short	6	3	0	3	0	0	3	0.0000	1.0000	0xce	2.0000
ci-kelvin-hit	search_short	4	2	1	0	1	0	2	0.2500	0.7500	0xe2	2.0000
ci-longs-hit	search_short	5	4	3	1	0	0	1	0.6000	0.4000	0xc5	1.2500
ci-classrange-hit	search_short	3	3	3	0	0	0	0	1.0000	0.0000	n/a	1.0000
ci-negfold-hit	search_short	3	2	1	1	0	0	1	0.3333	0.6667	0xc3	1.5000
ci-strasse-hit	search_short	7	6	5	1	0	0	1	0.7143	0.2857	0xc3	1.1667
ci-strasse-nearmiss	search_short	7	7	7	0	0	0	0	1.0000	0.0000	n/a	1.0000
ci-sigma-final-hit	search_short	10	5	0	5	0	0	5	0.0000	1.0000	0xce	2.0000
ci-sigma-capital-hit	search_short	10	5	0	5	0	0	5	0.0000	1.0000	0xce	2.0000
ci-turkish-i-capital-miss	search_short	9	8	7	1	0	0	1	0.7778	0.2222	0xc4	1.1250
ci-turkish-i-lower-miss	search_short	11	9	7	2	0	0	2	0.6364	0.3636	0xc4	1.2222
ci-ascii-control-hit	search_short	3	3	3	0	0	0	0	1.0000	0.0000	n/a	1.0000
ci-ascii-control-miss	search_short	6	6	6	0	0	0	0	1.0000	0.0000	n/a	1.0000
alt-sharedchar-hit	search_short	6	2	0	0	2	0	4	0.0000	1.0000	0xe6	3.0000
alt-nearmiss-miss	search_short	9	3	0	0	3	0	6	0.0000	1.0000	0xe6	3.0000
alt-sharedlead-hit	search_short	2	1	0	1	0	0	1	0.0000	1.0000	0xce	2.0000
alt-distinctlead-hit	search_short	5	4	3	1	0	0	1	0.6000	0.4000	0xc3	1.2500
alt-mixedwidth-1b	search_short	1	1	1	0	0	0	0	1.0000	0.0000	n/a	1.0000
alt-mixedwidth-2b	search_short	2	1	0	1	0	0	1	0.0000	1.0000	0xc3	2.0000
