# reporter: v16 (2026-09-08); filters: subbench=bounded, version=0.3, since=2026-09-04T23:00:00Z, until=2026-09-06T18:10:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_288d505_vm-in-caps-simdna, testee=pcrec_334fd10e_auto-caps-simdna, testee=pcrec_334fd10e_vm-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_d34c9131_vm-caps-simdna, testee=pcrec_d34c9131_vm-in-caps-simdna; source: store/index.tsv (8 record(s) matching this query); records: 8; excluded_invalid: 0; superseded: 0; newer_not_measured: 0; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.5; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.4 X13 (pre-flight + trial agreement) on 8; mixed_x13: False; include_provenance: False; worst_other_core_busy: 100.0% (pcrec_288d505_vm-in-caps-simdna / pw-8-64 / match-compliance); floor_pattern: floor
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						bounded@0.3__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260904T232830Z				agreement	agree (0 of 129 groups; 1 of 4300 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						bounded@0.3__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260905T001408Z				agreement	agree (0 of 129 groups; 0 of 4300 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						bounded@0.3__pcrec_288d505_vm-in-caps-simdna__budu-ryzen1600__20260905T025954Z				agreement	agree (0 of 129 groups; 2 of 4300 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						bounded@0.3__pcrec_334fd10e_auto-caps-simdna__budu-ryzen1600__20260905T090305Z				agreement	agree (0 of 126 groups; 0 of 4200 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						bounded@0.3__pcrec_334fd10e_vm-caps-simdna__budu-ryzen1600__20260905T094810Z				agreement	agree (0 of 129 groups; 0 of 4300 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						bounded@0.3__pcrec_d34c9131_auto-caps-simdna__budu-ryzen1600__20260906T163343Z				agreement	agree (0 of 126 groups; 2 of 4200 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						bounded@0.3__pcrec_d34c9131_vm-caps-simdna__budu-ryzen1600__20260906T171500Z				agreement	agree (0 of 129 groups; 0 of 4300 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						bounded@0.3__pcrec_d34c9131_vm-in-caps-simdna__budu-ryzen1600__20260906T175959Z				agreement	agree (0 of 129 groups; 0 of 4300 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
rank	cls-upto-1024	(set)	large-subject-throughput	plain	same program	pcrec_d34c9131_vm-in-caps-simdna	measured	pinned	5	median_ns	180060.356280	5	1.0000	0	0		faster ×1.53
rank	cls-upto-1024	(set)	large-subject-throughput	plain	same program	pcrec_d34c9131_vm-in-caps-simdna	measured	pinned	5	min_ns	179964.661232	5	1.0000	0	0		faster ×1.53
rank	cls-upto-1024	(set)	large-subject-throughput	plain	same program	pcrec_d34c9131_vm-in-caps-simdna	measured	pinned	5	max_ns	184626.741546	5	1.0000	0	0		faster ×1.53
rank	cls-upto-1024	(set)	large-subject-throughput	plain	same program	pcrec_d34c9131_vm-in-caps-simdna	measured	pinned	5	stddev_ns	1825.028743	5	1.0000	0	0		faster ×1.53
rank	cls-upto-1024	(set)	large-subject-throughput	plain	same program	pcrec_d34c9131_vm-in-caps-simdna	measured	pinned	5	ratio_vs_baseline	0.082584	5	1.0000	0	0		faster ×1.53
rank	cls-upto-1024	(set)	large-subject-throughput	plain	same program	pcrec_d34c9131_vm-in-caps-simdna	measured	pinned	5	ratio_vs_best	1.435791	5	1.0000	0	0		faster ×1.53
rank	cls-upto-1024	(set)	large-subject-throughput	plain	same program	pcrec_288d505_vm-in-caps-simdna	measured	pinned	6	median_ns	274763.257699	5	1.0000	0	0		
rank	cls-upto-1024	(set)	large-subject-throughput	plain	same program	pcrec_288d505_vm-in-caps-simdna	measured	pinned	6	min_ns	274508.061588	5	1.0000	0	0		
rank	cls-upto-1024	(set)	large-subject-throughput	plain	same program	pcrec_288d505_vm-in-caps-simdna	measured	pinned	6	max_ns	275735.346840	5	1.0000	0	0		
rank	cls-upto-1024	(set)	large-subject-throughput	plain	same program	pcrec_288d505_vm-in-caps-simdna	measured	pinned	6	stddev_ns	435.703665	5	1.0000	0	0		
rank	cls-upto-1024	(set)	large-subject-throughput	plain	same program	pcrec_288d505_vm-in-caps-simdna	measured	pinned	6	ratio_vs_baseline	0.126020	5	1.0000	0	0		
rank	cls-upto-1024	(set)	large-subject-throughput	plain	same program	pcrec_288d505_vm-in-caps-simdna	measured	pinned	6	ratio_vs_best	2.190946	5	1.0000	0	0		
compile_stamp						pcrec_288d505_vm-in-caps-simdna				engine	vm						
compile_stamp						pcrec_288d505_vm-in-caps-simdna				entry	_in						
compile_stamp						pcrec_288d505_vm-in-caps-simdna				prefilter	none						
compile_stamp						pcrec_288d505_vm-in-caps-simdna				vm_rungs	PCREC_VM_RUNG_CURSOR						
compile_stamp						pcrec_288d505_vm-in-caps-simdna				buffers	32768/131072 (caller-provided)						
compile_stamp						pcrec_288d505_vm-in-caps-simdna				frame	24						
compile_stamp						pcrec_288d505_vm-in-caps-simdna				scan_edges	0						
compile_stamp						pcrec_288d505_vm-in-caps-simdna				scan_edges_match	0						
compile_stamp						pcrec_288d505_vm-in-caps-simdna				engine_sel	forced						
compile	cls-upto-1024			plain	same program	pcrec_288d505_vm-in-caps-simdna				median_total_ns	154867229.000000	5					
compile	cls-upto-1024			plain	same program	pcrec_288d505_vm-in-caps-simdna				jitter	0.029						
compile	cls-upto-1024			plain	same program	pcrec_288d505_vm-in-caps-simdna				artifact_bytes	22704						
compile	cls-upto-1024			plain	same program	pcrec_288d505_vm-in-caps-simdna				emit_bytes	17890						
compile	cls-upto-1024			plain	same program	pcrec_288d505_vm-in-caps-simdna				emit_code_bytes	17890						
compile	cls-upto-1024			whole-subject	separate artifact	pcrec_288d505_vm-in-caps-simdna				median_total_ns	153554041.000000	5					
compile	cls-upto-1024			whole-subject	separate artifact	pcrec_288d505_vm-in-caps-simdna				jitter	0.021						
