# reporter: v16 (2026-09-08); filters: subbench=email-specimen, version=0.1; source: store/index.tsv (14 record(s) matching this query); records: 9; excluded_invalid: 0; superseded: 5; newer_not_measured: 0; subbench_versions: email-specimen@0.1; machines: budu-ryzen1600; schema_versions: 1.1,1.2; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.1-1.3 X13 (both samples quiet) on 9; mixed_x13: False; include_provenance: False; worst_other_core_busy: n/a; floor_pattern: none
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						email-specimen@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260825T221651Z				agreement	n/a (v1.2)						
record						email-specimen@0.1__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260825T174132Z				agreement	n/a (v1.1)						
record						email-specimen@0.1__pcrec_692c2e8_auto-caps-simdna__budu-ryzen1600__20260825T222422Z				agreement	n/a (v1.2)						
record						email-specimen@0.1__pcrec_692c2e8_auto-nocaps-simdna__budu-ryzen1600__20260825T222840Z				agreement	n/a (v1.2)						
record						email-specimen@0.1__pcrec_692c2e8_vm-caps-simdna__budu-ryzen1600__20260825T175933Z				agreement	n/a (v1.1)						
record						email-specimen@0.1__pcrec_692c2e8_vm-in-caps-simdna__budu-ryzen1600__20260825T180451Z				agreement	n/a (v1.1)						
record						email-specimen@0.1__pcrec_8da6120_auto-caps-simdna__budu-ryzen1600__20260825T065046Z				agreement	n/a (v1.1)						
record						email-specimen@0.1__pcrec_8da6120_auto-nocaps-simdna__budu-ryzen1600__20260825T063943Z				agreement	n/a (v1.1)						
record						email-specimen@0.1__pcrec_8da6120_vm-caps-simdna__budu-ryzen1600__20260825T064436Z				agreement	n/a (v1.1)						
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_692c2e8_auto-caps-simdna	measured	pinned	1	median_ns	13407252.071429	3	1.0000	0	0		selection changed (vm → dfa); now measured (was: gave-up)
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_692c2e8_auto-caps-simdna	measured	pinned	1	min_ns	13393398.357143	3	1.0000	0	0		selection changed (vm → dfa); now measured (was: gave-up)
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_692c2e8_auto-caps-simdna	measured	pinned	1	max_ns	13420142.785714	3	1.0000	0	0		selection changed (vm → dfa); now measured (was: gave-up)
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_692c2e8_auto-caps-simdna	measured	pinned	1	stddev_ns	8981.563534	3	1.0000	0	0		selection changed (vm → dfa); now measured (was: gave-up)
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_692c2e8_auto-caps-simdna	measured	pinned	1	ratio_vs_baseline	0.259232	3	1.0000	0	0		selection changed (vm → dfa); now measured (was: gave-up)
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_692c2e8_auto-caps-simdna	measured	pinned	1	ratio_vs_best	1.000000	3	1.0000	0	0		selection changed (vm → dfa); now measured (was: gave-up)
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_692c2e8_auto-nocaps-simdna	measured	pinned	2	median_ns	13418769.266667	3	1.0000	0	0		selection changed (vm → dfa); now measured (was: gave-up)
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_692c2e8_auto-nocaps-simdna	measured	pinned	2	min_ns	13372695.600000	3	1.0000	0	0		selection changed (vm → dfa); now measured (was: gave-up)
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_692c2e8_auto-nocaps-simdna	measured	pinned	2	max_ns	14691855.800000	3	1.0000	0	0		selection changed (vm → dfa); now measured (was: gave-up)
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_692c2e8_auto-nocaps-simdna	measured	pinned	2	stddev_ns	517409.207437	3	1.0000	0	0		selection changed (vm → dfa); now measured (was: gave-up)
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_692c2e8_auto-nocaps-simdna	measured	pinned	2	ratio_vs_baseline	0.259455	3	1.0000	0	0		selection changed (vm → dfa); now measured (was: gave-up)
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_692c2e8_auto-nocaps-simdna	measured	pinned	2	ratio_vs_best	1.000859	3	1.0000	0	0		selection changed (vm → dfa); now measured (was: gave-up)
rank	factored	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	3	median_ns	51719134.434896	3	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	3	min_ns	51639946.765625	3	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	3	max_ns	51748331.273438	3	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	3	stddev_ns	43748.105495	3	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	3	ratio_vs_baseline	1.000000	3	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	3	ratio_vs_best	3.857549	3	1.0000	0	0		
excluded	factored	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned		pass_rate	0.6667	3	0.6667	0	0	0	
excluded	factored	(set)	large-subject-throughput	plain	same program	pcrec_692c2e8_vm-caps-simdna	measured	pinned		pass_rate	0.6667	3	0.6667	5	0	-2:PCREC_ERR_STEPS×1 (smallest: t-c-long-atom-run, 1,048,576 B)	
excluded	factored	t-c-long-atom-run	large-subject-throughput	plain	same program	pcrec_692c2e8_vm-caps-simdna	measured	pinned		giveup_smallest	-2:PCREC_ERR_STEPS	1048576		1			
excluded	factored	(set)	large-subject-throughput	plain	same program	pcrec_692c2e8_vm-in-caps-simdna	measured	pinned		pass_rate	0.6667	3	0.6667	5	0	-2:PCREC_ERR_STEPS×1 (smallest: t-c-long-atom-run, 1,048,576 B)	
excluded	factored	t-c-long-atom-run	large-subject-throughput	plain	same program	pcrec_692c2e8_vm-in-caps-simdna	measured	pinned		giveup_smallest	-2:PCREC_ERR_STEPS	1048576		1			
excluded	factored	(set)	large-subject-throughput	plain	same program	pcrec_8da6120_auto-caps-simdna	measured	pinned		pass_rate	0.6667	3	0.6667	5	0	-2:PCREC_ERR_STEPS×1 (smallest: t-c-long-atom-run, 1,048,576 B)	
excluded	factored	t-c-long-atom-run	large-subject-throughput	plain	same program	pcrec_8da6120_auto-caps-simdna	measured	pinned		giveup_smallest	-2:PCREC_ERR_STEPS	1048576		1			
excluded	factored	(set)	large-subject-throughput	plain	same program	pcrec_8da6120_auto-nocaps-simdna	measured	pinned		pass_rate	0.6667	3	0.6667	5	0	-2:PCREC_ERR_STEPS×1 (smallest: t-c-long-atom-run, 1,048,576 B)	
