# reporter: v23 (2026-09-25); filters: subbench=capability, version=0.1, since=2026-09-22T00:00:00Z, until=2026-09-23T18:00:00Z, testee=pcrec_8d716693_auto-caps-simdna, testee=pcrec_8d716693_auto-nocaps-simdna, testee=pcrec_8d716693_vm-caps-simdna, testee=pcrec_8d716693_vm-in-caps-simdna, testee=pcrec_b1885a83_auto-caps-simdna, testee=pcrec_b1885a83_auto-nocaps-simdna, testee=pcrec_b1885a83_vm-caps-simdna, testee=pcrec_b1885a83_vm-in-caps-simdna, testee=oniguruma_6.9.10_default-caps-simdna, testee=rust_1.13.1_default-caps-simdna, testee=vectorscan_5.4.11_block-nosom-nocaps-simd; source: store/index.tsv (11 record(s) matching this query); records: 11; excluded_invalid: 0; superseded: 0; newer_not_measured: 0; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.6; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.4 X13 (pre-flight + trial agreement) on 11; mixed_x13: False; include_provenance: False; worst_other_core_busy: 62.5% (pcrec_8d716693_auto-caps-simdna / date-nested-plus / large-subject-throughput); floor_pattern: floor-byte; null_band: pcrec 8d716693 -> b1885a83: census reports/identity/capability@0.1/pcrec_8d716693__b1885a83.tsv, 346 null of 494 cells, strata ok=4 insufficient=1 empty=1, n_min=10
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						capability@0.1__oniguruma_6.9.10_default-caps-simdna__budu-ryzen1600__20260922T043951Z				agreement	agree (0 of 123 groups; 0 of 4831 rows; 5 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_8d716693_auto-caps-simdna__budu-ryzen1600__20260923T031941Z				agreement	agree (0 of 124 groups; 6 of 4834 rows; 2 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_8d716693_auto-nocaps-simdna__budu-ryzen1600__20260923T035507Z				agreement	agree (0 of 126 groups; 6 of 4912 rows; 2 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_8d716693_vm-caps-simdna__budu-ryzen1600__20260923T042632Z				agreement	agree (0 of 124 groups; 4 of 4834 rows; 2 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_8d716693_vm-in-caps-simdna__budu-ryzen1600__20260923T050923Z				agreement	agree (0 of 124 groups; 7 of 4834 rows; 2 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_b1885a83_auto-caps-simdna__budu-ryzen1600__20260923T114747Z				agreement	agree (0 of 124 groups; 7 of 4834 rows; 2 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_b1885a83_auto-nocaps-simdna__budu-ryzen1600__20260923T122232Z				agreement	agree (0 of 126 groups; 4 of 4912 rows; 2 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_b1885a83_vm-caps-simdna__budu-ryzen1600__20260923T125206Z				agreement	agree (0 of 124 groups; 2 of 4834 rows; 2 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_b1885a83_vm-in-caps-simdna__budu-ryzen1600__20260923T133317Z				agreement	agree (0 of 124 groups; 7 of 4834 rows; 2 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__rust_1.13.1_default-caps-simdna__budu-ryzen1600__20260922T051752Z				agreement	agree (0 of 82 groups; 2 of 3194 rows; 4 unjudged; k=1.5, 2/3; 5 trials)						
