path	subbench	version	testee_id	machine_id	timestamp	status	rows
records/bounded@0.3/libpcre2_10.46_interp-caps-simdna/bounded@0.3__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260902T024548Z.jsonl	bounded	0.3	libpcre2_10.46_interp-caps-simdna	budu-ryzen1600	2026-09-02T02:45:48Z	measured	21715
records/bounded@0.3/libpcre2_10.46_interp-caps-simdna/bounded@0.3__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260904T232830Z.jsonl	bounded	0.3	libpcre2_10.46_interp-caps-simdna	budu-ryzen1600	2026-09-04T23:28:30Z	measured	21715
records/bounded@0.3/libpcre2_10.46_jit-caps-simdna/bounded@0.3__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260902T032805Z.jsonl	bounded	0.3	libpcre2_10.46_jit-caps-simdna	budu-ryzen1600	2026-09-02T03:28:05Z	measured	21715
records/bounded@0.3/libpcre2_10.46_jit-caps-simdna/bounded@0.3__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260905T001408Z.jsonl	bounded	0.3	libpcre2_10.46_jit-caps-simdna	budu-ryzen1600	2026-09-05T00:14:08Z	measured	21715
records/bounded@0.3/pcrec_1989c62_auto-caps-simdna/bounded@0.3__pcrec_1989c62_auto-caps-simdna__budu-ryzen1600__20260902T035759Z.jsonl	bounded	0.3	pcrec_1989c62_auto-caps-simdna	budu-ryzen1600	2026-09-02T03:57:59Z	measured	21422
records/bounded@0.3/pcrec_1989c62_auto-caps-simdna_cc-clang/bounded@0.3__pcrec_1989c62_auto-caps-simdna_cc-clang__budu-ryzen1600__20260902T100831Z.jsonl	bounded	0.3	pcrec_1989c62_auto-caps-simdna_cc-clang	budu-ryzen1600	2026-09-02T10:08:31Z	measured	21422
records/bounded@0.3/pcrec_1989c62_auto-caps-simdna_cc-clang/bounded@0.3__pcrec_1989c62_auto-caps-simdna_cc-clang__budu-ryzen1600__20260903T092843Z.jsonl	bounded	0.3	pcrec_1989c62_auto-caps-simdna_cc-clang	budu-ryzen1600	2026-09-03T09:28:43Z	measured	21422
records/bounded@0.3/pcrec_1989c62_auto-nocaps-simdna/bounded@0.3__pcrec_1989c62_auto-nocaps-simdna__budu-ryzen1600__20260902T044248Z.jsonl	bounded	0.3	pcrec_1989c62_auto-nocaps-simdna	budu-ryzen1600	2026-09-02T04:42:48Z	measured	21422
records/bounded@0.3/pcrec_1989c62_auto-nocaps-simdna_cc-clang/bounded@0.3__pcrec_1989c62_auto-nocaps-simdna_cc-clang__budu-ryzen1600__20260902T130628Z.jsonl	bounded	0.3	pcrec_1989c62_auto-nocaps-simdna_cc-clang	budu-ryzen1600	2026-09-02T13:06:28Z	measured	21422
records/bounded@0.3/pcrec_1989c62_vm-caps-simdna/bounded@0.3__pcrec_1989c62_vm-caps-simdna__budu-ryzen1600__20260902T052525Z.jsonl	bounded	0.3	pcrec_1989c62_vm-caps-simdna	budu-ryzen1600	2026-09-02T05:25:25Z	measured	21930
