# reporter: v16 (2026-09-08); filters: subbench=syntax, version=0.1, since=2026-09-07T00:00:00Z, until=2026-09-07T05:00:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_d34c9131_auto-nocaps-simdna, testee=pcrec_d34c9131_vm-caps-simdna, testee=pcrec_d34c9131_vm-in-caps-simdna; source: store/index.tsv (6 record(s) matching this query); records: 6; excluded_invalid: 0; superseded: 0; newer_not_measured: 0; subbench_versions: syntax@0.1; machines: budu-ryzen1600; schema_versions: 1.5; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.4 X13 (pre-flight + trial agreement) on 6; mixed_x13: False; include_provenance: False; worst_other_core_busy: 30.15% (libpcre2_10.46_interp-caps-simdna / grp-atomic-alt / large-subject-throughput); floor_pattern: floor
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						syntax@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260907T003211Z				agreement	agree (0 of 282 groups; 0 of 8256 rows; 9 unjudged; k=1.5, 2/3; 5 trials)						
record						syntax@0.1__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260907T012625Z				agreement	agree (0 of 282 groups; 0 of 8256 rows; 9 unjudged; k=1.5, 2/3; 5 trials)						
record						syntax@0.1__pcrec_d34c9131_auto-caps-simdna__budu-ryzen1600__20260907T020654Z				agreement	agree (0 of 239 groups; 0 of 6994 rows; 11 unjudged; k=1.5, 2/3; 5 trials)						
record						syntax@0.1__pcrec_d34c9131_auto-nocaps-simdna__budu-ryzen1600__20260907T024658Z				agreement	agree (0 of 239 groups; 0 of 6994 rows; 11 unjudged; k=1.5, 2/3; 5 trials)						
record						syntax@0.1__pcrec_d34c9131_vm-caps-simdna__budu-ryzen1600__20260907T032217Z				agreement	agree (0 of 239 groups; 2 of 6994 rows; 11 unjudged; k=1.5, 2/3; 5 trials)						
record						syntax@0.1__pcrec_d34c9131_vm-in-caps-simdna__budu-ryzen1600__20260907T040605Z				agreement	agree (0 of 239 groups; 14 of 6994 rows; 11 unjudged; k=1.5, 2/3; 5 trials)						
rank	cnd-group	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	median_ns	5117814.755102	3	1.0000	0	0		
rank	cnd-group	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	min_ns	5104800.816327	3	1.0000	0	0		
rank	cnd-group	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	max_ns	5126229.918367	3	1.0000	0	0		
rank	cnd-group	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	stddev_ns	8302.526343	3	1.0000	0	0		
rank	cnd-group	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	ratio_vs_baseline	0.648410	3	1.0000	0	0		
rank	cnd-group	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	ratio_vs_best	1.000000	3	1.0000	0	0		
rank	cnd-group	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	2	median_ns	7892864.411765	3	1.0000	0	0		
rank	cnd-group	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	2	min_ns	7831791.735294	3	1.0000	0	0		
rank	cnd-group	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	2	max_ns	7918445.470588	3	1.0000	0	0		
rank	cnd-group	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	2	stddev_ns	30791.238106	3	1.0000	0	0		
rank	cnd-group	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	2	ratio_vs_baseline	1.000000	3	1.0000	0	0		
rank	cnd-group	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	2	ratio_vs_best	1.542233	3	1.0000	0	0		
did_not_compile	cnd-group	(set)	large-subject-throughput			pcrec_d34c9131_auto-caps-simdna	did-not-compile									pcrec: module 'conditionals' is enabled but (?(...) is not implemented yet (pattern offset 8)	
did_not_compile	cnd-group	(set)	large-subject-throughput			pcrec_d34c9131_auto-nocaps-simdna	did-not-compile									pcrec: module 'conditionals' is enabled but (?(...) is not implemented yet (pattern offset 8)	
did_not_compile	cnd-group	(set)	large-subject-throughput			pcrec_d34c9131_vm-caps-simdna	did-not-compile									pcrec: module 'conditionals' is enabled but (?(...) is not implemented yet (pattern offset 8)	
did_not_compile	cnd-group	(set)	large-subject-throughput			pcrec_d34c9131_vm-in-caps-simdna	did-not-compile									pcrec: module 'conditionals' is enabled but (?(...) is not implemented yet (pattern offset 8)	
rank	cnd-group	(set)	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	median_ns	2408.059267	42	1.0000	0	0		
rank	cnd-group	(set)	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	min_ns	2397.698490	42	1.0000	0	0		
rank	cnd-group	(set)	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	max_ns	2515.182891	42	1.0000	0	0		
