rule_id	fired	firing_seq	pattern	subject_or_na	regime	form	testee	record_id	prediction_id	slot	value
R-STATUS-1	0	0									no-matching-rows
R-STATUS-2	1	1					libpcre2_10.46_interp-caps-simdna	email-specimen@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260825T173402Z		record_id	email-specimen@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260825T173402Z
R-STATUS-2	1	1					libpcre2_10.46_interp-caps-simdna	email-specimen@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260825T173402Z		testee	libpcre2_10.46_interp-caps-simdna
R-STATUS-2	1	1					libpcre2_10.46_interp-caps-simdna	email-specimen@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260825T173402Z		timestamp	2026-08-25T17:34:02Z
R-STATUS-2	1	1					libpcre2_10.46_interp-caps-simdna	email-specimen@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260825T173402Z		subbench	email-specimen
R-STATUS-2	1	1					libpcre2_10.46_interp-caps-simdna	email-specimen@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260825T173402Z		version	0.1
R-STATUS-2	1	1					libpcre2_10.46_interp-caps-simdna	email-specimen@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260825T173402Z		machine	budu-ryzen1600
R-STATUS-2	1	1					libpcre2_10.46_interp-caps-simdna	email-specimen@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260825T173402Z		status	inconclusive-load
R-STATUS-2	1	2					pcrec_692c2e8_auto-caps-simdna	email-specimen@0.1__pcrec_692c2e8_auto-caps-simdna__budu-ryzen1600__20260825T175131Z		record_id	email-specimen@0.1__pcrec_692c2e8_auto-caps-simdna__budu-ryzen1600__20260825T175131Z
R-STATUS-2	1	2					pcrec_692c2e8_auto-caps-simdna	email-specimen@0.1__pcrec_692c2e8_auto-caps-simdna__budu-ryzen1600__20260825T175131Z		testee	pcrec_692c2e8_auto-caps-simdna
R-STATUS-2	1	2					pcrec_692c2e8_auto-caps-simdna	email-specimen@0.1__pcrec_692c2e8_auto-caps-simdna__budu-ryzen1600__20260825T175131Z		timestamp	2026-08-25T17:51:31Z
R-STATUS-2	1	2					pcrec_692c2e8_auto-caps-simdna	email-specimen@0.1__pcrec_692c2e8_auto-caps-simdna__budu-ryzen1600__20260825T175131Z		subbench	email-specimen
R-STATUS-2	1	2					pcrec_692c2e8_auto-caps-simdna	email-specimen@0.1__pcrec_692c2e8_auto-caps-simdna__budu-ryzen1600__20260825T175131Z		version	0.1
R-STATUS-2	1	2					pcrec_692c2e8_auto-caps-simdna	email-specimen@0.1__pcrec_692c2e8_auto-caps-simdna__budu-ryzen1600__20260825T175131Z		machine	budu-ryzen1600
R-STATUS-2	1	2					pcrec_692c2e8_auto-caps-simdna	email-specimen@0.1__pcrec_692c2e8_auto-caps-simdna__budu-ryzen1600__20260825T175131Z		status	inconclusive-load
