rule_id	fired	firing_seq	pattern	subject_or_na	regime	form	testee	record_id	prediction_id	slot	value
R-STATUS-1	0	0									no-matching-rows
R-STATUS-2	0	0									no-matching-rows
R-STATUS-3	0	0									no-matching-rows
R-STATUS-4	1	1	cls-upto-65535				pcrec_334fd10e_auto-caps-simdna			pattern	cls-upto-65535
R-STATUS-4	1	1	cls-upto-65535				pcrec_334fd10e_auto-caps-simdna			testee	pcrec_334fd10e_auto-caps-simdna
R-STATUS-4	1	1	cls-upto-65535				pcrec_334fd10e_auto-caps-simdna			diagnostic	pcrec: pattern too large (NFA exceeds 131072 states) (pattern offset 0)
R-STATUS-4	1	2	cls-upto-65535				pcrec_d34c9131_auto-caps-simdna			pattern	cls-upto-65535
R-STATUS-4	1	2	cls-upto-65535				pcrec_d34c9131_auto-caps-simdna			testee	pcrec_d34c9131_auto-caps-simdna
R-STATUS-4	1	2	cls-upto-65535				pcrec_d34c9131_auto-caps-simdna			diagnostic	pcrec: pattern too large (NFA exceeds 131072 states; raise with --max-nfa-states) (pattern offset 0)
R-STATUS-5	0	0									no-matching-rows
R-STATUS-6	0	0									no-matching-rows
R-STATUS-7	0	0									no-matching-rows
R-STATUS-8	1	1								worst_other_core_busy	100.0% (pcrec_288d505_vm-in-caps-simdna / pw-8-64 / match-compliance)
R-STATUS-9	0	0									no-matching-rows
R-STATUS-10	0	0									no-matching-rows
R-STATUS-11	0	0									no-matching-rows
R-STATUS-12	0	0									no-matching-rows
R-STATUS-13	0	0									no-matching-rows
R-DELTA-1	1	1	cls-atleast-4096		large-subject-throughput	plain	pcrec_d34c9131_vm-in-caps-simdna			pattern	cls-atleast-4096
R-DELTA-1	1	1	cls-atleast-4096		large-subject-throughput	plain	pcrec_d34c9131_vm-in-caps-simdna			regime	large-subject-throughput
R-DELTA-1	1	1	cls-atleast-4096		large-subject-throughput	plain	pcrec_d34c9131_vm-in-caps-simdna			form	plain
R-DELTA-1	1	1	cls-atleast-4096		large-subject-throughput	plain	pcrec_d34c9131_vm-in-caps-simdna			testee	pcrec_d34c9131_vm-in-caps-simdna
R-DELTA-1	1	1	cls-atleast-4096		large-subject-throughput	plain	pcrec_d34c9131_vm-in-caps-simdna			verdict	slower ×1.08
R-DELTA-1	1	1	cls-atleast-4096		large-subject-throughput	plain	pcrec_d34c9131_vm-in-caps-simdna			median_ns	78,505.5
R-DELTA-1	1	1	cls-atleast-4096		large-subject-throughput	plain	pcrec_d34c9131_vm-in-caps-simdna			config	vm-in-caps-simdna
R-DELTA-1	1	1	cls-atleast-4096		large-subject-throughput	plain	pcrec_d34c9131_vm-in-caps-simdna			direction	slower
R-DELTA-1	1	1	cls-atleast-4096		large-subject-throughput	plain	pcrec_d34c9131_vm-in-caps-simdna			ratio	1.08
R-DELTA-1	1	2	cls-atleast-4096		match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna			pattern	cls-atleast-4096
R-DELTA-1	1	2	cls-atleast-4096		match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna			regime	match-compliance
R-DELTA-1	1	2	cls-atleast-4096		match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna			form	whole-subject
R-DELTA-1	1	2	cls-atleast-4096		match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna			testee	pcrec_d34c9131_vm-caps-simdna
R-DELTA-1	1	2	cls-atleast-4096		match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna			verdict	slower ×1.01
R-DELTA-1	1	2	cls-atleast-4096		match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna			median_ns	1,591.9
R-DELTA-1	1	2	cls-atleast-4096		match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna			config	vm-caps-simdna
R-DELTA-1	1	2	cls-atleast-4096		match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna			direction	slower
R-DELTA-1	1	2	cls-atleast-4096		match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna			ratio	1.01
R-DELTA-1	1	3	cls-atleast-4096		match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna			pattern	cls-atleast-4096
R-DELTA-1	1	3	cls-atleast-4096		match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna			regime	match-compliance
R-DELTA-1	1	3	cls-atleast-4096		match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna			form	whole-subject
R-DELTA-1	1	3	cls-atleast-4096		match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna			testee	pcrec_d34c9131_vm-in-caps-simdna
R-DELTA-1	1	3	cls-atleast-4096		match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna			verdict	faster ×1.11
R-DELTA-1	1	3	cls-atleast-4096		match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna			median_ns	1,468.7
R-DELTA-1	1	3	cls-atleast-4096		match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna			config	vm-in-caps-simdna
R-DELTA-1	1	3	cls-atleast-4096		match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna			direction	faster
R-DELTA-1	1	3	cls-atleast-4096		match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna			ratio	1.11
R-DELTA-1	1	4	cls-atleast-4096		short-subject-search	plain	pcrec_d34c9131_vm-caps-simdna			pattern	cls-atleast-4096
R-DELTA-1	1	4	cls-atleast-4096		short-subject-search	plain	pcrec_d34c9131_vm-caps-simdna			regime	short-subject-search
R-DELTA-1	1	4	cls-atleast-4096		short-subject-search	plain	pcrec_d34c9131_vm-caps-simdna			form	plain
R-DELTA-1	1	4	cls-atleast-4096		short-subject-search	plain	pcrec_d34c9131_vm-caps-simdna			testee	pcrec_d34c9131_vm-caps-simdna
R-DELTA-1	1	4	cls-atleast-4096		short-subject-search	plain	pcrec_d34c9131_vm-caps-simdna			verdict	slower ×1.00
