# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=email-specimen, version=0.2, until=2026-08-29T00:00:00Z; source: store/index.tsv (6 record(s) matching this query); records: 6; subbench_versions: email-specimen@0.2; machines: budu-ryzen1600; schema_versions: 1.3; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_35e1ab1_auto-caps-simdna,pcrec_35e1ab1_auto-nocaps-simdna,pcrec_35e1ab1_vm-caps-simdna,pcrec_35e1ab1_vm-in-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_35e1ab1_auto-caps-simdna,pcrec_35e1ab1_vm-caps-simdna,pcrec_35e1ab1_vm-in-caps-simdna; no=pcrec_35e1ab1_auto-nocaps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_35e1ab1_auto-caps-simdna	pcrec_35e1ab1_auto-nocaps-simdna	pcrec_35e1ab1_vm-caps-simdna	pcrec_35e1ab1_vm-in-caps-simdna
email-specimen@0.2	factored	large-subject-throughput	plain	pcrec_35e1ab1_auto-nocaps-simdna	13593900.0	pcrec_35e1ab1_auto-caps-simdna	13684627.4	pcrec_35e1ab1_auto-nocaps-simdna	13593900.0	36.869817	excluded	1.006674	1.000000	gave-up	gave-up
email-specimen@0.2	factored	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1825025.0	libpcre2_10.46_interp-caps-simdna	1825025.0			1.000000	1.015212	excluded	excluded	excluded	excluded
email-specimen@0.2	factored	match-compliance	whole-subject	pcrec_35e1ab1_auto-caps-simdna	130228.4	pcrec_35e1ab1_auto-caps-simdna	130228.4	pcrec_35e1ab1_auto-nocaps-simdna	133944.5	excluded	excluded	1.000000	1.028535	gave-up	3.503671
email-specimen@0.2	factored	short-subject-search	plain	pcrec_35e1ab1_auto-nocaps-simdna	3528.7	pcrec_35e1ab1_auto-caps-simdna	3666.5	pcrec_35e1ab1_auto-nocaps-simdna	3528.7	39.059596	4.333328	1.039048	1.000000	15.261448	15.346078
email-specimen@0.2	floor	large-subject-throughput	plain	pcrec_35e1ab1_auto-caps-simdna	711403.3	pcrec_35e1ab1_auto-caps-simdna	711403.3	pcrec_35e1ab1_auto-nocaps-simdna	712658.0	5.221399	2.664188	1.000000	1.001764	22.060975	22.247772
email-specimen@0.2	floor	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2573.1	libpcre2_10.46_jit-caps-simdna	2573.1			1.001069	1.000000	excluded	excluded	excluded	excluded
email-specimen@0.2	floor	match-compliance	whole-subject	pcrec_35e1ab1_vm-caps-simdna	633.6	pcrec_35e1ab1_vm-caps-simdna	633.6	pcrec_35e1ab1_auto-nocaps-simdna	2353.4	excluded	excluded	3.707263	3.714287	1.000000	1.233222
email-specimen@0.2	floor	short-subject-search	plain	pcrec_35e1ab1_auto-caps-simdna	1361.4	pcrec_35e1ab1_auto-caps-simdna	1361.4	pcrec_35e1ab1_auto-nocaps-simdna	1365.8	5.480009	2.501981	1.000000	1.003235	1.842225	1.858780
email-specimen@0.2	orig	large-subject-throughput	plain	pcrec_35e1ab1_auto-nocaps-simdna	13586691.1	pcrec_35e1ab1_auto-caps-simdna	13609551.7	pcrec_35e1ab1_auto-nocaps-simdna	13586691.1	9.024982	1.339589	1.001683	1.000000	gave-up	gave-up
email-specimen@0.2	orig	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	534774.2	libpcre2_10.46_jit-caps-simdna	534774.2			1.000961	1.000000	excluded	excluded	excluded	excluded
email-specimen@0.2	orig	match-compliance	whole-subject	pcrec_35e1ab1_vm-in-caps-simdna	62129.7	pcrec_35e1ab1_vm-in-caps-simdna	62129.7	pcrec_35e1ab1_auto-nocaps-simdna	133784.0	excluded	excluded	2.153553	2.153302	1.010868	1.000000
