# reporter: v12 (2026-09-02); filters: subbench=email-specimen, version=0.2, until=2026-08-29T00:00:00Z; source: store/index.tsv (6 record(s) matching this query); records: 6; excluded_invalid: 0; superseded: 0; newer_not_measured: 0; subbench_versions: email-specimen@0.2; machines: budu-ryzen1600; schema_versions: 1.3; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.1-1.3 X13 (both samples quiet) on 6; mixed_x13: False; include_provenance: False; worst_other_core_busy: n/a
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						email-specimen@0.2__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260828T145051Z				agreement	n/a (v1.3)						
record						email-specimen@0.2__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260828T141718Z				agreement	n/a (v1.3)						
record						email-specimen@0.2__pcrec_35e1ab1_auto-caps-simdna__budu-ryzen1600__20260828T142809Z				agreement	n/a (v1.3)						
record						email-specimen@0.2__pcrec_35e1ab1_auto-nocaps-simdna__budu-ryzen1600__20260828T143259Z				agreement	n/a (v1.3)						
record						email-specimen@0.2__pcrec_35e1ab1_vm-caps-simdna__budu-ryzen1600__20260828T143810Z				agreement	n/a (v1.3)						
record						email-specimen@0.2__pcrec_35e1ab1_vm-in-caps-simdna__budu-ryzen1600__20260828T144426Z				agreement	n/a (v1.3)						
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_35e1ab1_auto-nocaps-simdna	measured	pinned	1	median_ns	13593900.000000	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_35e1ab1_auto-nocaps-simdna	measured	pinned	1	min_ns	13556964.750000	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_35e1ab1_auto-nocaps-simdna	measured	pinned	1	max_ns	13728371.375000	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_35e1ab1_auto-nocaps-simdna	measured	pinned	1	stddev_ns	59896.232304	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_35e1ab1_auto-nocaps-simdna	measured	pinned	1	ratio_vs_baseline	0.027122	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_35e1ab1_auto-nocaps-simdna	measured	pinned	1	ratio_vs_best	1.000000	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	2	median_ns	13684627.375000	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	2	min_ns	13638732.125000	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	2	max_ns	13864401.562500	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	2	stddev_ns	78198.442989	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	2	ratio_vs_baseline	0.027303	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	2	ratio_vs_best	1.006674	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	3	median_ns	501204604.435897	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	3	min_ns	498857639.025641	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	3	max_ns	504528853.871795	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	3	stddev_ns	1816122.251102	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	3	ratio_vs_baseline	1.000000	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	3	ratio_vs_best	36.869817	5	1.0000	0	0		
excluded	factored	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned		pass_rate	0.8000	5	0.8000	0	0	0	
excluded	factored	(set)	large-subject-throughput	plain	same program	pcrec_35e1ab1_vm-caps-simdna	measured	pinned		pass_rate	0.8000	5	0.8000	5	0	-2:PCREC_ERR_STEPS×1 (smallest: t-c-long-atom-run, 1,048,576 B)	
excluded	factored	(set)	large-subject-throughput	plain	same program	pcrec_35e1ab1_vm-in-caps-simdna	measured	pinned		pass_rate	0.8000	5	0.8000	5	0	-2:PCREC_ERR_STEPS×1 (smallest: t-c-long-atom-run, 1,048,576 B)	
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	1	median_ns	130228.416141	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	1	min_ns	130199.948061	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	1	max_ns	130355.585498	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	1	stddev_ns	55.703567	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	1	ratio_vs_baseline	0.071357	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	1	ratio_vs_best	1.000000	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_35e1ab1_auto-nocaps-simdna	measured	pinned	2	median_ns	133944.516430	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_35e1ab1_auto-nocaps-simdna	measured	pinned	2	min_ns	133867.889136	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_35e1ab1_auto-nocaps-simdna	measured	pinned	2	max_ns	134190.868603	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_35e1ab1_auto-nocaps-simdna	measured	pinned	2	stddev_ns	110.265796	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_35e1ab1_auto-nocaps-simdna	measured	pinned	2	ratio_vs_baseline	0.073393	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_35e1ab1_auto-nocaps-simdna	measured	pinned	2	ratio_vs_best	1.028535	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_35e1ab1_vm-in-caps-simdna	measured	pinned	3	median_ns	456277.520089	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_35e1ab1_vm-in-caps-simdna	measured	pinned	3	min_ns	454029.366718	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_35e1ab1_vm-in-caps-simdna	measured	pinned	3	max_ns	463699.538066	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_35e1ab1_vm-in-caps-simdna	measured	pinned	3	stddev_ns	3715.271966	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_35e1ab1_vm-in-caps-simdna	measured	pinned	3	ratio_vs_baseline	0.250012	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_35e1ab1_vm-in-caps-simdna	measured	pinned	3	ratio_vs_best	3.503671	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	4	median_ns	1825025.000462	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	4	min_ns	1815613.283244	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	4	max_ns	1867137.070002	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	4	stddev_ns	20348.490234	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	4	ratio_vs_baseline	1.000000	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	4	ratio_vs_best	14.014031	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	5	median_ns	1852787.665887	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	5	min_ns	1824863.048466	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	5	max_ns	1854982.155595	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	5	stddev_ns	13704.999451	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	5	ratio_vs_baseline	1.015212	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	5	ratio_vs_best	14.227215	85	1.0000	0	0		
excluded	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_35e1ab1_vm-caps-simdna	measured	pinned		pass_rate	0.9412	85	0.9412	25	0	-3:PCREC_ERR_FRAMES×5 (smallest: s-061, 2,008 B)	
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_auto-nocaps-simdna	measured	pinned	1	median_ns	3528.673129	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_auto-nocaps-simdna	measured	pinned	1	min_ns	3525.750792	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_auto-nocaps-simdna	measured	pinned	1	max_ns	3539.265677	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_auto-nocaps-simdna	measured	pinned	1	stddev_ns	5.038184	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_auto-nocaps-simdna	measured	pinned	1	ratio_vs_baseline	0.025602	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_auto-nocaps-simdna	measured	pinned	1	ratio_vs_best	1.000000	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	2	median_ns	3666.462321	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	2	min_ns	3665.795387	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	2	max_ns	3669.901062	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	2	stddev_ns	1.528050	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	2	ratio_vs_baseline	0.026602	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	2	ratio_vs_best	1.039048	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	3	median_ns	15290.899157	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	3	min_ns	15257.225311	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	3	max_ns	15566.443349	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	3	stddev_ns	127.677674	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	3	ratio_vs_baseline	0.110941	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	3	ratio_vs_best	4.333328	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_vm-caps-simdna	measured	pinned	4	median_ns	53852.663148	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_vm-caps-simdna	measured	pinned	4	min_ns	53636.096163	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_vm-caps-simdna	measured	pinned	4	max_ns	54444.304607	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_vm-caps-simdna	measured	pinned	4	stddev_ns	320.906385	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_vm-caps-simdna	measured	pinned	4	ratio_vs_baseline	0.390722	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_vm-caps-simdna	measured	pinned	4	ratio_vs_best	15.261448	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_vm-in-caps-simdna	measured	pinned	5	median_ns	54151.293082	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_vm-in-caps-simdna	measured	pinned	5	min_ns	53905.147005	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_vm-in-caps-simdna	measured	pinned	5	max_ns	54258.674862	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_vm-in-caps-simdna	measured	pinned	5	stddev_ns	119.106663	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_vm-in-caps-simdna	measured	pinned	5	ratio_vs_baseline	0.392889	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_35e1ab1_vm-in-caps-simdna	measured	pinned	5	ratio_vs_best	15.346078	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	6	median_ns	137828.546957	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	6	min_ns	137490.340665	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	6	max_ns	138452.870416	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	6	stddev_ns	336.272092	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	6	ratio_vs_baseline	1.000000	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	6	ratio_vs_best	39.059596	77	1.0000	0	0		
rank	floor	(set)	large-subject-throughput	plain	same program	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	1	median_ns	711403.284672	5	1.0000	0	0		
rank	floor	(set)	large-subject-throughput	plain	same program	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	1	min_ns	710834.228710	5	1.0000	0	0		
rank	floor	(set)	large-subject-throughput	plain	same program	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	1	max_ns	714069.663017	5	1.0000	0	0		
rank	floor	(set)	large-subject-throughput	plain	same program	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	1	stddev_ns	1159.618931	5	1.0000	0	0		
rank	floor	(set)	large-subject-throughput	plain	same program	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	1	ratio_vs_baseline	0.191520	5	1.0000	0	0		
rank	floor	(set)	large-subject-throughput	plain	same program	pcrec_35e1ab1_auto-caps-simdna	measured	pinned	1	ratio_vs_best	1.000000	5	1.0000	0	0		
rank	floor	(set)	large-subject-throughput	plain	same program	pcrec_35e1ab1_auto-nocaps-simdna	measured	pinned	2	median_ns	712657.968828	5	1.0000	0	0		
rank	floor	(set)	large-subject-throughput	plain	same program	pcrec_35e1ab1_auto-nocaps-simdna	measured	pinned	2	min_ns	711305.855362	5	1.0000	0	0		
rank	floor	(set)	large-subject-throughput	plain	same program	pcrec_35e1ab1_auto-nocaps-simdna	measured	pinned	2	max_ns	713849.460100	5	1.0000	0	0		
