# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=loglines, version=0.1, until=2026-08-29T00:00:00Z; source: store/index.tsv (6 record(s) matching this query); records: 6; subbench_versions: loglines@0.1; machines: budu-ryzen1600; schema_versions: 1.3; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_35e1ab1_auto-caps-simdna,pcrec_35e1ab1_auto-nocaps-simdna,pcrec_35e1ab1_vm-caps-simdna,pcrec_35e1ab1_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_35e1ab1_auto-caps-simdna	pcrec_35e1ab1_auto-nocaps-simdna	pcrec_35e1ab1_vm-caps-simdna	pcrec_35e1ab1_vm-in-caps-simdna
loglines@0.1	bignum	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	11362573.2	5.100877	1.000000	1.143994	1.146015	3.021719	3.034473
loglines@0.1	bignum	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	394926.9	5.701687	1.000000	1.072756	1.072637	3.249530	3.248650
loglines@0.1	floor	large-subject-throughput	plain	pcrec_35e1ab1_auto-caps-simdna	2910847.8	4.985849	2.325451	1.000000	1.000334	5.467257	5.551609
loglines@0.1	floor	short-subject-search	plain	pcrec_35e1ab1_auto-caps-simdna	2036.9	5.537236	2.525178	1.000000	1.017160	2.255163	2.279723
loglines@0.1	hex32-id	large-subject-throughput	plain	pcrec_35e1ab1_auto-nocaps-simdna	12962618.9	7.473080	1.185246	1.002095	1.000000	2.740736	2.746746
loglines@0.1	hex32-id	short-subject-search	plain	pcrec_35e1ab1_auto-nocaps-simdna	430198.7	8.524446	1.142189	1.000830	1.000000	3.161550	3.164206
loglines@0.1	http-5xx	large-subject-throughput	plain	pcrec_35e1ab1_auto-caps-simdna	252593.6	7.627902	12.730470	1.000000	1.002374	52.364175	52.506887
loglines@0.1	http-5xx	short-subject-search	plain	pcrec_35e1ab1_auto-caps-simdna	7012.6	8.174655	14.970033	1.000000	1.000886	71.775113	71.784996
loglines@0.1	ipv4	large-subject-throughput	plain	pcrec_35e1ab1_auto-caps-simdna	6912530.3	28.884479	3.135782	1.000000	1.001570	11.211814	11.360967
loglines@0.1	ipv4	short-subject-search	plain	pcrec_35e1ab1_auto-nocaps-simdna	203601.8	38.365778	3.560180	1.002481	1.000000	14.618279	14.760107
loglines@0.1	ipv6	large-subject-throughput	plain	pcrec_35e1ab1_auto-nocaps-simdna	10287202.9	21.253121	3.082574	1.001152	1.000000	11.119002	11.284240
loglines@0.1	ipv6	short-subject-search	plain	pcrec_35e1ab1_auto-nocaps-simdna	258264.3	32.153286	4.394530	1.001018	1.000000	16.891497	16.982747
loglines@0.1	iso-ts	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	962270.8	63.347165	1.000000	7.334983	7.334985	26.249918	26.272768
loglines@0.1	iso-ts	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	21013.4	113.739230	1.000000	10.149111	10.154568	46.683303	46.769464
loglines@0.1	kv-quoted	large-subject-throughput	plain	pcrec_35e1ab1_auto-nocaps-simdna	14183179.7	4.627818	1.059922	1.001513	1.000000	2.476646	2.475963
loglines@0.1	kv-quoted	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	335288.6	5.548319	1.000000	1.496812	1.495510	4.000047	3.995983
loglines@0.1	level-context	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	3007462.0	1.986739	1.000000	refused	refused	13.601068	13.612720
loglines@0.1	level-context	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	115353.7	1.871257	1.000000	refused	refused	13.395562	13.394672
loglines@0.1	stack-frame	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	476245.7	10.548329	1.000000	32.051016	32.007389	61.183296	61.260988
loglines@0.1	stack-frame	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	17573.9	11.773867	1.000000	31.794650	31.727770	63.675925	63.642816
loglines@0.1	uuid	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	1740289.9	56.596316	1.000000	7.482826	7.473347	21.634327	21.629763
loglines@0.1	uuid	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	35766.3	103.648633	1.000000	12.156663	12.167388	40.746436	40.739587
