# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=email-specimen, version=0.2, until=2026-08-30T11:00:00Z; source: store/index.tsv (14 record(s) matching this query); records: 10; subbench_versions: email-specimen@0.2; machines: budu-ryzen1600; schema_versions: 1.3; superseded: 4; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_35e1ab1_auto-caps-simdna,pcrec_35e1ab1_auto-nocaps-simdna,pcrec_35e1ab1_vm-caps-simdna,pcrec_35e1ab1_vm-in-caps-simdna,pcrec_36d5963_auto-caps-simdna,pcrec_36d5963_auto-nocaps-simdna,pcrec_36d5963_vm-caps-simdna,pcrec_36d5963_vm-in-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_35e1ab1_auto-caps-simdna,pcrec_35e1ab1_vm-caps-simdna,pcrec_35e1ab1_vm-in-caps-simdna,pcrec_36d5963_auto-caps-simdna,pcrec_36d5963_vm-caps-simdna,pcrec_36d5963_vm-in-caps-simdna; no=pcrec_35e1ab1_auto-nocaps-simdna,pcrec_36d5963_auto-nocaps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_35e1ab1_auto-caps-simdna	pcrec_35e1ab1_auto-nocaps-simdna	pcrec_35e1ab1_vm-caps-simdna	pcrec_35e1ab1_vm-in-caps-simdna	pcrec_36d5963_auto-caps-simdna	pcrec_36d5963_auto-nocaps-simdna	pcrec_36d5963_vm-caps-simdna	pcrec_36d5963_vm-in-caps-simdna
email-specimen@0.2	factored	large-subject-throughput	plain	pcrec_35e1ab1_auto-nocaps-simdna	13593900.0	pcrec_35e1ab1_auto-caps-simdna	13684627.4	pcrec_35e1ab1_auto-nocaps-simdna	13593900.0	36.898149	excluded	1.006674	1.000000	gave-up	gave-up	1.009299	1.001138	gave-up	gave-up
email-specimen@0.2	factored	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1827130.5	libpcre2_10.46_interp-caps-simdna	1827130.5			1.000000	1.015023	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
email-specimen@0.2	factored	match-compliance	whole-subject	pcrec_36d5963_auto-nocaps-simdna	73286.4	pcrec_36d5963_auto-caps-simdna	73371.5	pcrec_36d5963_auto-nocaps-simdna	73286.4	excluded	excluded	1.776979	1.827685	gave-up	6.225948	1.001161	1.000000	gave-up	6.332747
email-specimen@0.2	factored	short-subject-search	plain	pcrec_35e1ab1_auto-nocaps-simdna	3528.7	pcrec_35e1ab1_auto-caps-simdna	3666.5	pcrec_35e1ab1_auto-nocaps-simdna	3528.7	39.091963	4.340507	1.039048	1.000000	15.261448	15.346078	1.043442	1.001633	15.222615	15.267148
email-specimen@0.2	floor	large-subject-throughput	plain	pcrec_35e1ab1_auto-caps-simdna	711403.3	pcrec_35e1ab1_auto-caps-simdna	711403.3	pcrec_36d5963_auto-nocaps-simdna	712225.7	5.208230	2.657757	1.000000	1.001764	22.060975	22.247772	1.001598	1.001156	23.782658	22.898381
email-specimen@0.2	floor	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2577.7	libpcre2_10.46_interp-caps-simdna	2577.7			1.000000	1.002639	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
email-specimen@0.2	floor	match-compliance	whole-subject	pcrec_36d5963_vm-caps-simdna	612.3	pcrec_36d5963_vm-caps-simdna	612.3	pcrec_36d5963_auto-nocaps-simdna	865.5	excluded	excluded	3.836536	3.843806	1.034870	1.276225	1.419626	1.413631	1.000000	1.279376
email-specimen@0.2	floor	short-subject-search	plain	pcrec_35e1ab1_auto-caps-simdna	1361.4	pcrec_35e1ab1_auto-caps-simdna	1361.4	pcrec_36d5963_auto-nocaps-simdna	1362.2	5.574815	2.548063	1.000000	1.003235	1.842225	1.858780	1.003635	1.000572	1.792670	1.811653
email-specimen@0.2	orig	large-subject-throughput	plain	pcrec_35e1ab1_auto-nocaps-simdna	13586691.1	pcrec_36d5963_auto-caps-simdna	13586898.8	pcrec_35e1ab1_auto-nocaps-simdna	13586691.1	9.116904	1.341036	1.001683	1.000000	gave-up	gave-up	1.000015	1.000338	gave-up	gave-up
email-specimen@0.2	orig	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	535094.0	libpcre2_10.46_interp-caps-simdna	535094.0			1.000000	1.000393	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
email-specimen@0.2	orig	match-compliance	whole-subject	pcrec_35e1ab1_vm-in-caps-simdna	62129.7	pcrec_35e1ab1_vm-in-caps-simdna	62129.7	pcrec_36d5963_auto-nocaps-simdna	73306.7	excluded	excluded	2.153553	2.153302	1.010868	1.000000	1.179950	1.179898	1.014385	1.009398
email-specimen@0.2	orig	short-subject-search	plain	pcrec_35e1ab1_auto-nocaps-simdna	3527.1	pcrec_36d5963_auto-caps-simdna	3531.7	pcrec_35e1ab1_auto-nocaps-simdna	3527.1	18.713403	1.737290	1.001657	1.000000	3.549021	3.581504	1.001311	1.002176	3.634579	3.727187
