# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=loglines, version=0.1, until=2026-08-30T11:00:00Z; source: store/index.tsv (13 record(s) matching this query); records: 10; subbench_versions: loglines@0.1; machines: budu-ryzen1600; schema_versions: 1.3; superseded: 3; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_35e1ab1_auto-caps-simdna,pcrec_35e1ab1_auto-nocaps-simdna,pcrec_35e1ab1_vm-caps-simdna,pcrec_35e1ab1_vm-in-caps-simdna,pcrec_36d5963_auto-caps-simdna,pcrec_36d5963_auto-nocaps-simdna,pcrec_36d5963_vm-caps-simdna,pcrec_36d5963_vm-in-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_35e1ab1_auto-caps-simdna,pcrec_35e1ab1_vm-caps-simdna,pcrec_35e1ab1_vm-in-caps-simdna,pcrec_36d5963_auto-caps-simdna,pcrec_36d5963_vm-caps-simdna,pcrec_36d5963_vm-in-caps-simdna; no=pcrec_35e1ab1_auto-nocaps-simdna,pcrec_36d5963_auto-nocaps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_35e1ab1_auto-caps-simdna	pcrec_35e1ab1_auto-nocaps-simdna	pcrec_35e1ab1_vm-caps-simdna	pcrec_35e1ab1_vm-in-caps-simdna	pcrec_36d5963_auto-caps-simdna	pcrec_36d5963_auto-nocaps-simdna	pcrec_36d5963_vm-caps-simdna	pcrec_36d5963_vm-in-caps-simdna
loglines@0.1	bignum	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	11326581.3	libpcre2_10.46_jit-caps-simdna	11326581.3	pcrec_36d5963_auto-nocaps-simdna	13016077.6	5.112946	1.000000	1.147629	1.149656	3.031321	3.044116	1.150360	1.149162	3.038130	3.034831
loglines@0.1	bignum	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	395230.7	libpcre2_10.46_jit-caps-simdna	395230.7	pcrec_35e1ab1_auto-nocaps-simdna	423613.3	5.696211	1.000000	1.071932	1.071813	3.247032	3.246153	1.074127	1.077316	3.247225	3.246076
loglines@0.1	floor	large-subject-throughput	plain	pcrec_35e1ab1_auto-caps-simdna	2910847.8	pcrec_35e1ab1_auto-caps-simdna	2910847.8	pcrec_35e1ab1_auto-nocaps-simdna	2911819.2	4.972649	2.303348	1.000000	1.000334	5.467257	5.551609	1.001662	1.002389	5.481969	5.536298
loglines@0.1	floor	short-subject-search	plain	pcrec_35e1ab1_auto-caps-simdna	2036.9	pcrec_35e1ab1_auto-caps-simdna	2036.9	pcrec_36d5963_auto-nocaps-simdna	2043.8	5.523252	2.502353	1.000000	1.017160	2.255163	2.279723	1.008973	1.003390	2.187383	2.220763
loglines@0.1	hex32-id	large-subject-throughput	plain	pcrec_35e1ab1_auto-nocaps-simdna	12962618.9	pcrec_35e1ab1_auto-caps-simdna	12989776.3	pcrec_35e1ab1_auto-nocaps-simdna	12962618.9	7.492383	1.184889	1.002095	1.000000	2.740736	2.746746	1.002139	1.003643	2.742565	2.766261
loglines@0.1	hex32-id	short-subject-search	plain	pcrec_35e1ab1_auto-nocaps-simdna	430198.7	pcrec_35e1ab1_auto-caps-simdna	430555.9	pcrec_35e1ab1_auto-nocaps-simdna	430198.7	8.544100	1.138539	1.000830	1.000000	3.161550	3.164206	1.001167	1.002453	3.164582	3.166147
loglines@0.1	http-5xx	large-subject-throughput	plain	pcrec_36d5963_auto-nocaps-simdna	252553.9	pcrec_35e1ab1_auto-caps-simdna	252593.6	pcrec_36d5963_auto-nocaps-simdna	252553.9	7.617944	12.709643	1.000157	1.002532	52.372402	52.515137	1.004726	1.000000	52.733005	52.432897
loglines@0.1	http-5xx	short-subject-search	plain	pcrec_35e1ab1_auto-caps-simdna	7012.6	pcrec_35e1ab1_auto-caps-simdna	7012.6	pcrec_35e1ab1_auto-nocaps-simdna	7018.9	8.163202	14.963079	1.000000	1.000886	71.775113	71.784996	1.034983	1.036637	71.801054	71.859397
loglines@0.1	ipv4	large-subject-throughput	plain	pcrec_36d5963_auto-caps-simdna	6907388.8	pcrec_36d5963_auto-caps-simdna	6907388.8	pcrec_35e1ab1_auto-nocaps-simdna	6923383.4	29.016317	3.140746	1.000744	1.002316	11.220159	11.369423	1.000000	1.002684	11.244954	11.407632
loglines@0.1	ipv4	short-subject-search	plain	pcrec_35e1ab1_auto-nocaps-simdna	203601.8	pcrec_35e1ab1_auto-caps-simdna	204106.9	pcrec_35e1ab1_auto-nocaps-simdna	203601.8	38.338747	3.555944	1.002481	1.000000	14.618279	14.760107	1.004035	1.003434	14.612727	15.032207
loglines@0.1	ipv6	large-subject-throughput	plain	pcrec_35e1ab1_auto-nocaps-simdna	10287202.9	pcrec_35e1ab1_auto-caps-simdna	10299058.1	pcrec_35e1ab1_auto-nocaps-simdna	10287202.9	21.393445	3.082261	1.001152	1.000000	11.119002	11.284240	1.001725	1.003808	11.082845	11.201494
