# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=bounded, version=0.1, since=2026-08-30T11:00:00Z, until=2026-08-30T15:00:00Z; source: store/index.tsv (6 record(s) matching this query); records: 6; subbench_versions: bounded@0.1; machines: budu-ryzen1600; schema_versions: 1.3; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_96e44c2_auto-caps-simdna,pcrec_96e44c2_auto-nocaps-simdna,pcrec_96e44c2_vm-caps-simdna,pcrec_96e44c2_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_96e44c2_auto-caps-simdna	pcrec_96e44c2_auto-nocaps-simdna	pcrec_96e44c2_vm-caps-simdna	pcrec_96e44c2_vm-in-caps-simdna
bounded@0.1	cls-atleast-4096	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	57901.7	1.880257	1.000000	5.458883	5.452869	2.022929	2.026896
bounded@0.1	cls-atleast-4096	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	879.8	1.000000	1.009959	excluded	excluded	excluded	excluded
bounded@0.1	cls-atleast-4096	match-compliance	whole-subject	pcrec_96e44c2_vm-in-caps-simdna	628.2	excluded	excluded	6.045295	6.039031	1.015464	1.000000
bounded@0.1	cls-atleast-4096	short-subject-search	plain	libpcre2_10.46_interp-caps-simdna	1214.4	1.000000	1.113850	2.860136	2.859967	42.727569	42.729834
bounded@0.1	cls-lazy-16384	large-subject-throughput	plain	pcrec_96e44c2_auto-nocaps-simdna	517151.6	19.908127	7.403078	1.004622	1.000000	1.290796	1.916468
bounded@0.1	cls-lazy-16384	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	13419.6	1.000713	1.000000	excluded	excluded	excluded	excluded
bounded@0.1	cls-lazy-16384	match-compliance	whole-subject	pcrec_96e44c2_auto-caps-simdna	2397.3	excluded	excluded	1.000000	1.002834	1.000665	1.042685
bounded@0.1	cls-lazy-16384	short-subject-search	plain	pcrec_96e44c2_vm-caps-simdna	275.9	11.926926	4.697356	1.108081	1.104806	1.000000	1.289315
bounded@0.1	cls-upto-16384	large-subject-throughput	plain	pcrec_96e44c2_vm-caps-simdna	197408.6	8.859137	3.375061	1.993388	1.999597	1.000000	1.138238
bounded@0.1	cls-upto-16384	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	3397.0	1.000000	1.000856	excluded	excluded	excluded	excluded
