# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=bounded, version=0.1, until=2026-08-30T11:00:00Z; source: store/index.tsv (9 record(s) matching this query); records: 6; subbench_versions: bounded@0.1; machines: budu-ryzen1600; schema_versions: 1.3; superseded: 3; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_36d5963_auto-caps-simdna,pcrec_36d5963_auto-nocaps-simdna,pcrec_36d5963_vm-caps-simdna,pcrec_36d5963_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_36d5963_auto-caps-simdna	pcrec_36d5963_auto-nocaps-simdna	pcrec_36d5963_vm-caps-simdna	pcrec_36d5963_vm-in-caps-simdna
bounded@0.1	cls-atleast-4096	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	57901.0	1.874687	1.000000	5.466192	5.461484	2.027792	2.028438
bounded@0.1	cls-atleast-4096	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	887.0	1.001129	1.000000	excluded	excluded	excluded	excluded
bounded@0.1	cls-atleast-4096	match-compliance	whole-subject	pcrec_36d5963_vm-caps-simdna	619.4	excluded	excluded	6.136601	6.151825	1.000000	1.028584
bounded@0.1	cls-atleast-4096	short-subject-search	plain	libpcre2_10.46_interp-caps-simdna	1213.4	1.000000	1.071370	2.869931	2.873383	42.805949	42.766598
bounded@0.1	cls-lazy-16384	large-subject-throughput	plain	pcrec_36d5963_auto-nocaps-simdna	515195.1	19.979285	8.082015	1.002706	1.000000	1.296673	1.926541
bounded@0.1	cls-lazy-16384	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	13454.8	1.001107	1.000000	excluded	excluded	excluded	excluded
bounded@0.1	cls-lazy-16384	match-compliance	whole-subject	pcrec_36d5963_auto-caps-simdna	2394.7	excluded	excluded	1.000000	1.010448	1.006675	1.033965
bounded@0.1	cls-lazy-16384	short-subject-search	plain	pcrec_36d5963_auto-nocaps-simdna	310.9	10.559177	4.081233	1.000655	1.000000	1.029090	1.147185
bounded@0.1	cls-upto-16384	large-subject-throughput	plain	pcrec_36d5963_vm-caps-simdna	192135.1	9.095788	3.409726	2.046626	2.046784	1.000000	1.168634
bounded@0.1	cls-upto-16384	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	3384.9	1.000000	1.002702	excluded	excluded	excluded	excluded
