# reporter: v11 (2026-09-01); filters: subbench=bounded, version=0.1, until=2026-08-30T11:00:00Z; source: store/index.tsv (81 candidate file(s)); records: 6; excluded_invalid: 0; superseded: 3; newer_not_measured: 0; subbench_versions: bounded@0.1; machines: budu-ryzen1600; schema_versions: 1.3; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.1-1.3 X13 (both samples quiet) on 6; mixed_x13: False; include_provenance: False
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						bounded@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260830T032115Z				agreement	n/a (v1.3)						
record						bounded@0.1__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260830T092238Z				agreement	n/a (v1.3)						
record						bounded@0.1__pcrec_36d5963_auto-caps-simdna__budu-ryzen1600__20260830T094106Z				agreement	n/a (v1.3)						
record						bounded@0.1__pcrec_36d5963_auto-nocaps-simdna__budu-ryzen1600__20260830T042316Z				agreement	n/a (v1.3)						
record						bounded@0.1__pcrec_36d5963_vm-caps-simdna__budu-ryzen1600__20260830T044314Z				agreement	n/a (v1.3)						
record						bounded@0.1__pcrec_36d5963_vm-in-caps-simdna__budu-ryzen1600__20260830T100009Z				agreement	n/a (v1.3)						
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	median_ns	57901.046386	4	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	min_ns	57782.405539	4	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	max_ns	58372.540194	4	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	stddev_ns	230.547025	4	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	ratio_vs_baseline	0.533423	4	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	ratio_vs_best	1.000000	4	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	2	median_ns	108546.313987	4	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	2	min_ns	107955.496194	4	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	2	max_ns	108804.498573	4	1.0000	0	0		
