# reporter: v12 (2026-09-02); filters: subbench=bounded, version=0.1, since=2026-08-29T00:00:00Z, until=2026-08-30T15:00:00Z; source: store/index.tsv (15 record(s) matching this query); records: 10; excluded_invalid: 0; superseded: 5; newer_not_measured: 0; subbench_versions: bounded@0.1; machines: budu-ryzen1600; schema_versions: 1.3; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.1-1.3 X13 (both samples quiet) on 10; mixed_x13: False; include_provenance: False; worst_other_core_busy: n/a
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						bounded@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260830T111255Z				agreement	n/a (v1.3)						
record						bounded@0.1__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260830T113544Z				agreement	n/a (v1.3)						
record						bounded@0.1__pcrec_36d5963_auto-caps-simdna__budu-ryzen1600__20260830T094106Z				agreement	n/a (v1.3)						
record						bounded@0.1__pcrec_36d5963_auto-nocaps-simdna__budu-ryzen1600__20260830T042316Z				agreement	n/a (v1.3)						
record						bounded@0.1__pcrec_36d5963_vm-caps-simdna__budu-ryzen1600__20260830T044314Z				agreement	n/a (v1.3)						
record						bounded@0.1__pcrec_36d5963_vm-in-caps-simdna__budu-ryzen1600__20260830T100009Z				agreement	n/a (v1.3)						
record						bounded@0.1__pcrec_96e44c2_auto-caps-simdna__budu-ryzen1600__20260830T115409Z				agreement	n/a (v1.3)						
record						bounded@0.1__pcrec_96e44c2_auto-nocaps-simdna__budu-ryzen1600__20260830T121432Z				agreement	n/a (v1.3)						
record						bounded@0.1__pcrec_96e44c2_vm-caps-simdna__budu-ryzen1600__20260830T123335Z				agreement	n/a (v1.3)						
record						bounded@0.1__pcrec_96e44c2_vm-in-caps-simdna__budu-ryzen1600__20260830T125148Z				agreement	n/a (v1.3)						
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	median_ns	57901.671536	4	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	min_ns	57717.801619	4	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	max_ns	58622.909396	4	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	stddev_ns	371.736544	4	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	ratio_vs_baseline	0.531842	4	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	ratio_vs_best	1.000000	4	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	2	median_ns	108870.031233	4	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	2	min_ns	108825.521644	4	1.0000	0	0		
