# reporter: v12 (2026-09-02); filters: subbench=email-specimen, version=0.2, since=2026-08-30T11:00:00Z, until=2026-08-30T15:00:00Z; source: store/index.tsv (6 record(s) matching this query); records: 6; excluded_invalid: 0; superseded: 0; newer_not_measured: 0; subbench_versions: email-specimen@0.2; machines: budu-ryzen1600; schema_versions: 1.3; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.1-1.3 X13 (both samples quiet) on 6; mixed_x13: False; include_provenance: False; worst_other_core_busy: n/a
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						email-specimen@0.2__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260830T131028Z				agreement	n/a (v1.3)						
record						email-specimen@0.2__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260830T131859Z				agreement	n/a (v1.3)						
record						email-specimen@0.2__pcrec_96e44c2_auto-caps-simdna__budu-ryzen1600__20260830T132955Z				agreement	n/a (v1.3)						
record						email-specimen@0.2__pcrec_96e44c2_auto-nocaps-simdna__budu-ryzen1600__20260830T133503Z				agreement	n/a (v1.3)						
record						email-specimen@0.2__pcrec_96e44c2_vm-caps-simdna__budu-ryzen1600__20260830T134000Z				agreement	n/a (v1.3)						
record						email-specimen@0.2__pcrec_96e44c2_vm-in-caps-simdna__budu-ryzen1600__20260830T134650Z				agreement	n/a (v1.3)						
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_96e44c2_auto-nocaps-simdna	measured	pinned	1	median_ns	13595834.235294	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_96e44c2_auto-nocaps-simdna	measured	pinned	1	min_ns	13569312.411765	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_96e44c2_auto-nocaps-simdna	measured	pinned	1	max_ns	13731462.764706	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_96e44c2_auto-nocaps-simdna	measured	pinned	1	stddev_ns	60163.909618	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_96e44c2_auto-nocaps-simdna	measured	pinned	1	ratio_vs_baseline	0.027195	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_96e44c2_auto-nocaps-simdna	measured	pinned	1	ratio_vs_best	1.000000	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_96e44c2_auto-caps-simdna	measured	pinned	2	median_ns	13704256.562500	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_96e44c2_auto-caps-simdna	measured	pinned	2	min_ns	13685839.000000	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_96e44c2_auto-caps-simdna	measured	pinned	2	max_ns	13749076.250000	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_96e44c2_auto-caps-simdna	measured	pinned	2	stddev_ns	21250.774612	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_96e44c2_auto-caps-simdna	measured	pinned	2	ratio_vs_baseline	0.027412	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_96e44c2_auto-caps-simdna	measured	pinned	2	ratio_vs_best	1.007975	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	3	median_ns	499942662.615385	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	3	min_ns	498365862.435897	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	3	max_ns	527409710.487180	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	3	stddev_ns	11071765.383483	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	3	ratio_vs_baseline	1.000000	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	3	ratio_vs_best	36.771753	5	1.0000	0	0		
excluded	factored	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned		pass_rate	0.8000	5	0.8000	0	0	0	
excluded	factored	(set)	large-subject-throughput	plain	same program	pcrec_96e44c2_vm-caps-simdna	measured	pinned		pass_rate	0.8000	5	0.8000	5	0	-2:PCREC_ERR_STEPS×1 (smallest: t-c-long-atom-run, 1,048,576 B)	
excluded	factored	(set)	large-subject-throughput	plain	same program	pcrec_96e44c2_vm-in-caps-simdna	measured	pinned		pass_rate	0.8000	5	0.8000	5	0	-2:PCREC_ERR_STEPS×1 (smallest: t-c-long-atom-run, 1,048,576 B)	
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_96e44c2_auto-nocaps-simdna	measured	pinned	1	median_ns	73300.984630	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_96e44c2_auto-nocaps-simdna	measured	pinned	1	min_ns	73260.656834	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_96e44c2_auto-nocaps-simdna	measured	pinned	1	max_ns	73340.412001	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_96e44c2_auto-nocaps-simdna	measured	pinned	1	stddev_ns	25.372299	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_96e44c2_auto-nocaps-simdna	measured	pinned	1	ratio_vs_baseline	0.040028	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_96e44c2_auto-nocaps-simdna	measured	pinned	1	ratio_vs_best	1.000000	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_96e44c2_auto-caps-simdna	measured	pinned	2	median_ns	73383.308914	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_96e44c2_auto-caps-simdna	measured	pinned	2	min_ns	73375.945573	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_96e44c2_auto-caps-simdna	measured	pinned	2	max_ns	73385.776798	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_96e44c2_auto-caps-simdna	measured	pinned	2	stddev_ns	3.305026	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_96e44c2_auto-caps-simdna	measured	pinned	2	ratio_vs_baseline	0.040073	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_96e44c2_auto-caps-simdna	measured	pinned	2	ratio_vs_best	1.001123	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_96e44c2_vm-in-caps-simdna	measured	pinned	3	median_ns	462186.834543	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_96e44c2_vm-in-caps-simdna	measured	pinned	3	min_ns	461060.916861	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_96e44c2_vm-in-caps-simdna	measured	pinned	3	max_ns	465354.974355	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_96e44c2_vm-in-caps-simdna	measured	pinned	3	stddev_ns	1465.371145	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_96e44c2_vm-in-caps-simdna	measured	pinned	3	ratio_vs_baseline	0.252390	85	1.0000	0	0		
rank	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_96e44c2_vm-in-caps-simdna	measured	pinned	3	ratio_vs_best	6.305329	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	4	median_ns	1827818.204005	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	4	min_ns	1823644.873105	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	4	max_ns	1854085.721786	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	4	stddev_ns	13115.057056	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	4	ratio_vs_baseline	0.998129	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	4	ratio_vs_best	24.935793	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	5	median_ns	1831243.580400	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	5	min_ns	1823541.129305	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	5	max_ns	1855218.029876	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	5	stddev_ns	10904.928185	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	5	ratio_vs_baseline	1.000000	85	1.0000	0	0		
rank	factored	(set)	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	5	ratio_vs_best	24.982524	85	1.0000	0	0		
excluded	factored	(set)	match-compliance	whole-subject	separate artifact	pcrec_96e44c2_vm-caps-simdna	measured	pinned		pass_rate	0.9412	85	0.9412	25	0	-3:PCREC_ERR_FRAMES×5 (smallest: s-061, 2,008 B)	
rank	factored	(set)	short-subject-search	plain	same program	pcrec_96e44c2_auto-nocaps-simdna	measured	pinned	1	median_ns	3527.154517	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_96e44c2_auto-nocaps-simdna	measured	pinned	1	min_ns	3525.638128	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_96e44c2_auto-nocaps-simdna	measured	pinned	1	max_ns	3536.587744	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_96e44c2_auto-nocaps-simdna	measured	pinned	1	stddev_ns	3.979153	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_96e44c2_auto-nocaps-simdna	measured	pinned	1	ratio_vs_baseline	0.025570	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_96e44c2_auto-nocaps-simdna	measured	pinned	1	ratio_vs_best	1.000000	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_96e44c2_auto-caps-simdna	measured	pinned	2	median_ns	3667.271128	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_96e44c2_auto-caps-simdna	measured	pinned	2	min_ns	3661.069626	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_96e44c2_auto-caps-simdna	measured	pinned	2	max_ns	3671.729965	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_96e44c2_auto-caps-simdna	measured	pinned	2	stddev_ns	3.591151	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_96e44c2_auto-caps-simdna	measured	pinned	2	ratio_vs_baseline	0.026586	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	pcrec_96e44c2_auto-caps-simdna	measured	pinned	2	ratio_vs_best	1.039725	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	3	median_ns	15276.813984	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	3	min_ns	15232.826712	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	3	max_ns	15352.595844	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	3	stddev_ns	44.026671	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	3	ratio_vs_baseline	0.110750	77	1.0000	0	0		
rank	factored	(set)	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	3	ratio_vs_best	4.331201	77	1.0000	0	0		
