# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=loglines, version=0.1, since=2026-08-30T11:00:00Z, until=2026-08-30T15:00:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_96e44c2_auto-caps-simdna, testee=pcrec_96e44c2_auto-nocaps-simdna, testee=pcrec_96e44c2_vm-caps-simdna, testee=pcrec_96e44c2_vm-in-caps-simdna; source: store/index.tsv (6 record(s) matching this query); records: 6; subbench_versions: loglines@0.1; machines: budu-ryzen1600; schema_versions: 1.3; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_96e44c2_auto-caps-simdna,pcrec_96e44c2_auto-nocaps-simdna,pcrec_96e44c2_vm-caps-simdna,pcrec_96e44c2_vm-in-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_96e44c2_auto-caps-simdna,pcrec_96e44c2_vm-caps-simdna,pcrec_96e44c2_vm-in-caps-simdna; no=pcrec_96e44c2_auto-nocaps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_96e44c2_auto-caps-simdna	pcrec_96e44c2_auto-nocaps-simdna	pcrec_96e44c2_vm-caps-simdna	pcrec_96e44c2_vm-in-caps-simdna
loglines@0.1	bignum	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	11343444.7	libpcre2_10.46_jit-caps-simdna	11343444.7	pcrec_96e44c2_auto-nocaps-simdna	13066628.6	5.102195	1.000000	1.147603	1.151910	3.036693	3.036295
loglines@0.1	bignum	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	395648.4	libpcre2_10.46_jit-caps-simdna	395648.4	pcrec_96e44c2_auto-nocaps-simdna	425537.0	5.689075	1.000000	1.073873	1.075543	3.246677	3.245668
loglines@0.1	floor	large-subject-throughput	plain	pcrec_96e44c2_auto-nocaps-simdna	2912185.8	pcrec_96e44c2_auto-caps-simdna	2924709.4	pcrec_96e44c2_auto-nocaps-simdna	2912185.8	4.983874	2.476321	1.004300	1.000000	5.440738	5.486141
loglines@0.1	floor	short-subject-search	plain	pcrec_96e44c2_auto-caps-simdna	2047.0	pcrec_96e44c2_auto-caps-simdna	2047.0	pcrec_96e44c2_auto-nocaps-simdna	2056.1	5.499017	2.465680	1.000000	1.004453	2.183111	2.203007
loglines@0.1	hex32-id	large-subject-throughput	plain	pcrec_96e44c2_auto-caps-simdna	12986013.4	pcrec_96e44c2_auto-caps-simdna	12986013.4	pcrec_96e44c2_auto-nocaps-simdna	13019268.9	7.464961	1.183588	1.000000	1.002561	2.737279	2.714386
loglines@0.1	hex32-id	short-subject-search	plain	pcrec_96e44c2_auto-nocaps-simdna	430860.9	pcrec_96e44c2_auto-caps-simdna	431838.0	pcrec_96e44c2_auto-nocaps-simdna	430860.9	8.513895	1.138498	1.002268	1.000000	3.161045	3.161126
loglines@0.1	http-5xx	large-subject-throughput	plain	pcrec_96e44c2_auto-nocaps-simdna	253484.3	pcrec_96e44c2_auto-caps-simdna	253697.6	pcrec_96e44c2_auto-nocaps-simdna	253484.3	7.595253	12.690420	1.000842	1.000000	52.268284	52.268720
loglines@0.1	http-5xx	short-subject-search	plain	pcrec_96e44c2_auto-caps-simdna	6988.3	pcrec_96e44c2_auto-caps-simdna	6988.3	pcrec_96e44c2_auto-nocaps-simdna	7014.0	8.159917	15.022934	1.000000	1.003674	72.040205	72.026501
loglines@0.1	ipv4	large-subject-throughput	plain	pcrec_96e44c2_auto-caps-simdna	6904983.5	pcrec_96e44c2_auto-caps-simdna	6904983.5	pcrec_96e44c2_auto-nocaps-simdna	6915766.9	28.942200	3.155822	1.000000	1.001562	11.289787	11.405842
loglines@0.1	ipv4	short-subject-search	plain	pcrec_96e44c2_auto-nocaps-simdna	204841.9	pcrec_96e44c2_auto-caps-simdna	204904.2	pcrec_96e44c2_auto-nocaps-simdna	204841.9	38.075759	3.535583	1.000304	1.000000	14.595079	14.852181
loglines@0.1	ipv6	large-subject-throughput	plain	pcrec_96e44c2_auto-nocaps-simdna	10302797.9	pcrec_96e44c2_auto-caps-simdna	10307614.7	pcrec_96e44c2_auto-nocaps-simdna	10302797.9	21.224684	3.086608	1.000468	1.000000	11.018714	11.179401
loglines@0.1	ipv6	short-subject-search	plain	pcrec_96e44c2_auto-nocaps-simdna	258339.6	pcrec_96e44c2_auto-caps-simdna	258838.8	pcrec_96e44c2_auto-nocaps-simdna	258339.6	32.067470	4.390000	1.001932	1.000000	16.934219	17.040578
