# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=bounded, version=0.2, until=2026-09-02T00:00:00Z; source: store/index.tsv (11 record(s) matching this query); records: 10; subbench_versions: bounded@0.2; machines: budu-ryzen1600; schema_versions: 1.4; superseded: 1; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_263b013_auto-caps-simdna,pcrec_263b013_auto-nocaps-simdna,pcrec_263b013_vm-caps-simdna,pcrec_263b013_vm-in-caps-simdna,pcrec_a7e0bdf_auto-caps-simdna,pcrec_a7e0bdf_auto-nocaps-simdna,pcrec_a7e0bdf_vm-caps-simdna,pcrec_a7e0bdf_vm-in-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_263b013_auto-caps-simdna,pcrec_263b013_vm-caps-simdna,pcrec_263b013_vm-in-caps-simdna,pcrec_a7e0bdf_auto-caps-simdna,pcrec_a7e0bdf_vm-caps-simdna,pcrec_a7e0bdf_vm-in-caps-simdna; no=pcrec_263b013_auto-nocaps-simdna,pcrec_a7e0bdf_auto-nocaps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_263b013_auto-caps-simdna	pcrec_263b013_auto-nocaps-simdna	pcrec_263b013_vm-caps-simdna	pcrec_263b013_vm-in-caps-simdna	pcrec_a7e0bdf_auto-caps-simdna	pcrec_a7e0bdf_auto-nocaps-simdna	pcrec_a7e0bdf_vm-caps-simdna	pcrec_a7e0bdf_vm-in-caps-simdna
bounded@0.2	cls-atleast-4096	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	60464.0	libpcre2_10.46_jit-caps-simdna	60464.0	pcrec_a7e0bdf_auto-nocaps-simdna	87603.0	1.840273	1.000000	5.249185	5.246199	2.272868	2.272077	1.450357	1.448847	2.272251	2.261805
bounded@0.2	cls-atleast-4096	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	882.6	libpcre2_10.46_interp-caps-simdna	882.6			1.000000	1.007957	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	cls-atleast-4096	match-compliance	whole-subject	pcrec_263b013_vm-in-caps-simdna	630.3	pcrec_263b013_vm-in-caps-simdna	630.3	pcrec_263b013_auto-nocaps-simdna	3802.0	excluded	excluded	6.028922	6.032531	1.012287	1.000000	6.077988	6.083184	1.000549	1.008373
bounded@0.2	cls-atleast-4096	short-subject-search	plain	libpcre2_10.46_interp-caps-simdna	1213.4	libpcre2_10.46_interp-caps-simdna	1213.4	pcrec_a7e0bdf_auto-nocaps-simdna	2339.2	1.000000	1.154637	2.862834	2.866290	42.800945	42.824208	1.892845	1.927807	42.644976	42.736730
bounded@0.2	cls-lazy-16384	large-subject-throughput	plain	pcrec_263b013_auto-caps-simdna	537694.0	pcrec_263b013_auto-caps-simdna	537694.0	pcrec_263b013_auto-nocaps-simdna	539656.9	19.863004	7.979901	1.000000	1.003651	1.292306	1.922760	1.057101	1.057386	1.289505	1.914494
bounded@0.2	cls-lazy-16384	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	13395.6	libpcre2_10.46_jit-caps-simdna	13395.6			1.003459	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	cls-lazy-16384	match-compliance	whole-subject	pcrec_a7e0bdf_auto-caps-simdna	2395.7	pcrec_a7e0bdf_auto-caps-simdna	2395.7	pcrec_a7e0bdf_auto-nocaps-simdna	2396.0	excluded	excluded	1.001854	1.013648	1.001945	1.035923	1.000000	1.000139	1.000220	1.033501
bounded@0.2	cls-lazy-16384	short-subject-search	plain	pcrec_263b013_vm-caps-simdna	276.6	pcrec_263b013_vm-caps-simdna	276.6	pcrec_263b013_auto-nocaps-simdna	303.9	11.935829	4.752308	1.102241	1.098712	1.000000	1.288305	1.121780	1.116522	1.090653	1.284879
bounded@0.2	cls-upto-1024	large-subject-throughput	plain	pcrec_a7e0bdf_auto-caps-simdna	213784.3	pcrec_a7e0bdf_auto-caps-simdna	213784.3	pcrec_a7e0bdf_auto-nocaps-simdna	213786.0	10.183686	4.056629	1.947818	1.946570	1.103608	1.265782	1.000000	1.000008	1.099703	1.258207
bounded@0.2	cls-upto-1024	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	3389.1	libpcre2_10.46_jit-caps-simdna	3389.1			1.007586	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	cls-upto-1024	match-compliance	whole-subject	pcrec_a7e0bdf_vm-in-caps-simdna	716.2	pcrec_a7e0bdf_vm-in-caps-simdna	716.2	pcrec_263b013_auto-nocaps-simdna	1359.6	excluded	excluded	1.897584	1.898404	1.043759	1.011075	1.925554	1.925251	1.041176	1.000000
bounded@0.2	cls-upto-1024	short-subject-search	plain	pcrec_263b013_vm-caps-simdna	833.9	pcrec_263b013_vm-caps-simdna	833.9	pcrec_a7e0bdf_auto-nocaps-simdna	1083.4	4.604010	1.945607	2.912436	2.918554	1.000000	1.088113	1.299871	1.299222	1.007681	1.094969
bounded@0.2	cls-upto-128	large-subject-throughput	plain	pcrec_a7e0bdf_auto-caps-simdna	232157.1	pcrec_a7e0bdf_auto-caps-simdna	232157.1	pcrec_a7e0bdf_auto-nocaps-simdna	232341.8	9.670091	3.583461	1.805839	1.807813	1.081358	1.234329	1.000000	1.000796	1.080380	1.232822
bounded@0.2	cls-upto-128	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	3120.4	libpcre2_10.46_jit-caps-simdna	3120.4			1.000979	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
