# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=loglines, version=0.1, until=2026-09-01T00:00:00Z; source: store/index.tsv (21 record(s) matching this query); records: 16; subbench_versions: loglines@0.1; machines: budu-ryzen1600; schema_versions: 1.3,1.4; superseded: 5; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_263b013_auto-caps-simdna,pcrec_263b013_vm-caps-simdna,pcrec_35e1ab1_auto-caps-simdna,pcrec_35e1ab1_auto-nocaps-simdna,pcrec_35e1ab1_vm-caps-simdna,pcrec_35e1ab1_vm-in-caps-simdna,pcrec_36d5963_auto-caps-simdna,pcrec_36d5963_auto-nocaps-simdna,pcrec_36d5963_vm-caps-simdna,pcrec_36d5963_vm-in-caps-simdna,pcrec_96e44c2_auto-caps-simdna,pcrec_96e44c2_auto-nocaps-simdna,pcrec_96e44c2_vm-caps-simdna,pcrec_96e44c2_vm-in-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_263b013_auto-caps-simdna,pcrec_263b013_vm-caps-simdna,pcrec_35e1ab1_auto-caps-simdna,pcrec_35e1ab1_vm-caps-simdna,pcrec_35e1ab1_vm-in-caps-simdna,pcrec_36d5963_auto-caps-simdna,pcrec_36d5963_vm-caps-simdna,pcrec_36d5963_vm-in-caps-simdna,pcrec_96e44c2_auto-caps-simdna,pcrec_96e44c2_vm-caps-simdna,pcrec_96e44c2_vm-in-caps-simdna; no=pcrec_35e1ab1_auto-nocaps-simdna,pcrec_36d5963_auto-nocaps-simdna,pcrec_96e44c2_auto-nocaps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_263b013_auto-caps-simdna	pcrec_263b013_vm-caps-simdna	pcrec_35e1ab1_auto-caps-simdna	pcrec_35e1ab1_auto-nocaps-simdna	pcrec_35e1ab1_vm-caps-simdna	pcrec_35e1ab1_vm-in-caps-simdna	pcrec_36d5963_auto-caps-simdna	pcrec_36d5963_auto-nocaps-simdna	pcrec_36d5963_vm-caps-simdna	pcrec_36d5963_vm-in-caps-simdna	pcrec_96e44c2_auto-caps-simdna	pcrec_96e44c2_auto-nocaps-simdna	pcrec_96e44c2_vm-caps-simdna	pcrec_96e44c2_vm-in-caps-simdna
loglines@0.1	bignum	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	11343444.7	libpcre2_10.46_jit-caps-simdna	11343444.7	pcrec_36d5963_auto-nocaps-simdna	13016077.6	5.102195	1.000000	1.148385	3.039150	1.145923	1.147947	3.026815	3.039590	1.148650	1.147454	3.033614	3.030319	1.147603	1.151910	3.036693	3.036295
loglines@0.1	bignum	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	395648.4	libpcre2_10.46_jit-caps-simdna	395648.4	pcrec_35e1ab1_auto-nocaps-simdna	423613.3	5.689075	1.000000	1.074407	3.246201	1.070800	1.070681	3.243604	3.242726	1.072993	1.076179	3.243797	3.242649	1.073873	1.075543	3.246677	3.245668
loglines@0.1	floor	large-subject-throughput	plain	pcrec_35e1ab1_auto-caps-simdna	2910847.8	pcrec_35e1ab1_auto-caps-simdna	2910847.8	pcrec_35e1ab1_auto-nocaps-simdna	2911819.2	4.986164	2.477459	1.000588	5.442236	1.000000	1.000334	5.467257	5.551609	1.001662	1.002389	5.481969	5.536298	1.004762	1.000460	5.443239	5.488663
loglines@0.1	floor	short-subject-search	plain	pcrec_35e1ab1_auto-caps-simdna	2036.9	pcrec_35e1ab1_auto-caps-simdna	2036.9	pcrec_36d5963_auto-nocaps-simdna	2043.8	5.526298	2.477912	1.003412	2.191349	1.000000	1.017160	2.255163	2.279723	1.008973	1.003390	2.187383	2.220763	1.004961	1.009436	2.193941	2.213936
loglines@0.1	hex32-id	large-subject-throughput	plain	pcrec_35e1ab1_auto-nocaps-simdna	12962618.9	pcrec_96e44c2_auto-caps-simdna	12986013.4	pcrec_35e1ab1_auto-nocaps-simdna	12962618.9	7.478433	1.185724	1.003779	2.721713	1.002095	1.000000	2.740736	2.746746	1.002139	1.003643	2.742565	2.766261	1.001805	1.004370	2.742219	2.719284
loglines@0.1	hex32-id	short-subject-search	plain	pcrec_35e1ab1_auto-nocaps-simdna	430198.7	pcrec_35e1ab1_auto-caps-simdna	430555.9	pcrec_35e1ab1_auto-nocaps-simdna	430198.7	8.527000	1.140250	1.003147	3.163912	1.000830	1.000000	3.161550	3.164206	1.001167	1.002453	3.164582	3.166147	1.003811	1.001539	3.165911	3.165992
loglines@0.1	http-5xx	large-subject-throughput	plain	pcrec_36d5963_auto-nocaps-simdna	252553.9	pcrec_35e1ab1_auto-caps-simdna	252593.6	pcrec_36d5963_auto-nocaps-simdna	252553.9	7.623232	12.737168	1.004603	52.537385	1.000157	1.002532	52.372402	52.515137	1.004726	1.000000	52.733005	52.432897	1.004529	1.003684	52.460829	52.461267
loglines@0.1	http-5xx	short-subject-search	plain	pcrec_96e44c2_auto-caps-simdna	6988.3	pcrec_96e44c2_auto-caps-simdna	6988.3	pcrec_96e44c2_auto-nocaps-simdna	7014.0	8.159917	15.022934	1.000021	72.138684	1.003481	1.004370	72.024970	72.034887	1.038586	1.040246	72.051001	72.109547	1.000000	1.003674	72.040205	72.026501
loglines@0.1	ipv4	large-subject-throughput	plain	pcrec_263b013_auto-caps-simdna	6904908.5	pcrec_263b013_auto-caps-simdna	6904908.5	pcrec_96e44c2_auto-nocaps-simdna	6915766.9	28.942515	3.155857	1.000000	11.232306	1.001104	1.002676	11.224190	11.373507	1.000359	1.003045	11.248994	11.411730	1.000011	1.001573	11.289909	11.405966
loglines@0.1	ipv4	short-subject-search	plain	pcrec_35e1ab1_auto-nocaps-simdna	203601.8	pcrec_35e1ab1_auto-caps-simdna	204106.9	pcrec_35e1ab1_auto-nocaps-simdna	203601.8	38.307680	3.557118	1.004314	14.552452	1.002481	1.000000	14.618279	14.760107	1.004035	1.003434	14.612727	15.032207	1.006397	1.006091	14.683978	14.942647
loglines@0.1	ipv6	large-subject-throughput	plain	pcrec_35e1ab1_auto-nocaps-simdna	10287202.9	pcrec_35e1ab1_auto-caps-simdna	10299058.1	pcrec_35e1ab1_auto-nocaps-simdna	10287202.9	21.256860	3.091288	1.002547	11.044675	1.001152	1.000000	11.119002	11.284240	1.001725	1.003808	11.082845	11.201494	1.001984	1.001516	11.035417	11.196348
