# reporter: v12 (2026-09-02); filters: subbench=loglines, version=0.1, until=2026-09-01T00:00:00Z; source: store/index.tsv (21 record(s) matching this query); records: 16; excluded_invalid: 0; superseded: 5; newer_not_measured: 0; subbench_versions: loglines@0.1; machines: budu-ryzen1600; schema_versions: 1.3,1.4; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.1-1.3 X13 (both samples quiet) on 14; v1.4 X13 (pre-flight + trial agreement) on 2; mixed_x13: True; include_provenance: False; worst_other_core_busy: 6.16% (pcrec_263b013_vm-caps-simdna / ipv6 / large-subject-throughput)
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						loglines@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260830T135401Z				agreement	n/a (v1.3)						
record						loglines@0.1__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260830T140301Z				agreement	n/a (v1.3)						
record						loglines@0.1__pcrec_263b013_auto-caps-simdna__budu-ryzen1600__20260831T175140Z				agreement	agree (0 of 22 groups; 0 of 1364 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						loglines@0.1__pcrec_263b013_vm-caps-simdna__budu-ryzen1600__20260831T180012Z				agreement	agree (0 of 22 groups; 0 of 1364 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						loglines@0.1__pcrec_35e1ab1_auto-caps-simdna__budu-ryzen1600__20260828T151853Z				agreement	n/a (v1.3)						
record						loglines@0.1__pcrec_35e1ab1_auto-nocaps-simdna__budu-ryzen1600__20260828T152628Z				agreement	n/a (v1.3)						
record						loglines@0.1__pcrec_35e1ab1_vm-caps-simdna__budu-ryzen1600__20260828T153358Z				agreement	n/a (v1.3)						
record						loglines@0.1__pcrec_35e1ab1_vm-in-caps-simdna__budu-ryzen1600__20260828T154234Z				agreement	n/a (v1.3)						
record						loglines@0.1__pcrec_36d5963_auto-caps-simdna__budu-ryzen1600__20260829T200241Z				agreement	n/a (v1.3)						
record						loglines@0.1__pcrec_36d5963_auto-nocaps-simdna__budu-ryzen1600__20260829T205545Z				agreement	n/a (v1.3)						
record						loglines@0.1__pcrec_36d5963_vm-caps-simdna__budu-ryzen1600__20260829T202021Z				agreement	n/a (v1.3)						
record						loglines@0.1__pcrec_36d5963_vm-in-caps-simdna__budu-ryzen1600__20260829T202912Z				agreement	n/a (v1.3)						
record						loglines@0.1__pcrec_96e44c2_auto-caps-simdna__budu-ryzen1600__20260830T141142Z				agreement	n/a (v1.3)						
record						loglines@0.1__pcrec_96e44c2_auto-nocaps-simdna__budu-ryzen1600__20260830T141945Z				agreement	n/a (v1.3)						
record						loglines@0.1__pcrec_96e44c2_vm-caps-simdna__budu-ryzen1600__20260830T142813Z				agreement	n/a (v1.3)						
record						loglines@0.1__pcrec_96e44c2_vm-in-caps-simdna__budu-ryzen1600__20260830T143642Z				agreement	n/a (v1.3)						
rank	bignum	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured@1.3	pinned	1	median_ns	11343444.679012	12	1.0000	0	0		
