# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=bounded, version=0.3, since=2026-09-02T02:40:00Z, until=2026-09-03T00:00:00Z, testee=pcrec_1989c62_auto-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna_cc-clang, testee=pcrec_1989c62_auto-nocaps-simdna, testee=pcrec_1989c62_auto-nocaps-simdna_cc-clang, testee=pcrec_1989c62_vm-caps-simdna, testee=pcrec_1989c62_vm-caps-simdna_cc-clang; source: store/index.tsv (6 record(s) matching this query); records: 6; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.4; superseded: 0; newer_not_measured: 0; testees: pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_auto-caps-simdna_cc-clang,pcrec_1989c62_auto-nocaps-simdna,pcrec_1989c62_auto-nocaps-simdna_cc-clang,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-caps-simdna_cc-clang
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	pcrec_1989c62_auto-caps-simdna	pcrec_1989c62_auto-caps-simdna_cc-clang	pcrec_1989c62_auto-nocaps-simdna	pcrec_1989c62_auto-nocaps-simdna_cc-clang	pcrec_1989c62_vm-caps-simdna	pcrec_1989c62_vm-caps-simdna_cc-clang
bounded@0.3	cls-atleast-4096	large-subject-throughput	plain	pcrec_1989c62_vm-caps-simdna	72562.5	1.207824	1.406088	1.208097	1.406799	1.000000	1.178571
bounded@0.3	cls-atleast-4096	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	1536.6	5.112343	5.293357	5.110125	5.296995	1.000000	1.089083
bounded@0.3	cls-atleast-4096	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	2690.2	1.000000	1.025521	1.043932	1.039775	19.082869	24.732618
bounded@0.3	cls-lazy-16384	large-subject-throughput	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	295160.6	1.921570	1.125597	1.919562	1.125801	2.347275	1.000000
bounded@0.3	cls-lazy-16384	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	8668.3	1.000696	1.027065	1.000274	1.015954	1.000000	1.016201
bounded@0.3	cls-lazy-16384	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	421.1	1.130213	1.000374	1.128858	1.000204	1.098242	1.000000
bounded@0.3	cls-upto-1024	large-subject-throughput	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	148037.4	1.443477	1.162585	1.444227	1.158419	1.670695	1.000000
bounded@0.3	cls-upto-1024	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	1995.7	2.422243	2.248394	2.420772	2.248590	1.000000	1.011915
bounded@0.3	cls-upto-1024	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	1111.1	1.472794	1.402786	1.474377	1.398306	1.178355	1.000000
bounded@0.3	cls-upto-128	large-subject-throughput	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	154645.6	1.504837	1.329036	1.499337	1.329667	1.697111	1.000000
bounded@0.3	cls-upto-128	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_cc-clang	1022.9	2.009494	1.709146	2.009949	1.709205	1.050072	1.000000
bounded@0.3	cls-upto-128	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	908.0	1.471921	1.487931	1.469291	1.491362	1.277331	1.000000
