# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=email-specimen, version=0.2, until=2026-09-03T00:00:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna, testee=pcrec_1989c62_auto-nocaps-simdna, testee=pcrec_1989c62_vm-caps-simdna, testee=pcrec_1989c62_vm-in-caps-simdna, testee=pcrec_96e44c2_auto-caps-simdna, testee=pcrec_96e44c2_auto-nocaps-simdna, testee=pcrec_96e44c2_vm-caps-simdna, testee=pcrec_96e44c2_vm-in-caps-simdna; source: store/index.tsv (17 record(s) matching this query); records: 10; subbench_versions: email-specimen@0.2; machines: budu-ryzen1600; schema_versions: 1.3,1.4; superseded: 7; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_auto-nocaps-simdna,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-in-caps-simdna,pcrec_96e44c2_auto-caps-simdna,pcrec_96e44c2_auto-nocaps-simdna,pcrec_96e44c2_vm-caps-simdna,pcrec_96e44c2_vm-in-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-in-caps-simdna,pcrec_96e44c2_auto-caps-simdna,pcrec_96e44c2_vm-caps-simdna,pcrec_96e44c2_vm-in-caps-simdna; no=pcrec_1989c62_auto-nocaps-simdna,pcrec_96e44c2_auto-nocaps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_1989c62_auto-caps-simdna	pcrec_1989c62_auto-nocaps-simdna	pcrec_1989c62_vm-caps-simdna	pcrec_1989c62_vm-in-caps-simdna	pcrec_96e44c2_auto-caps-simdna	pcrec_96e44c2_auto-nocaps-simdna	pcrec_96e44c2_vm-caps-simdna	pcrec_96e44c2_vm-in-caps-simdna
email-specimen@0.2	factored	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	13583640.9	pcrec_1989c62_auto-caps-simdna	13683591.1	pcrec_1989c62_auto-nocaps-simdna	13583640.9	36.708004	excluded	1.007358	1.000000	gave-up	gave-up	1.008879	1.000898	gave-up	gave-up
email-specimen@0.2	factored	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1834922.8	libpcre2_10.46_interp-caps-simdna	1834922.8			1.000000	1.006954	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
email-specimen@0.2	factored	match-compliance	whole-subject	pcrec_1989c62_auto-nocaps-simdna	73179.2	pcrec_1989c62_auto-caps-simdna	73257.3	pcrec_1989c62_auto-nocaps-simdna	73179.2	excluded	excluded	1.001066	1.000000	gave-up	6.301860	1.002789	1.001664	gave-up	6.315820
email-specimen@0.2	factored	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	3524.4	pcrec_1989c62_auto-caps-simdna	3664.3	pcrec_1989c62_auto-nocaps-simdna	3524.4	39.137581	4.335488	1.039691	1.000000	15.278854	15.294038	1.040540	1.000784	15.295344	15.341454
email-specimen@0.2	floor	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	710901.6	pcrec_1989c62_auto-caps-simdna	710901.6	pcrec_1989c62_auto-nocaps-simdna	711171.0	5.217664	2.697039	1.000000	1.000379	2.578274	2.701696	1.003200	1.003633	22.963956	23.029891
email-specimen@0.2	floor	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2568.8	libpcre2_10.46_interp-caps-simdna	2568.8			1.000000	1.002567	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
email-specimen@0.2	floor	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	432.9	pcrec_1989c62_vm-caps-simdna	432.9	pcrec_96e44c2_auto-nocaps-simdna	831.4	excluded	excluded	2.019153	2.022875	1.000000	1.193309	1.926827	1.920620	1.583381	1.807832
email-specimen@0.2	floor	short-subject-search	plain	pcrec_1989c62_vm-in-caps-simdna	1045.1	pcrec_1989c62_vm-in-caps-simdna	1045.1	pcrec_96e44c2_auto-nocaps-simdna	1329.7	7.068857	3.254381	1.301203	1.294613	1.011923	1.000000	1.270443	1.272298	2.314236	2.333052
email-specimen@0.2	orig	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	13578816.8	pcrec_1989c62_auto-caps-simdna	13578816.8	pcrec_1989c62_auto-nocaps-simdna	13580774.2	9.035365	1.339379	1.000000	1.000144	gave-up	gave-up	1.002128	1.003459	gave-up	gave-up
email-specimen@0.2	orig	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	534278.2	libpcre2_10.46_jit-caps-simdna	534278.2			1.005774	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
email-specimen@0.2	orig	match-compliance	whole-subject	pcrec_1989c62_vm-in-caps-simdna	62176.3	pcrec_1989c62_vm-in-caps-simdna	62176.3	pcrec_1989c62_auto-nocaps-simdna	73171.4	excluded	excluded	1.176997	1.176838	1.010176	1.000000	1.178461	1.178096	1.012958	1.002009
email-specimen@0.2	orig	short-subject-search	plain	pcrec_96e44c2_auto-caps-simdna	3523.0	pcrec_96e44c2_auto-caps-simdna	3523.0	pcrec_1989c62_auto-nocaps-simdna	3523.5	18.668051	1.747557	1.001826	1.000145	3.515160	3.659732	1.000000	1.000951	3.554421	3.640864
