# reporter: v11 (2026-09-01); filters: subbench=email-specimen, version=0.2, until=2026-09-03T00:00:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna, testee=pcrec_1989c62_auto-nocaps-simdna, testee=pcrec_1989c62_vm-caps-simdna, testee=pcrec_1989c62_vm-in-caps-simdna, testee=pcrec_96e44c2_auto-caps-simdna, testee=pcrec_96e44c2_auto-nocaps-simdna, testee=pcrec_96e44c2_vm-caps-simdna, testee=pcrec_96e44c2_vm-in-caps-simdna; source: store/index.tsv (111 candidate file(s)); records: 10; excluded_invalid: 0; superseded: 7; newer_not_measured: 0; subbench_versions: email-specimen@0.2; machines: budu-ryzen1600; schema_versions: 1.3,1.4; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.1-1.3 X13 (both samples quiet) on 4; v1.4 X13 (pre-flight + trial agreement) on 6; mixed_x13: True; include_provenance: False
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						email-specimen@0.2__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260902T075326Z				agreement	agree (0 of 9 groups; 0 of 501 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						email-specimen@0.2__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260902T080213Z				agreement	agree (0 of 9 groups; 0 of 500 rows; 1 unjudged (1 all-timed-out); k=1.5, 2/3; 5 trials)						
record						email-specimen@0.2__pcrec_1989c62_auto-caps-simdna__budu-ryzen1600__20260902T081329Z				agreement	agree (0 of 9 groups; 0 of 501 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						email-specimen@0.2__pcrec_1989c62_auto-nocaps-simdna__budu-ryzen1600__20260902T081837Z				agreement	agree (0 of 9 groups; 0 of 501 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						email-specimen@0.2__pcrec_1989c62_vm-caps-simdna__budu-ryzen1600__20260902T082347Z				agreement	agree (0 of 8 groups; 0 of 490 rows; 11 unjudged; k=1.5, 2/3; 5 trials)						
record						email-specimen@0.2__pcrec_1989c62_vm-in-caps-simdna__budu-ryzen1600__20260902T082959Z				agreement	agree (0 of 8 groups; 0 of 495 rows; 6 unjudged; k=1.5, 2/3; 5 trials)						
record						email-specimen@0.2__pcrec_96e44c2_auto-caps-simdna__budu-ryzen1600__20260830T132955Z				agreement	n/a (v1.3)						
record						email-specimen@0.2__pcrec_96e44c2_auto-nocaps-simdna__budu-ryzen1600__20260830T133503Z				agreement	n/a (v1.3)						
record						email-specimen@0.2__pcrec_96e44c2_vm-caps-simdna__budu-ryzen1600__20260830T134000Z				agreement	n/a (v1.3)						
record						email-specimen@0.2__pcrec_96e44c2_vm-in-caps-simdna__budu-ryzen1600__20260830T134650Z				agreement	n/a (v1.3)						
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_1989c62_auto-nocaps-simdna	measured@1.4	pinned	1	median_ns	13583640.941176	5	1.0000	0	0		unchanged (within spread)
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_1989c62_auto-nocaps-simdna	measured@1.4	pinned	1	min_ns	13563234.352941	5	1.0000	0	0		unchanged (within spread)
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_1989c62_auto-nocaps-simdna	measured@1.4	pinned	1	max_ns	13588319.823529	5	1.0000	0	0		unchanged (within spread)
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_1989c62_auto-nocaps-simdna	measured@1.4	pinned	1	stddev_ns	9475.097051	5	1.0000	0	0		unchanged (within spread)
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_1989c62_auto-nocaps-simdna	measured@1.4	pinned	1	ratio_vs_baseline	0.027242	5	1.0000	0	0		unchanged (within spread)
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_1989c62_auto-nocaps-simdna	measured@1.4	pinned	1	ratio_vs_best	1.000000	5	1.0000	0	0		unchanged (within spread)
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_96e44c2_auto-nocaps-simdna	measured@1.3	pinned	2	median_ns	13595834.235294	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_96e44c2_auto-nocaps-simdna	measured@1.3	pinned	2	min_ns	13569312.411765	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_96e44c2_auto-nocaps-simdna	measured@1.3	pinned	2	max_ns	13731462.764706	5	1.0000	0	0		
rank	factored	(set)	large-subject-throughput	plain	same program	pcrec_96e44c2_auto-nocaps-simdna	measured@1.3	pinned	2	stddev_ns	60163.909618	5	1.0000	0	0		
