# reporter: v11 (2026-09-01); filters: subbench=loglines, version=0.1, until=2026-09-03T00:00:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna, testee=pcrec_1989c62_auto-nocaps-simdna, testee=pcrec_1989c62_vm-caps-simdna, testee=pcrec_1989c62_vm-in-caps-simdna, testee=pcrec_263b013_auto-caps-simdna, testee=pcrec_263b013_vm-caps-simdna, testee=pcrec_96e44c2_auto-caps-simdna, testee=pcrec_96e44c2_auto-nocaps-simdna, testee=pcrec_96e44c2_vm-caps-simdna, testee=pcrec_96e44c2_vm-in-caps-simdna; source: store/index.tsv (111 candidate file(s)); records: 12; excluded_invalid: 0; superseded: 6; newer_not_measured: 0; subbench_versions: loglines@0.1; machines: budu-ryzen1600; schema_versions: 1.3,1.4; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.1-1.3 X13 (both samples quiet) on 4; v1.4 X13 (pre-flight + trial agreement) on 8; mixed_x13: True; include_provenance: False
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						loglines@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260902T070149Z				agreement	agree (0 of 22 groups; 0 of 1364 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						loglines@0.1__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260902T071053Z				agreement	agree (0 of 22 groups; 0 of 1364 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						loglines@0.1__pcrec_1989c62_auto-caps-simdna__budu-ryzen1600__20260902T071932Z				agreement	agree (0 of 22 groups; 0 of 1364 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						loglines@0.1__pcrec_1989c62_auto-nocaps-simdna__budu-ryzen1600__20260902T072743Z				agreement	agree (0 of 22 groups; 0 of 1364 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						loglines@0.1__pcrec_1989c62_vm-caps-simdna__budu-ryzen1600__20260902T073612Z				agreement	agree (0 of 22 groups; 0 of 1364 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						loglines@0.1__pcrec_1989c62_vm-in-caps-simdna__budu-ryzen1600__20260902T074436Z				agreement	agree (0 of 22 groups; 0 of 1364 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						loglines@0.1__pcrec_263b013_auto-caps-simdna__budu-ryzen1600__20260831T175140Z				agreement	agree (0 of 22 groups; 0 of 1364 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						loglines@0.1__pcrec_263b013_vm-caps-simdna__budu-ryzen1600__20260831T180012Z				agreement	agree (0 of 22 groups; 0 of 1364 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						loglines@0.1__pcrec_96e44c2_auto-caps-simdna__budu-ryzen1600__20260830T141142Z				agreement	n/a (v1.3)						
record						loglines@0.1__pcrec_96e44c2_auto-nocaps-simdna__budu-ryzen1600__20260830T141945Z				agreement	n/a (v1.3)						
record						loglines@0.1__pcrec_96e44c2_vm-caps-simdna__budu-ryzen1600__20260830T142813Z				agreement	n/a (v1.3)						
record						loglines@0.1__pcrec_96e44c2_vm-in-caps-simdna__budu-ryzen1600__20260830T143642Z				agreement	n/a (v1.3)						
