# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=loglines, version=0.1, since=2026-09-02T02:40:00Z, until=2026-09-03T00:00:00Z, testee=pcrec_1989c62_auto-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna_cc-clang, testee=pcrec_1989c62_auto-nocaps-simdna, testee=pcrec_1989c62_auto-nocaps-simdna_cc-clang, testee=pcrec_1989c62_vm-caps-simdna, testee=pcrec_1989c62_vm-caps-simdna_cc-clang; source: store/index.tsv (6 record(s) matching this query); records: 6; subbench_versions: loglines@0.1; machines: budu-ryzen1600; schema_versions: 1.4; superseded: 0; newer_not_measured: 0; testees: pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_auto-caps-simdna_cc-clang,pcrec_1989c62_auto-nocaps-simdna,pcrec_1989c62_auto-nocaps-simdna_cc-clang,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-caps-simdna_cc-clang
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	pcrec_1989c62_auto-caps-simdna	pcrec_1989c62_auto-caps-simdna_cc-clang	pcrec_1989c62_auto-nocaps-simdna	pcrec_1989c62_auto-nocaps-simdna_cc-clang	pcrec_1989c62_vm-caps-simdna	pcrec_1989c62_vm-caps-simdna_cc-clang
loglines@0.1	bignum	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	13186665.7	1.000000	1.035030	1.000113	1.035849	2.613674	2.341914
loglines@0.1	bignum	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	427517.5	1.000000	1.088537	1.001076	1.088544	2.999736	2.673181
loglines@0.1	floor	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	2832993.0	1.024592	1.000000	1.025981	1.000552	1.253592	1.766194
loglines@0.1	floor	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	1209.2	1.693907	1.606081	1.686018	1.605243	1.319288	1.000000
loglines@0.1	hex32-id	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	13021323.6	1.000000	1.050387	1.000432	1.051815	2.430144	2.351859
loglines@0.1	hex32-id	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	433090.9	1.000000	1.090667	1.001842	1.090955	2.720005	2.680932
loglines@0.1	http-5xx	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	260364.5	1.000000	1.031037	1.001577	1.016817	50.827816	55.790503
loglines@0.1	http-5xx	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna_cc-clang	6809.0	1.063946	1.113868	1.068095	1.000000	73.789335	81.083631
loglines@0.1	ipv4	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	6893642.3	1.000648	1.096574	1.000000	1.093901	11.200686	13.080731
loglines@0.1	ipv4	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	203769.1	1.001509	1.182284	1.000000	1.186611	14.533889	16.754622
loglines@0.1	ipv6	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	10579705.4	1.000000	1.013026	1.001087	1.027314	10.851725	11.169944
loglines@0.1	ipv6	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	264435.1	1.000000	1.105892	1.000770	1.106181	16.494190	16.529879
