# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=altwide, version=0.2, since=2026-09-03T03:50:00Z, until=2026-09-03T10:20:00Z, testee=pcrec_1989c62_auto-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608, testee=pcrec_1989c62_vm-caps-simdna, testee=pcrec_1989c62_vm-caps-simdna_emitcap-8388608-codecap-8388608; source: store/index.tsv (4 record(s) matching this query); records: 4; subbench_versions: altwide@0.2; machines: budu-ryzen1600; schema_versions: 1.5; superseded: 0; newer_not_measured: 0; testees: pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-caps-simdna_emitcap-8388608-codecap-8388608
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	pcrec_1989c62_auto-caps-simdna	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	pcrec_1989c62_vm-caps-simdna	pcrec_1989c62_vm-caps-simdna_emitcap-8388608-codecap-8388608
altwide@0.2	ci-256	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	2893915.3	1.000000	1.001408	682.285754	684.666944
altwide@0.2	ci-256	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	916.2	refused	1.000000	109.516331	109.902793
altwide@0.2	ci-256	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	7794.2	1.000367	1.000000	1212.954073	1210.510148
altwide@0.2	ci-512	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	4115357.1	refused	1.000000	refused	1389.128475
altwide@0.2	ci-512	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	1088.5	refused	1.000000	refused	216.118221
altwide@0.2	ci-512	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	13909.9	refused	1.000000	refused	1986.721524
altwide@0.2	cnt-64	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	4787875.9	1.000000	1.000494	71.510129	71.428515
altwide@0.2	cnt-64	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	869.9	refused	1.000000	15.132503	15.118728
altwide@0.2	cnt-64	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	23287.4	1.000000	1.000731	72.252048	72.510163
altwide@0.2	floor	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	15403.9	1.000000	1.001607	17.636178	17.627933
altwide@0.2	floor	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	214.2	1.932245	1.950094	1.000000	1.000488
altwide@0.2	floor	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna_emitcap-8388608-codecap-8388608	433.6	1.257945	1.262255	1.005627	1.000000
altwide@0.2	nar4-256	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	1767943.9	1.000000	1.000919	1025.183400	1022.098402
altwide@0.2	nar4-256	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	607.5	1.000000	1.001386	126.504700	126.407176
altwide@0.2	nar4-256	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	4529.1	1.000000	1.000330	2234.334313	2228.424353
altwide@0.2	nar4-512	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	1857444.2	refused	1.000000	refused	2580.777609
altwide@0.2	nar4-512	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	619.1	refused	1.000000	refused	311.128640
altwide@0.2	nar4-512	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	4479.1	refused	1.000000	refused	6017.105818
altwide@0.2	nar4-64	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	1862239.7	1.000000	1.000719	81.907298	81.523022
altwide@0.2	nar4-64	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	595.3	1.000000	1.000413	12.252571	12.281600
altwide@0.2	nar4-64	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	4583.9	1.004455	1.000000	185.734284	184.916777
altwide@0.2	pfx3-256	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	367419.1	1.000000	1.000241	9.855373	9.857252
altwide@0.2	pfx3-256	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_emitcap-8388608-codecap-8388608	372.1	1.681128	1.680001	1.000327	1.000000
altwide@0.2	pfx3-256	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	1272.4	1.000000	1.003211	15.899576	15.855427
altwide@0.2	pfx3-512	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	367410.3	refused	1.000000	refused	9.436343
altwide@0.2	pfx3-512	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_emitcap-8388608-codecap-8388608	372.9	refused	1.679314	refused	1.000000
altwide@0.2	pfx3-512	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	1276.4	refused	1.000000	refused	14.674796
altwide@0.2	s-2048	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	4916261.3	refused	1.000000	refused	6674.446489
altwide@0.2	s-2048	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	14871.7	refused	1.000000	refused	90.025869
altwide@0.2	s-2048	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	15030.9	refused	1.000000	refused	12333.182844
altwide@0.2	s-256	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	2846056.6	1.000000	1.001125	714.944707	713.235956
altwide@0.2	s-256	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	713.9	1.000509	1.000000	165.873185	165.043762
altwide@0.2	s-256	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	8085.7	1.001192	1.000000	1408.809851	1411.198070
altwide@0.2	s-4096	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	5331286.7	refused	1.000000	refused	gave-up
altwide@0.2	s-4096	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	17527.6	refused	1.000000	refused	225.649508
altwide@0.2	s-4096	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	14801.0	refused	1.000000	refused	34953.474060
altwide@0.2	s-512	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	3179147.2	1.000390	1.000000	1719.762937	1719.984531
