# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=altwide, version=0.2, since=2026-09-03T03:50:00Z, until=2026-09-03T10:20:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna, testee=pcrec_1989c62_auto-nocaps-simdna, testee=pcrec_1989c62_vm-caps-simdna, testee=pcrec_1989c62_vm-in-caps-simdna; source: store/index.tsv (6 record(s) matching this query); records: 6; subbench_versions: altwide@0.2; machines: budu-ryzen1600; schema_versions: 1.5; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_auto-nocaps-simdna,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_1989c62_auto-caps-simdna	pcrec_1989c62_auto-nocaps-simdna	pcrec_1989c62_vm-caps-simdna	pcrec_1989c62_vm-in-caps-simdna
altwide@0.2	ci-256	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	2893915.3	1167.840886	86.013136	1.000000	1.001063	682.285754	681.541655
altwide@0.2	ci-256	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	76116.4	1.000000	1.000100	refused	refused	excluded	excluded
altwide@0.2	ci-256	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	100337.3	excluded	excluded	refused	refused	1.000000	1.013768
altwide@0.2	ci-256	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	7797.0	1916.086857	144.287658	1.000000	1.000173	1212.508970	1207.102288
altwide@0.2	ci-512	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	596452925.0	11.269031	1.000000	refused	refused	refused	refused
altwide@0.2	ci-512	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	145836.6	1.000999	1.000000	refused	refused	refused	refused
altwide@0.2	ci-512	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	2626904.7	11.277169	1.000000	refused	refused	refused	refused
altwide@0.2	cnt-64	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	4786509.6	119.337771	9.006432	1.000285	1.000000	71.530542	71.595085
altwide@0.2	cnt-64	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	17872.3	1.006761	1.000000	refused	refused	excluded	excluded
altwide@0.2	cnt-64	match-compliance	whole-subject	pcrec_1989c62_vm-in-caps-simdna	12393.3	excluded	excluded	refused	refused	1.062226	1.000000
altwide@0.2	cnt-64	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	23287.4	114.635845	8.652512	1.000000	1.003372	72.252048	72.336187
altwide@0.2	floor	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	15338.1	1.012301	2.250263	1.004288	1.000000	17.711796	17.708942
altwide@0.2	floor	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2440.0	1.000000	1.012177	excluded	excluded	excluded	excluded
altwide@0.2	floor	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	214.2	excluded	excluded	1.932245	1.950806	1.000000	1.135607
