# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=bounded, version=0.3, since=2026-09-02T02:40:00Z, until=2026-09-03T10:20:00Z, testee=pcrec_1989c62_auto-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna_cc-clang; source: store/index.tsv (3 record(s) matching this query); records: 2; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.4,1.5; superseded: 1; newer_not_measured: 0; testees: pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_auto-caps-simdna_cc-clang
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	pcrec_1989c62_auto-caps-simdna	pcrec_1989c62_auto-caps-simdna_cc-clang
bounded@0.3	cls-atleast-4096	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	87642.7	1.000000	1.164466
bounded@0.3	cls-atleast-4096	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	7855.4	1.000000	1.035851
bounded@0.3	cls-atleast-4096	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	2690.2	1.000000	1.005355
bounded@0.3	cls-lazy-16384	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	332308.1	1.706765	1.000000
bounded@0.3	cls-lazy-16384	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	8674.4	1.000000	1.024443
bounded@0.3	cls-lazy-16384	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	421.6	1.128770	1.000000
bounded@0.3	cls-upto-1024	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	171690.9	1.244612	1.000000
bounded@0.3	cls-upto-1024	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	4493.2	1.075850	1.000000
bounded@0.3	cls-upto-1024	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	1559.0	1.049624	1.000000
bounded@0.3	cls-upto-128	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	205874.2	1.130381	1.000000
bounded@0.3	cls-upto-128	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	1748.2	1.175738	1.000000
