# reporter: v12 (2026-09-02); filters: subbench=bounded, version=0.3, since=2026-09-02T02:40:00Z, until=2026-09-03T10:20:00Z, testee=pcrec_1989c62_auto-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna_cc-clang; source: store/index.tsv (3 record(s) matching this query); records: 2; excluded_invalid: 0; superseded: 1; newer_not_measured: 0; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.4,1.5; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.4 X13 (pre-flight + trial agreement) on 2; mixed_x13: False; include_provenance: False; worst_other_core_busy: 70.93% (pcrec_1989c62_auto-caps-simdna_cc-clang / cls-upto-32768 / large-subject-throughput)
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						bounded@0.3__pcrec_1989c62_auto-caps-simdna__budu-ryzen1600__20260902T035759Z				agreement	agree (0 of 126 groups; 2 of 4200 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						bounded@0.3__pcrec_1989c62_auto-caps-simdna_cc-clang__budu-ryzen1600__20260903T092843Z				agreement	agree (0 of 126 groups; 0 of 4200 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_1989c62_auto-caps-simdna	measured	pinned	1	median_ns	87642.667494	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_1989c62_auto-caps-simdna	measured	pinned	1	min_ns	87116.619671	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_1989c62_auto-caps-simdna	measured	pinned	1	max_ns	88009.411347	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_1989c62_auto-caps-simdna	measured	pinned	1	stddev_ns	313.868068	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_1989c62_auto-caps-simdna	measured	pinned	1	ratio_vs_baseline	1.000000	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_1989c62_auto-caps-simdna	measured	pinned	1	ratio_vs_best	1.000000	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_1989c62_auto-caps-simdna_cc-clang	measured	pinned	2	median_ns	102056.925147	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_1989c62_auto-caps-simdna_cc-clang	measured	pinned	2	min_ns	101855.109882	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_1989c62_auto-caps-simdna_cc-clang	measured	pinned	2	max_ns	102293.320428	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_1989c62_auto-caps-simdna_cc-clang	measured	pinned	2	stddev_ns	151.119170	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_1989c62_auto-caps-simdna_cc-clang	measured	pinned	2	ratio_vs_baseline	1.164466	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_1989c62_auto-caps-simdna_cc-clang	measured	pinned	2	ratio_vs_best	1.164466	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	match-compliance	whole-subject	separate artifact	pcrec_1989c62_auto-caps-simdna	measured	pinned	1	median_ns	7855.381804	49	1.0000	0	0		
rank	cls-atleast-4096	(set)	match-compliance	whole-subject	separate artifact	pcrec_1989c62_auto-caps-simdna	measured	pinned	1	min_ns	7854.371800	49	1.0000	0	0		
rank	cls-atleast-4096	(set)	match-compliance	whole-subject	separate artifact	pcrec_1989c62_auto-caps-simdna	measured	pinned	1	max_ns	7866.549099	49	1.0000	0	0		
rank	cls-atleast-4096	(set)	match-compliance	whole-subject	separate artifact	pcrec_1989c62_auto-caps-simdna	measured	pinned	1	stddev_ns	4.532411	49	1.0000	0	0		
rank	cls-atleast-4096	(set)	match-compliance	whole-subject	separate artifact	pcrec_1989c62_auto-caps-simdna	measured	pinned	1	ratio_vs_baseline	1.000000	49	1.0000	0	0		
rank	cls-atleast-4096	(set)	match-compliance	whole-subject	separate artifact	pcrec_1989c62_auto-caps-simdna	measured	pinned	1	ratio_vs_best	1.000000	49	1.0000	0	0		
rank	cls-atleast-4096	(set)	match-compliance	whole-subject	separate artifact	pcrec_1989c62_auto-caps-simdna_cc-clang	measured	pinned	2	median_ns	8137.005075	49	1.0000	0	0		
