# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=altwide, version=0.2, since=2026-09-03T03:50:00Z, until=2026-09-05T08:40:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_334fd10e_auto-caps-simdna, testee=pcrec_334fd10e_auto-caps-simdna_noisland, testee=pcrec_334fd10e_auto-nocaps-simdna, testee=pcrec_334fd10e_vm-caps-simdna, testee=pcrec_334fd10e_vm-in-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna, testee=pcrec_1989c62_auto-nocaps-simdna, testee=pcrec_1989c62_vm-caps-simdna, testee=pcrec_1989c62_vm-in-caps-simdna; source: store/index.tsv (11 record(s) matching this query); records: 11; subbench_versions: altwide@0.2; machines: budu-ryzen1600; schema_versions: 1.5; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_auto-nocaps-simdna,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-in-caps-simdna,pcrec_334fd10e_auto-caps-simdna,pcrec_334fd10e_auto-caps-simdna_noisland,pcrec_334fd10e_auto-nocaps-simdna,pcrec_334fd10e_vm-caps-simdna,pcrec_334fd10e_vm-in-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-in-caps-simdna,pcrec_334fd10e_auto-caps-simdna,pcrec_334fd10e_auto-caps-simdna_noisland,pcrec_334fd10e_vm-caps-simdna,pcrec_334fd10e_vm-in-caps-simdna; no=pcrec_1989c62_auto-nocaps-simdna,pcrec_334fd10e_auto-nocaps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_1989c62_auto-caps-simdna	pcrec_1989c62_auto-nocaps-simdna	pcrec_1989c62_vm-caps-simdna	pcrec_1989c62_vm-in-caps-simdna	pcrec_334fd10e_auto-caps-simdna	pcrec_334fd10e_auto-caps-simdna_noisland	pcrec_334fd10e_auto-nocaps-simdna	pcrec_334fd10e_vm-caps-simdna	pcrec_334fd10e_vm-in-caps-simdna
altwide@0.2	ci-256	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	2893915.3	pcrec_1989c62_auto-caps-simdna	2893915.3	pcrec_334fd10e_auto-nocaps-simdna	2896496.2	1167.840886	86.013136	1.000000	1.001063	682.285754	681.541655	1.000668	1.001839	1.000892	683.358825	685.844756
altwide@0.2	ci-256	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	76116.4	libpcre2_10.46_interp-caps-simdna	76116.4			1.000000	1.000100	refused	refused	excluded	excluded	refused	refused	refused	excluded	excluded
altwide@0.2	ci-256	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	99975.2	pcrec_334fd10e_vm-caps-simdna	99975.2			excluded	excluded	refused	refused	1.003622	1.017439	refused	refused	refused	1.000000	1.002429
altwide@0.2	ci-256	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_noisland	7390.5	pcrec_334fd10e_auto-caps-simdna_noisland	7390.5	pcrec_334fd10e_auto-nocaps-simdna	7394.2	2021.493963	152.225161	1.055012	1.055194	1279.211094	1273.506981	1.001286	1.000000	1.000509	1276.395200	1279.046780
altwide@0.2	ci-512	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	596452925.0	libpcre2_10.46_jit-caps-simdna	596452925.0			11.269031	1.000000	refused	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	ci-512	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	145836.6	libpcre2_10.46_jit-caps-simdna	145836.6			1.000999	1.000000	refused	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	ci-512	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	2626904.7	libpcre2_10.46_jit-caps-simdna	2626904.7			11.277169	1.000000	refused	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	cnt-64	large-subject-throughput	plain	pcrec_334fd10e_auto-nocaps-simdna	3487446.5	pcrec_334fd10e_auto-caps-simdna_noisland	3487743.9	pcrec_334fd10e_auto-nocaps-simdna	3487446.5	163.790723	12.361301	1.372889	1.372497	98.175449	98.264033	1.000342	1.000085	1.000000	3.791767	3.770433
altwide@0.2	cnt-64	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	17872.3	libpcre2_10.46_jit-caps-simdna	17872.3			1.006761	1.000000	refused	refused	excluded	excluded	refused	refused	refused	excluded	excluded
altwide@0.2	cnt-64	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	407.0	pcrec_334fd10e_vm-caps-simdna	407.0			excluded	excluded	refused	refused	32.345667	30.450835	refused	refused	refused	1.000000	1.152514
altwide@0.2	cnt-64	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_noisland	11719.0	pcrec_334fd10e_auto-caps-simdna_noisland	11719.0	pcrec_334fd10e_auto-nocaps-simdna	11738.0	227.798045	17.193797	1.987145	1.993846	143.575295	143.742491	1.001453	1.000000	1.001621	4.822449	4.758077
altwide@0.2	floor	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	15338.1	pcrec_334fd10e_auto-caps-simdna_noisland	15360.4	pcrec_1989c62_auto-nocaps-simdna	15338.1	1.012301	2.250263	1.004288	1.000000	17.711796	17.708942	1.001480	1.001449	1.000128	35.448130	35.399311
altwide@0.2	floor	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2440.0	libpcre2_10.46_interp-caps-simdna	2440.0			1.000000	1.012177	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	floor	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	214.2	pcrec_1989c62_vm-caps-simdna	214.2	pcrec_334fd10e_auto-nocaps-simdna	376.5	excluded	excluded	1.932245	1.950806	1.000000	1.135607	1.775035	1.761542	1.757804	1.112753	1.132110
altwide@0.2	floor	short-subject-search	plain	pcrec_334fd10e_vm-caps-simdna	388.2	pcrec_334fd10e_vm-caps-simdna	388.2	pcrec_334fd10e_auto-nocaps-simdna	543.1	7.197365	4.348880	1.404853	1.401949	1.123068	1.234415	1.400316	1.400981	1.399063	1.000000	1.137283
