# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=bounded, version=0.3, since=2026-09-05T04:05:00Z, until=2026-09-05T06:00:00Z, testee=pcrec_288d505_auto-caps-simdna, testee=pcrec_288d505_auto-caps-simdna_cc-clang, testee=pcrec_288d505_auto-caps-simdna_cf-align-functions-64; source: store/index.tsv (3 record(s) matching this query); records: 3; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.5; superseded: 0; newer_not_measured: 0; testees: pcrec_288d505_auto-caps-simdna,pcrec_288d505_auto-caps-simdna_cc-clang,pcrec_288d505_auto-caps-simdna_cf-align-functions-64; capture_class: yes=pcrec_288d505_auto-caps-simdna,pcrec_288d505_auto-caps-simdna_cc-clang,pcrec_288d505_auto-caps-simdna_cf-align-functions-64; no=; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	pcrec_288d505_auto-caps-simdna	pcrec_288d505_auto-caps-simdna_cc-clang	pcrec_288d505_auto-caps-simdna_cf-align-functions-64
bounded@0.3	cls-atleast-4096	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna_cf-align-functions-64	87207.4	pcrec_288d505_auto-caps-simdna_cf-align-functions-64	87207.4			1.001754	1.169211	1.000000
bounded@0.3	cls-atleast-4096	match-compliance	whole-subject	pcrec_288d505_auto-caps-simdna	7855.0	pcrec_288d505_auto-caps-simdna	7855.0			1.000000	1.034922	1.002399
bounded@0.3	cls-atleast-4096	short-subject-search	plain	pcrec_288d505_auto-caps-simdna	2630.0	pcrec_288d505_auto-caps-simdna	2630.0			1.000000	1.061298	1.054544
bounded@0.3	cls-lazy-16384	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna_cc-clang	331892.2	pcrec_288d505_auto-caps-simdna_cc-clang	331892.2			1.425334	1.000000	1.425348
bounded@0.3	cls-lazy-16384	match-compliance	whole-subject	pcrec_288d505_auto-caps-simdna_cf-align-functions-64	8666.9	pcrec_288d505_auto-caps-simdna_cf-align-functions-64	8666.9			1.010001	1.037558	1.000000
bounded@0.3	cls-lazy-16384	short-subject-search	plain	pcrec_288d505_auto-caps-simdna_cc-clang	419.9	pcrec_288d505_auto-caps-simdna_cc-clang	419.9			1.067897	1.000000	1.068695
bounded@0.3	cls-upto-1024	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna_cc-clang	109949.1	pcrec_288d505_auto-caps-simdna_cc-clang	109949.1			1.417646	1.000000	1.418336
bounded@0.3	cls-upto-1024	match-compliance	whole-subject	pcrec_288d505_auto-caps-simdna_cc-clang	4501.7	pcrec_288d505_auto-caps-simdna_cc-clang	4501.7			1.073676	1.000000	1.069441
bounded@0.3	cls-upto-1024	short-subject-search	plain	pcrec_288d505_auto-caps-simdna_cc-clang	943.2	pcrec_288d505_auto-caps-simdna_cc-clang	943.2			1.109828	1.000000	1.109551
bounded@0.3	cls-upto-128	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna_cc-clang	143657.3	pcrec_288d505_auto-caps-simdna_cc-clang	143657.3			1.174028	1.000000	1.172331
bounded@0.3	cls-upto-128	match-compliance	whole-subject	pcrec_288d505_auto-caps-simdna_cc-clang	1767.2	pcrec_288d505_auto-caps-simdna_cc-clang	1767.2			1.164008	1.000000	1.146929
bounded@0.3	cls-upto-128	short-subject-search	plain	pcrec_288d505_auto-caps-simdna	896.6	pcrec_288d505_auto-caps-simdna	896.6			1.000000	1.025998	1.001083
bounded@0.3	cls-upto-16	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna_cc-clang	148432.3	pcrec_288d505_auto-caps-simdna_cc-clang	148432.3			1.358814	1.000000	1.352782
bounded@0.3	cls-upto-16	match-compliance	whole-subject	pcrec_288d505_auto-caps-simdna_cc-clang	449.6	pcrec_288d505_auto-caps-simdna_cc-clang	449.6			1.560269	1.000000	1.524950
