# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=bounded, version=0.3, since=2026-09-05T02:00:00Z, until=2026-09-05T11:00:00Z, testee=pcrec_288d505_auto-caps-simdna, testee=pcrec_288d505_vm-caps-simdna, testee=pcrec_288d505_auto-caps-simdna_cc-clang, testee=pcrec_334fd10e_auto-caps-simdna, testee=pcrec_334fd10e_vm-caps-simdna, testee=pcrec_334fd10e_auto-caps-simdna_cc-clang; source: store/index.tsv (6 record(s) matching this query); records: 6; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.5; superseded: 0; newer_not_measured: 0; testees: pcrec_288d505_auto-caps-simdna,pcrec_288d505_auto-caps-simdna_cc-clang,pcrec_288d505_vm-caps-simdna,pcrec_334fd10e_auto-caps-simdna,pcrec_334fd10e_auto-caps-simdna_cc-clang,pcrec_334fd10e_vm-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	pcrec_288d505_auto-caps-simdna	pcrec_288d505_auto-caps-simdna_cc-clang	pcrec_288d505_vm-caps-simdna	pcrec_334fd10e_auto-caps-simdna	pcrec_334fd10e_auto-caps-simdna_cc-clang	pcrec_334fd10e_vm-caps-simdna
bounded@0.3	cls-atleast-4096	large-subject-throughput	plain	pcrec_288d505_vm-caps-simdna	72647.0	1.202531	1.403551	1.000000	1.188307	1.408766	1.090545
bounded@0.3	cls-atleast-4096	match-compliance	whole-subject	pcrec_288d505_vm-caps-simdna	1558.9	5.038812	5.214776	1.000000	4.955385	5.221048	1.007662
bounded@0.3	cls-atleast-4096	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	2314.3	1.136397	1.206056	22.124330	1.000000	1.209892	22.604783
bounded@0.3	cls-lazy-16384	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna_cc-clang	331892.2	1.425334	1.000000	2.086065	1.140313	1.001605	2.086974
bounded@0.3	cls-lazy-16384	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	8663.4	1.010410	1.037977	1.000129	1.000067	1.025341	1.000000
bounded@0.3	cls-lazy-16384	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	326.3	1.374353	1.286972	1.375339	1.000000	1.290504	1.418150
bounded@0.3	cls-upto-1024	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	109502.5	1.423427	1.004078	2.258654	1.146548	1.000000	1.589011
bounded@0.3	cls-upto-1024	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	1923.0	2.513489	2.341014	1.057516	2.502963	2.334105	1.000000
bounded@0.3	cls-upto-1024	short-subject-search	plain	pcrec_288d505_auto-caps-simdna_cc-clang	943.2	1.109828	1.000000	1.375674	1.049446	1.008494	1.171639
bounded@0.3	cls-upto-128	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	119598.1	1.410204	1.201167	2.198836	1.139176	1.000000	1.560327
bounded@0.3	cls-upto-128	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	987.7	2.082562	1.789130	1.128924	2.066270	1.770295	1.000000
bounded@0.3	cls-upto-128	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	761.5	1.177446	1.208057	1.500917	1.094135	1.000000	1.254559
bounded@0.3	cls-upto-16	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	125528.2	1.606745	1.182461	2.732935	1.314678	1.000000	1.869045
bounded@0.3	cls-upto-16	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_cc-clang	438.6	1.599202	1.024952	1.458030	1.586565	1.000000	1.187905
bounded@0.3	cls-upto-16	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	466.1	1.270303	1.080182	1.784144	1.100202	1.000000	1.464242
bounded@0.3	cls-upto-16384	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	111585.1	1.384203	1.000915	2.199070	1.110409	1.000000	1.542641
bounded@0.3	cls-upto-16384	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna	1832.2	1.108484	1.086166	1.108350	1.000000	1.101681	1.000431
bounded@0.3	cls-upto-16384	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	915.2	1.146407	1.057615	1.409457	1.077908	1.000000	1.209272
bounded@0.3	cls-upto-2048	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna_cc-clang	108491.0	1.428101	1.000000	2.269793	1.147775	1.001783	1.595169
bounded@0.3	cls-upto-2048	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	1834.0	6.776429	7.077546	1.108436	6.768173	7.064971	1.000000
bounded@0.3	cls-upto-2048	short-subject-search	plain	pcrec_288d505_auto-caps-simdna_cc-clang	944.0	1.108542	1.000000	1.370876	1.048844	1.006792	1.173387
bounded@0.3	cls-upto-256	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna_cc-clang	113048.0	1.426269	1.000000	2.245490	1.154046	1.006274	1.587407
bounded@0.3	cls-upto-256	match-compliance	whole-subject	pcrec_288d505_vm-caps-simdna	1417.4	2.112293	1.897555	1.000000	2.097698	1.882355	1.019357
bounded@0.3	cls-upto-256	short-subject-search	plain	pcrec_288d505_auto-caps-simdna_cc-clang	943.1	1.111086	1.000000	1.371620	1.048603	1.009782	1.174131
bounded@0.3	cls-upto-32	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	120187.3	1.489013	1.329431	2.258752	1.313753	1.000000	1.506918
bounded@0.3	cls-upto-32	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	582.6	1.652709	1.192254	1.220892	1.629718	1.174816	1.000000
bounded@0.3	cls-upto-32	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	536.1	1.225351	1.124084	1.656237	1.075594	1.000000	1.268640
bounded@0.3	cls-upto-32768	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna_cc-clang	154699.1	1.586171	1.000000	1.587471	1.114110	1.036221	1.113493
bounded@0.3	cls-upto-32768	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna	1832.5	1.106603	1.089162	1.106535	1.000000	1.100960	1.000153
bounded@0.3	cls-upto-32768	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	1045.4	1.235776	1.003592	1.237557	1.059762	1.000000	1.056780
bounded@0.3	cls-upto-4	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	150264.5	2.125550	1.022589	2.983737	1.333591	1.000000	1.936943
bounded@0.3	cls-upto-4	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_cc-clang	263.4	2.071323	1.042149	1.979992	2.016500	1.000000	1.700515
bounded@0.3	cls-upto-4	short-subject-search	plain	pcrec_288d505_auto-caps-simdna_cc-clang	427.9	1.231219	1.000000	1.679314	1.061359	1.000915	1.282899
bounded@0.3	cls-upto-4096	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	111899.0	1.383948	1.002161	2.195774	1.110974	1.000000	1.541786
bounded@0.3	cls-upto-4096	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	1832.7	6.775916	7.076425	1.109027	6.780604	7.069489	1.000000
bounded@0.3	cls-upto-4096	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	916.9	1.148920	1.054691	1.408790	1.075112	1.000000	1.203619
bounded@0.3	cls-upto-512	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	111007.9	1.419576	1.000978	2.247457	1.144970	1.000000	1.584955
bounded@0.3	cls-upto-512	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	1676.3	2.327920	2.141938	1.030406	2.319531	2.129412	1.000000
bounded@0.3	cls-upto-512	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	953.1	1.096871	1.020480	1.356125	1.035973	1.000000	1.161844
bounded@0.3	cls-upto-64	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	126367.6	1.445086	1.169747	2.165913	1.265253	1.000000	1.526209
bounded@0.3	cls-upto-64	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	810.3	1.830912	1.484621	1.136616	1.813101	1.459738	1.000000
bounded@0.3	cls-upto-64	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	649.0	1.220323	1.157140	1.584212	1.094467	1.000000	1.270369
bounded@0.3	cls-upto-65535	large-subject-throughput	plain	pcrec_334fd10e_vm-caps-simdna	172331.3	refused	refused	1.441055	refused	refused	1.000000
bounded@0.3	cls-upto-65535	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	1834.0	refused	refused	1.106944	refused	refused	1.000000
bounded@0.3	cls-upto-65535	short-subject-search	plain	pcrec_334fd10e_vm-caps-simdna	1107.1	refused	refused	1.168943	refused	refused	1.000000
bounded@0.3	cls-upto-8	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	120726.0	1.967083	1.029990	3.197867	1.445048	1.000000	2.123094
bounded@0.3	cls-upto-8	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_cc-clang	322.2	1.829258	1.031389	1.751932	1.782874	1.000000	1.603074
bounded@0.3	cls-upto-8	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	432.2	1.261620	1.002409	1.807927	1.098524	1.000000	1.460361
bounded@0.3	cls-upto-8192	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	111677.8	1.384998	1.000746	2.200436	1.112354	1.000000	1.546936
bounded@0.3	cls-upto-8192	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	1833.4	6.788922	7.081895	1.106231	6.775757	7.066554	1.000000
bounded@0.3	cls-upto-8192	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	913.5	1.147362	1.061110	1.415160	1.078355	1.000000	1.213235
bounded@0.3	csv5	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	1667.7	1.001023	1.000936	10724.034278	1.002662	1.000000	10724.073127
bounded@0.3	csv5	match-compliance	whole-subject	pcrec_288d505_auto-caps-simdna_cc-clang	1773.3	1.121966	1.000000	3.213033	1.117477	1.001657	3.196577
bounded@0.3	csv5	short-subject-search	plain	pcrec_288d505_auto-caps-simdna	947.4	1.000000	1.046851	379.165511	1.043533	1.082118	379.573590
bounded@0.3	ctx-greedy-256	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	198665.4	1.008995	1.118159	2.386616	1.000000	1.171796	2.221588
bounded@0.3	ctx-greedy-256	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_cc-clang	626.8	1.576408	1.481107	1.547427	1.067109	1.000000	1.107902
bounded@0.3	ctx-greedy-256	short-subject-search	plain	pcrec_288d505_auto-caps-simdna	7182.4	1.000000	1.363890	3.030231	1.001575	1.390947	2.344275
