# reporter: v14 (2026-09-05); filters: subbench=bounded, version=0.3, since=2026-09-05T02:00:00Z, until=2026-09-05T11:00:00Z, testee=pcrec_288d505_auto-caps-simdna, testee=pcrec_288d505_vm-caps-simdna, testee=pcrec_288d505_auto-caps-simdna_cc-clang, testee=pcrec_334fd10e_auto-caps-simdna, testee=pcrec_334fd10e_vm-caps-simdna, testee=pcrec_334fd10e_auto-caps-simdna_cc-clang; source: store/index.tsv (6 record(s) matching this query); records: 6; excluded_invalid: 0; superseded: 0; newer_not_measured: 0; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.5; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.4 X13 (pre-flight + trial agreement) on 6; mixed_x13: False; include_provenance: False; worst_other_core_busy: 57.14% (pcrec_334fd10e_auto-caps-simdna_cc-clang / hex32 / large-subject-throughput)
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						bounded@0.3__pcrec_288d505_auto-caps-simdna__budu-ryzen1600__20260905T041050Z				agreement	agree (0 of 126 groups; 1 of 4200 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						bounded@0.3__pcrec_288d505_auto-caps-simdna_cc-clang__budu-ryzen1600__20260905T045054Z				agreement	agree (0 of 126 groups; 0 of 4200 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						bounded@0.3__pcrec_288d505_vm-caps-simdna__budu-ryzen1600__20260905T021249Z				agreement	agree (0 of 129 groups; 0 of 4300 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						bounded@0.3__pcrec_334fd10e_auto-caps-simdna__budu-ryzen1600__20260905T090305Z				agreement	agree (0 of 126 groups; 0 of 4200 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						bounded@0.3__pcrec_334fd10e_auto-caps-simdna_cc-clang__budu-ryzen1600__20260905T103407Z				agreement	agree (0 of 126 groups; 0 of 4200 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						bounded@0.3__pcrec_334fd10e_vm-caps-simdna__budu-ryzen1600__20260905T094810Z				agreement	agree (0 of 129 groups; 0 of 4300 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_288d505_vm-caps-simdna	measured	pinned	1	median_ns	72647.046071	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_288d505_vm-caps-simdna	measured	pinned	1	min_ns	72051.072168	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_288d505_vm-caps-simdna	measured	pinned	1	max_ns	73392.128590	5	1.0000	0	0		
rank	cls-atleast-4096	(set)	large-subject-throughput	plain	same program	pcrec_288d505_vm-caps-simdna	measured	pinned	1	stddev_ns	473.179865	5	1.0000	0	0		
