# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=email-specimen, version=0.2, since=2026-09-02T02:40:00Z, until=2026-09-05T04:10:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_288d505_auto-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna; source: store/index.tsv (4 record(s) matching this query); records: 4; subbench_versions: email-specimen@0.2; machines: budu-ryzen1600; schema_versions: 1.4,1.5; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_auto-caps-simdna,pcrec_288d505_auto-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_auto-caps-simdna,pcrec_288d505_auto-caps-simdna; no=; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_1989c62_auto-caps-simdna	pcrec_288d505_auto-caps-simdna
email-specimen@0.2	factored	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	13683591.1	pcrec_1989c62_auto-caps-simdna	13683591.1			36.439875	excluded	1.000000	1.000585
email-specimen@0.2	factored	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1834922.8	libpcre2_10.46_interp-caps-simdna	1834922.8			1.000000	1.006954	excluded	excluded
email-specimen@0.2	factored	match-compliance	whole-subject	pcrec_288d505_auto-caps-simdna	73254.9	pcrec_288d505_auto-caps-simdna	73254.9			excluded	excluded	1.000033	1.000000
email-specimen@0.2	factored	short-subject-search	plain	pcrec_288d505_auto-caps-simdna	3660.3	pcrec_288d505_auto-caps-simdna	3660.3			37.684891	4.174566	1.001100	1.000000
email-specimen@0.2	floor	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna	710846.8	pcrec_288d505_auto-caps-simdna	710846.8			5.218066	2.697247	1.000077	1.000000
email-specimen@0.2	floor	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2568.8	libpcre2_10.46_interp-caps-simdna	2568.8			1.000000	1.002567	excluded	excluded
email-specimen@0.2	floor	match-compliance	whole-subject	pcrec_288d505_auto-caps-simdna	856.8	pcrec_288d505_auto-caps-simdna	856.8			excluded	excluded	1.020141	1.000000
email-specimen@0.2	floor	short-subject-search	plain	pcrec_288d505_auto-caps-simdna	1356.6	pcrec_288d505_auto-caps-simdna	1356.6			5.445680	2.507098	1.002416	1.000000
email-specimen@0.2	orig	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	13578816.8	pcrec_1989c62_auto-caps-simdna	13578816.8			9.035365	1.339379	1.000000	1.000076
email-specimen@0.2	orig	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	534278.2	libpcre2_10.46_jit-caps-simdna	534278.2			1.005774	1.000000	excluded	excluded
email-specimen@0.2	orig	match-compliance	whole-subject	pcrec_288d505_auto-caps-simdna	73146.4	pcrec_288d505_auto-caps-simdna	73146.4			excluded	excluded	1.000477	1.000000
email-specimen@0.2	orig	short-subject-search	plain	pcrec_288d505_auto-caps-simdna	3516.3	pcrec_288d505_auto-caps-simdna	3516.3			18.703761	1.750900	1.003742	1.000000
