# reporter: v14 (2026-09-05); filters: subbench=loglines, version=0.1, since=2026-09-05T08:40:00Z, until=2026-09-05T09:00:00Z, testee=pcrec_334fd10e_auto-caps-simdna, testee=pcrec_334fd10e_auto-caps-simdna_noedge; source: store/index.tsv (2 record(s) matching this query); records: 2; excluded_invalid: 0; superseded: 0; newer_not_measured: 0; subbench_versions: loglines@0.1; machines: budu-ryzen1600; schema_versions: 1.5; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.4 X13 (pre-flight + trial agreement) on 2; mixed_x13: False; include_provenance: False; worst_other_core_busy: 2.82% (pcrec_334fd10e_auto-caps-simdna_noedge / kv-quoted / short-subject-search)
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						loglines@0.1__pcrec_334fd10e_auto-caps-simdna__budu-ryzen1600__20260905T084611Z				agreement	agree (0 of 22 groups; 0 of 1364 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						loglines@0.1__pcrec_334fd10e_auto-caps-simdna_noedge__budu-ryzen1600__20260905T085420Z				agreement	agree (0 of 22 groups; 0 of 1364 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
rank	bignum	(set)	large-subject-throughput	plain	same program	pcrec_334fd10e_auto-caps-simdna	measured	pinned	1	median_ns	13191284.298507	12	1.0000	0	0		
rank	bignum	(set)	large-subject-throughput	plain	same program	pcrec_334fd10e_auto-caps-simdna	measured	pinned	1	min_ns	12942625.373134	12	1.0000	0	0		
rank	bignum	(set)	large-subject-throughput	plain	same program	pcrec_334fd10e_auto-caps-simdna	measured	pinned	1	max_ns	13203251.701493	12	1.0000	0	0		
rank	bignum	(set)	large-subject-throughput	plain	same program	pcrec_334fd10e_auto-caps-simdna	measured	pinned	1	stddev_ns	105574.482303	12	1.0000	0	0		
rank	bignum	(set)	large-subject-throughput	plain	same program	pcrec_334fd10e_auto-caps-simdna	measured	pinned	1	ratio_vs_baseline	1.000000	12	1.0000	0	0		
rank	bignum	(set)	large-subject-throughput	plain	same program	pcrec_334fd10e_auto-caps-simdna	measured	pinned	1	ratio_vs_best	1.000000	12	1.0000	0	0		
rank	bignum	(set)	large-subject-throughput	plain	same program	pcrec_334fd10e_auto-caps-simdna_noedge	measured	pinned	2	median_ns	13202135.969697	12	1.0000	0	0		
rank	bignum	(set)	large-subject-throughput	plain	same program	pcrec_334fd10e_auto-caps-simdna_noedge	measured	pinned	2	min_ns	13140931.969697	12	1.0000	0	0		
rank	bignum	(set)	large-subject-throughput	plain	same program	pcrec_334fd10e_auto-caps-simdna_noedge	measured	pinned	2	max_ns	13205837.196970	12	1.0000	0	0		
rank	bignum	(set)	large-subject-throughput	plain	same program	pcrec_334fd10e_auto-caps-simdna_noedge	measured	pinned	2	stddev_ns	26519.822453	12	1.0000	0	0		
