# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=loglines, version=0.1, since=2026-09-03T03:50:00Z, until=2026-09-05T09:00:00Z, testee=pcrec_334fd10e_auto-caps-simdna, testee=pcrec_334fd10e_auto-caps-simdna_noedge, testee=pcrec_288d505_auto-caps-simdna, testee=pcrec_288d505_auto-caps-simdna_noedge, testee=pcrec_1989c62_auto-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna_noedge; source: store/index.tsv (6 record(s) matching this query); records: 6; subbench_versions: loglines@0.1; machines: budu-ryzen1600; schema_versions: 1.5; superseded: 0; newer_not_measured: 0; testees: pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_auto-caps-simdna_noedge,pcrec_288d505_auto-caps-simdna,pcrec_288d505_auto-caps-simdna_noedge,pcrec_334fd10e_auto-caps-simdna,pcrec_334fd10e_auto-caps-simdna_noedge; capture_class: yes=pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_auto-caps-simdna_noedge,pcrec_288d505_auto-caps-simdna,pcrec_288d505_auto-caps-simdna_noedge,pcrec_334fd10e_auto-caps-simdna,pcrec_334fd10e_auto-caps-simdna_noedge; no=; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	pcrec_1989c62_auto-caps-simdna	pcrec_1989c62_auto-caps-simdna_noedge	pcrec_288d505_auto-caps-simdna	pcrec_288d505_auto-caps-simdna_noedge	pcrec_334fd10e_auto-caps-simdna	pcrec_334fd10e_auto-caps-simdna_noedge
loglines@0.1	bignum	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_noedge	13102237.1	pcrec_1989c62_auto-caps-simdna_noedge	13102237.1			1.007809	1.000000	1.006577	1.006270	1.006796	1.007625
loglines@0.1	bignum	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	424041.1	pcrec_1989c62_auto-caps-simdna	424041.1			1.000000	1.012599	1.014959	1.006583	1.006530	1.009730
loglines@0.1	floor	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	2902358.9	pcrec_334fd10e_auto-caps-simdna	2902358.9			1.001363	1.000505	1.000770	1.001914	1.000000	1.000860
loglines@0.1	floor	short-subject-search	plain	pcrec_288d505_auto-caps-simdna_noedge	2037.9	pcrec_288d505_auto-caps-simdna_noedge	2037.9			1.001359	1.002146	1.002998	1.000000	1.003284	1.000934
loglines@0.1	hex32-id	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna_noedge	13071679.7	pcrec_288d505_auto-caps-simdna_noedge	13071679.7			1.009262	1.010522	1.008002	1.000000	1.004942	1.008449
loglines@0.1	hex32-id	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	431239.2	pcrec_334fd10e_auto-caps-simdna	431239.2			1.008117	1.006699	1.006820	1.003418	1.000000	1.008682
loglines@0.1	http-5xx	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna_noedge	251965.5	pcrec_288d505_auto-caps-simdna_noedge	251965.5			1.034302	1.004693	1.033013	1.000000	1.004597	1.003130
loglines@0.1	http-5xx	short-subject-search	plain	pcrec_288d505_auto-caps-simdna_noedge	7032.6	pcrec_288d505_auto-caps-simdna_noedge	7032.6			1.034335	1.004626	1.025977	1.000000	1.022748	1.003404
loglines@0.1	ipv4	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna	6882753.6	pcrec_288d505_auto-caps-simdna	6882753.6			1.000085	1.004146	1.000000	1.001568	1.004520	1.002957
loglines@0.1	ipv4	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	204265.7	pcrec_1989c62_auto-caps-simdna	204265.7			1.000000	1.001604	1.002065	1.002585	1.001599	1.002879
loglines@0.1	ipv6	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna_noedge	10313542.1	pcrec_288d505_auto-caps-simdna_noedge	10313542.1			1.026350	1.001235	1.025506	1.000000	1.017880	1.000437
loglines@0.1	ipv6	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_noedge	258090.4	pcrec_334fd10e_auto-caps-simdna_noedge	258090.4			1.024428	1.001664	1.026589	1.000287	1.007444	1.000000
loglines@0.1	iso-ts	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_noedge	1142263.1	pcrec_334fd10e_auto-caps-simdna_noedge	1142263.1			1.067489	1.000507	1.065518	1.000360	1.005494	1.000000
loglines@0.1	iso-ts	short-subject-search	plain	pcrec_288d505_auto-caps-simdna_noedge	20437.9	pcrec_288d505_auto-caps-simdna_noedge	20437.9			1.092201	1.002743	1.092082	1.000000	1.016795	1.001174
loglines@0.1	kv-quoted	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna_noedge	14435127.4	pcrec_288d505_auto-caps-simdna_noedge	14435127.4			1.001840	1.000644	1.016400	1.000000	1.009153	1.012103
