# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=altwide, version=0.2, since=2026-09-03T03:50:00Z, until=2026-09-06T16:30:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_334fd10e_auto-caps-simdna, testee=pcrec_334fd10e_auto-caps-simdna_noisland, testee=pcrec_334fd10e_auto-nocaps-simdna, testee=pcrec_334fd10e_vm-caps-simdna, testee=pcrec_334fd10e_vm-in-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_d34c9131_vm-caps-simdna, testee=pcrec_d34c9131_vm-caps-simdna_noclsfold; source: store/index.tsv (10 record(s) matching this query); records: 10; subbench_versions: altwide@0.2; machines: budu-ryzen1600; schema_versions: 1.5; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_334fd10e_auto-caps-simdna,pcrec_334fd10e_auto-caps-simdna_noisland,pcrec_334fd10e_auto-nocaps-simdna,pcrec_334fd10e_vm-caps-simdna,pcrec_334fd10e_vm-in-caps-simdna,pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_vm-caps-simdna,pcrec_d34c9131_vm-caps-simdna_noclsfold; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_334fd10e_auto-caps-simdna,pcrec_334fd10e_auto-caps-simdna_noisland,pcrec_334fd10e_vm-caps-simdna,pcrec_334fd10e_vm-in-caps-simdna,pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_vm-caps-simdna,pcrec_d34c9131_vm-caps-simdna_noclsfold; no=pcrec_334fd10e_auto-nocaps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_334fd10e_auto-caps-simdna	pcrec_334fd10e_auto-caps-simdna_noisland	pcrec_334fd10e_auto-nocaps-simdna	pcrec_334fd10e_vm-caps-simdna	pcrec_334fd10e_vm-in-caps-simdna	pcrec_d34c9131_auto-caps-simdna	pcrec_d34c9131_vm-caps-simdna	pcrec_d34c9131_vm-caps-simdna_noclsfold
altwide@0.2	ci-256	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	2895849.5	pcrec_334fd10e_auto-caps-simdna	2895849.5	pcrec_334fd10e_auto-nocaps-simdna	2896496.2	1167.060872	85.955687	1.000000	1.001170	1.000223	682.902402	685.386673	1.000883	712.327876	681.891487
altwide@0.2	ci-256	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	76116.4	libpcre2_10.46_interp-caps-simdna	76116.4			1.000000	1.000100	refused	refused	refused	excluded	excluded	refused	excluded	excluded
altwide@0.2	ci-256	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	99975.2	pcrec_334fd10e_vm-caps-simdna	99975.2			excluded	excluded	refused	refused	refused	1.000000	1.002429	refused	1.101801	1.006203
altwide@0.2	ci-256	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	7373.3	pcrec_d34c9131_auto-caps-simdna	7373.3	pcrec_334fd10e_auto-nocaps-simdna	7394.2	2026.209452	152.580253	1.003622	1.002333	1.002843	1279.372616	1282.030381	1.000000	1325.971314	1290.697736
altwide@0.2	ci-512	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	596452925.0	libpcre2_10.46_jit-caps-simdna	596452925.0			11.269031	1.000000	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	ci-512	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	145836.6	libpcre2_10.46_jit-caps-simdna	145836.6			1.000999	1.000000	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	ci-512	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	2626904.7	libpcre2_10.46_jit-caps-simdna	2626904.7			11.277169	1.000000	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	cnt-64	large-subject-throughput	plain	pcrec_334fd10e_auto-nocaps-simdna	3487446.5	pcrec_334fd10e_auto-caps-simdna_noisland	3487743.9	pcrec_334fd10e_auto-nocaps-simdna	3487446.5	163.790723	12.361301	1.000342	1.000085	1.000000	3.791767	3.770433	1.002570	3.798756	3.886527
altwide@0.2	cnt-64	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	17872.3	libpcre2_10.46_jit-caps-simdna	17872.3			1.006761	1.000000	refused	refused	refused	excluded	excluded	refused	excluded	excluded
altwide@0.2	cnt-64	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	404.2	pcrec_d34c9131_vm-caps-simdna	404.2			excluded	excluded	refused	refused	refused	1.006966	1.160542	refused	1.000000	1.000211
altwide@0.2	cnt-64	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_noisland	11719.0	pcrec_334fd10e_auto-caps-simdna_noisland	11719.0	pcrec_334fd10e_auto-nocaps-simdna	11738.0	227.798045	17.193797	1.001453	1.000000	1.001621	4.822449	4.758077	1.008358	4.644907	4.683986
altwide@0.2	floor	large-subject-throughput	plain	pcrec_334fd10e_auto-nocaps-simdna	15340.1	pcrec_334fd10e_auto-caps-simdna_noisland	15360.4	pcrec_334fd10e_auto-nocaps-simdna	15340.1	1.012171	2.249974	1.001352	1.001320	1.000000	35.443576	35.394763	1.001523	35.401921	35.436639
altwide@0.2	floor	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2440.0	libpcre2_10.46_interp-caps-simdna	2440.0			1.000000	1.012177	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	floor	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna_noclsfold	237.8	pcrec_d34c9131_vm-caps-simdna_noclsfold	237.8	pcrec_334fd10e_auto-nocaps-simdna	376.5	excluded	excluded	1.599030	1.586875	1.583508	1.002418	1.019855	1.755920	1.004524	1.000000
altwide@0.2	floor	short-subject-search	plain	pcrec_334fd10e_vm-caps-simdna	388.2	pcrec_334fd10e_vm-caps-simdna	388.2	pcrec_334fd10e_auto-nocaps-simdna	543.1	7.197365	4.348880	1.400316	1.400981	1.399063	1.000000	1.137283	1.405214	1.005658	1.000998
