# reporter: v15 (2026-09-05); filters: subbench=altwide, version=0.2, since=2026-09-03T03:50:00Z, until=2026-09-06T16:30:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_334fd10e_auto-caps-simdna, testee=pcrec_334fd10e_auto-caps-simdna_noisland, testee=pcrec_334fd10e_auto-nocaps-simdna, testee=pcrec_334fd10e_vm-caps-simdna, testee=pcrec_334fd10e_vm-in-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_d34c9131_vm-caps-simdna, testee=pcrec_d34c9131_vm-caps-simdna_noclsfold; source: store/index.tsv (10 record(s) matching this query); records: 10; excluded_invalid: 0; superseded: 0; newer_not_measured: 0; subbench_versions: altwide@0.2; machines: budu-ryzen1600; schema_versions: 1.5; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.4 X13 (pre-flight + trial agreement) on 10; mixed_x13: False; include_provenance: False; worst_other_core_busy: 29.22% (pcrec_334fd10e_auto-caps-simdna / srt-256 / large-subject-throughput)
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						altwide@0.2__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260903T035908Z				agreement	agree (0 of 74 groups; 1 of 2672 rows; 100 unjudged; k=1.5, 2/3; 5 trials)						
record						altwide@0.2__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260903T050103Z				agreement	agree (0 of 89 groups; 3 of 2732 rows; 40 unjudged; k=1.5, 2/3; 5 trials)						
record						altwide@0.2__pcrec_334fd10e_auto-caps-simdna__budu-ryzen1600__20260905T074911Z				agreement	agree (0 of 53 groups; 0 of 1436 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						altwide@0.2__pcrec_334fd10e_auto-caps-simdna_noisland__budu-ryzen1600__20260905T075825Z				agreement	agree (0 of 53 groups; 0 of 1436 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						altwide@0.2__pcrec_334fd10e_auto-nocaps-simdna__budu-ryzen1600__20260905T080736Z				agreement	agree (0 of 53 groups; 0 of 1436 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						altwide@0.2__pcrec_334fd10e_vm-caps-simdna__budu-ryzen1600__20260905T081626Z				agreement	agree (0 of 65 groups; 0 of 1844 rows; 4 unjudged; k=1.5, 2/3; 5 trials)						
record						altwide@0.2__pcrec_334fd10e_vm-in-caps-simdna__budu-ryzen1600__20260905T083109Z				agreement	agree (0 of 65 groups; 0 of 1844 rows; 4 unjudged; k=1.5, 2/3; 5 trials)						
record						altwide@0.2__pcrec_d34c9131_auto-caps-simdna__budu-ryzen1600__20260906T162430Z				agreement	agree (0 of 53 groups; 0 of 1436 rows; 0 unjudged; k=1.5, 2/3; 5 trials)						
record						altwide@0.2__pcrec_d34c9131_vm-caps-simdna__budu-ryzen1600__20260906T155527Z				agreement	agree (0 of 65 groups; 0 of 1844 rows; 4 unjudged; k=1.5, 2/3; 5 trials)						
record						altwide@0.2__pcrec_d34c9131_vm-caps-simdna_noclsfold__budu-ryzen1600__20260906T161001Z				agreement	agree (0 of 65 groups; 0 of 1844 rows; 4 unjudged; k=1.5, 2/3; 5 trials)						
rank	ci-256	(set)	large-subject-throughput	plain	same program	pcrec_334fd10e_auto-caps-simdna	measured	pinned	1	median_ns	2895849.460177	4	1.0000	0	0		
rank	ci-256	(set)	large-subject-throughput	plain	same program	pcrec_334fd10e_auto-caps-simdna	measured	pinned	1	min_ns	2894461.663717	4	1.0000	0	0		
rank	ci-256	(set)	large-subject-throughput	plain	same program	pcrec_334fd10e_auto-caps-simdna	measured	pinned	1	max_ns	2902436.938053	4	1.0000	0	0		
rank	ci-256	(set)	large-subject-throughput	plain	same program	pcrec_334fd10e_auto-caps-simdna	measured	pinned	1	stddev_ns	3193.851769	4	1.0000	0	0		
rank	ci-256	(set)	large-subject-throughput	plain	same program	pcrec_334fd10e_auto-caps-simdna	measured	pinned	1	ratio_vs_baseline	0.000857	4	1.0000	0	0		
rank	ci-256	(set)	large-subject-throughput	plain	same program	pcrec_334fd10e_auto-caps-simdna	measured	pinned	1	ratio_vs_best	1.000000	4	1.0000	0	0		
rank	ci-256	(set)	large-subject-throughput	plain	same program	pcrec_334fd10e_auto-nocaps-simdna	measured	pinned	2	median_ns	2896496.168142	4	1.0000	0	0		
