# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=altwide, version=0.2, since=2026-09-06T15:50:00Z, until=2026-09-06T16:30:00Z, testee=pcrec_d34c9131_vm-caps-simdna, testee=pcrec_d34c9131_vm-caps-simdna_noclsfold, testee=pcrec_d34c9131_auto-caps-simdna; source: store/index.tsv (3 record(s) matching this query); records: 3; subbench_versions: altwide@0.2; machines: budu-ryzen1600; schema_versions: 1.5; superseded: 0; newer_not_measured: 0; testees: pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_vm-caps-simdna,pcrec_d34c9131_vm-caps-simdna_noclsfold
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	pcrec_d34c9131_auto-caps-simdna	pcrec_d34c9131_vm-caps-simdna	pcrec_d34c9131_vm-caps-simdna_noclsfold
altwide@0.2	ci-256	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	2898406.8	1.000000	711.699371	681.289837
altwide@0.2	ci-256	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna_noclsfold	100595.4	refused	1.095008	1.000000
altwide@0.2	ci-256	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	7373.3	1.000000	1325.971314	1290.697736
altwide@0.2	ci-512					refused	refused	refused
altwide@0.2	cnt-64	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	3496409.2	1.000000	3.789018	3.876565
altwide@0.2	cnt-64	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	404.2	refused	1.000000	1.000211
altwide@0.2	cnt-64	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	11817.0	1.000000	4.606407	4.645162
altwide@0.2	floor	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	15363.5	1.000000	35.348088	35.382753
altwide@0.2	floor	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna_noclsfold	237.8	1.755920	1.004524	1.000000
altwide@0.2	floor	short-subject-search	plain	pcrec_d34c9131_vm-caps-simdna_noclsfold	388.6	1.403814	1.004656	1.000000
altwide@0.2	nar4-256	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	1795773.5	1.000000	4.705822	4.701663
altwide@0.2	nar4-256	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna_noclsfold	349.4	1.302315	1.002915	1.000000
altwide@0.2	nar4-256	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	4417.5	1.000000	5.862994	6.011274
altwide@0.2	nar4-512					refused	refused	refused
altwide@0.2	nar4-64	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	1913995.2	1.000000	4.243693	4.214540
altwide@0.2	nar4-64	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	338.7	1.301738	1.000000	1.001812
altwide@0.2	nar4-64	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	4586.9	1.000000	5.631994	5.332933
altwide@0.2	pfx3-256	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	365973.8	1.000000	8.282123	8.316471
altwide@0.2	pfx3-256	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna_noclsfold	337.9	1.364357	1.001888	1.000000
altwide@0.2	pfx3-256	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	1220.7	1.000000	11.967165	12.551619
altwide@0.2	pfx3-512	large-subject-throughput	plain	pcrec_d34c9131_vm-caps-simdna_noclsfold	2702885.3	refused	1.000110	1.000000
altwide@0.2	pfx3-512	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna_noclsfold	326.6	refused	1.001179	1.000000
altwide@0.2	pfx3-512	short-subject-search	plain	pcrec_d34c9131_vm-caps-simdna	14341.4	refused	1.000000	1.000984
altwide@0.2	s-2048					refused	refused	refused
altwide@0.2	s-256	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	2884926.5	1.000000	5.567302	5.576415
altwide@0.2	s-256	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	366.9	1.267487	1.000000	1.009700
