# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=bounded, version=0.3, since=2026-09-04T23:00:00Z, until=2026-09-06T18:10:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_288d505_vm-in-caps-simdna, testee=pcrec_334fd10e_auto-caps-simdna, testee=pcrec_334fd10e_vm-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_d34c9131_vm-caps-simdna, testee=pcrec_d34c9131_vm-in-caps-simdna; source: store/index.tsv (8 record(s) matching this query); records: 8; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.5; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_288d505_vm-in-caps-simdna,pcrec_334fd10e_auto-caps-simdna,pcrec_334fd10e_vm-caps-simdna,pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_vm-caps-simdna,pcrec_d34c9131_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_288d505_vm-in-caps-simdna	pcrec_334fd10e_auto-caps-simdna	pcrec_334fd10e_vm-caps-simdna	pcrec_d34c9131_auto-caps-simdna	pcrec_d34c9131_vm-caps-simdna	pcrec_d34c9131_vm-in-caps-simdna
bounded@0.3	cls-atleast-4096	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	59554.8	1.875607	1.000000	1.224299	1.449539	1.330286	1.462993	1.335376	1.318207
bounded@0.3	cls-atleast-4096	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1460.8	1.000000	1.019817	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-atleast-4096	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1468.7	excluded	excluded	1.112348	5.259694	1.069542	5.279101	1.083896	1.000000
bounded@0.3	cls-atleast-4096	short-subject-search	plain	libpcre2_10.46_interp-caps-simdna	1826.1	1.000000	1.081670	27.863722	1.267319	28.647481	1.271932	28.684694	28.549492
bounded@0.3	cls-lazy-16384	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	378365.8	28.635564	11.273705	2.720498	1.000252	1.830637	1.000000	1.833191	2.719545
bounded@0.3	cls-lazy-16384	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	46560.8	1.000000	1.003472	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-lazy-16384	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	8663.4	excluded	excluded	1.019255	1.000067	1.000000	1.000978	1.008507	1.016632
bounded@0.3	cls-lazy-16384	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	326.3	15.424958	6.128347	1.669437	1.000000	1.418150	1.083935	1.418437	1.668529
bounded@0.3	cls-upto-1024	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	125408.5	17.385758	6.356105	2.190946	1.001127	1.387471	1.000000	1.387736	1.435791
bounded@0.3	cls-upto-1024	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6924.4	1.000000	1.006739	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-1024	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1910.4	excluded	excluded	1.051211	2.519389	1.006562	2.533308	1.010661	1.000000
bounded@0.3	cls-upto-1024	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	989.8	5.906838	2.592252	1.388139	1.000000	1.116436	1.008710	1.124278	1.111129
