# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=loglines, version=0.1, since=2026-09-06T18:40:00Z, until=2026-09-06T19:00:00Z, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna_noclsfold; source: store/index.tsv (2 record(s) matching this query); records: 2; subbench_versions: loglines@0.1; machines: budu-ryzen1600; schema_versions: 1.5; superseded: 0; newer_not_measured: 0; testees: pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_auto-caps-simdna_noclsfold; capture_class: yes=pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_auto-caps-simdna_noclsfold; no=; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	pcrec_d34c9131_auto-caps-simdna	pcrec_d34c9131_auto-caps-simdna_noclsfold
loglines@0.1	bignum	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	13191602.5	pcrec_d34c9131_auto-caps-simdna	13191602.5			1.000000	1.000637
loglines@0.1	bignum	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna_noclsfold	425758.3	pcrec_d34c9131_auto-caps-simdna_noclsfold	425758.3			1.004921	1.000000
loglines@0.1	floor	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna_noclsfold	2907055.9	pcrec_d34c9131_auto-caps-simdna_noclsfold	2907055.9			1.000111	1.000000
loglines@0.1	floor	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna_noclsfold	2040.2	pcrec_d34c9131_auto-caps-simdna_noclsfold	2040.2			1.000543	1.000000
loglines@0.1	hex32-id	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna_noclsfold	13020906.4	pcrec_d34c9131_auto-caps-simdna_noclsfold	13020906.4			1.004089	1.000000
loglines@0.1	hex32-id	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna_noclsfold	431748.6	pcrec_d34c9131_auto-caps-simdna_noclsfold	431748.6			1.001377	1.000000
loglines@0.1	http-5xx	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	252970.2	pcrec_d34c9131_auto-caps-simdna	252970.2			1.000000	1.001734
loglines@0.1	http-5xx	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	7183.5	pcrec_d34c9131_auto-caps-simdna	7183.5			1.000000	1.002949
loglines@0.1	ipv4	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna_noclsfold	6893860.3	pcrec_d34c9131_auto-caps-simdna_noclsfold	6893860.3			1.001635	1.000000
loglines@0.1	ipv4	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna_noclsfold	204590.4	pcrec_d34c9131_auto-caps-simdna_noclsfold	204590.4			1.001786	1.000000
loglines@0.1	ipv6	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna_noclsfold	10503378.1	pcrec_d34c9131_auto-caps-simdna_noclsfold	10503378.1			1.000044	1.000000
loglines@0.1	ipv6	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna_noclsfold	260003.7	pcrec_d34c9131_auto-caps-simdna_noclsfold	260003.7			1.001032	1.000000
loglines@0.1	iso-ts	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	1148476.8	pcrec_d34c9131_auto-caps-simdna	1148476.8			1.000000	1.000276
loglines@0.1	iso-ts	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna_noclsfold	20762.3	pcrec_d34c9131_auto-caps-simdna_noclsfold	20762.3			1.000293	1.000000
loglines@0.1	kv-quoted	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	14452342.0	pcrec_d34c9131_auto-caps-simdna	14452342.0			1.000000	1.011039
loglines@0.1	kv-quoted	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	505379.9	pcrec_d34c9131_auto-caps-simdna	505379.9			1.000000	1.013356
loglines@0.1	level-context	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna_noclsfold	11022066.0	pcrec_d34c9131_auto-caps-simdna_noclsfold	11022066.0			1.001234	1.000000
loglines@0.1	level-context	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna_noclsfold	333385.1	pcrec_d34c9131_auto-caps-simdna_noclsfold	333385.1			1.000266	1.000000
loglines@0.1	stack-frame	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	1843274.7	pcrec_d34c9131_auto-caps-simdna	1843274.7			1.000000	1.002339
loglines@0.1	stack-frame	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	31834.4	pcrec_d34c9131_auto-caps-simdna	31834.4			1.000000	1.000457
loglines@0.1	uuid	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	1078097.8	pcrec_d34c9131_auto-caps-simdna	1078097.8			1.000000	1.001991
loglines@0.1	uuid	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna_noclsfold	21209.2	pcrec_d34c9131_auto-caps-simdna_noclsfold	21209.2			1.000278	1.000000
