# reporter: v15 (2026-09-05); filters: subbench=syntax, version=0.1, since=2026-09-07T00:00:00Z, until=2026-09-07T05:00:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_d34c9131_auto-nocaps-simdna, testee=pcrec_d34c9131_vm-caps-simdna, testee=pcrec_d34c9131_vm-in-caps-simdna; source: store/index.tsv (6 record(s) matching this query); records: 6; excluded_invalid: 0; superseded: 0; newer_not_measured: 0; subbench_versions: syntax@0.1; machines: budu-ryzen1600; schema_versions: 1.5; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.4 X13 (pre-flight + trial agreement) on 6; mixed_x13: False; include_provenance: False; worst_other_core_busy: 30.15% (libpcre2_10.46_interp-caps-simdna / grp-atomic-alt / large-subject-throughput)
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						syntax@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260907T003211Z				agreement	agree (0 of 282 groups; 0 of 8256 rows; 9 unjudged; k=1.5, 2/3; 5 trials)						
record						syntax@0.1__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260907T012625Z				agreement	agree (0 of 282 groups; 0 of 8256 rows; 9 unjudged; k=1.5, 2/3; 5 trials)						
record						syntax@0.1__pcrec_d34c9131_auto-caps-simdna__budu-ryzen1600__20260907T020654Z				agreement	agree (0 of 239 groups; 0 of 6994 rows; 11 unjudged; k=1.5, 2/3; 5 trials)						
record						syntax@0.1__pcrec_d34c9131_auto-nocaps-simdna__budu-ryzen1600__20260907T024658Z				agreement	agree (0 of 239 groups; 0 of 6994 rows; 11 unjudged; k=1.5, 2/3; 5 trials)						
record						syntax@0.1__pcrec_d34c9131_vm-caps-simdna__budu-ryzen1600__20260907T032217Z				agreement	agree (0 of 239 groups; 2 of 6994 rows; 11 unjudged; k=1.5, 2/3; 5 trials)						
record						syntax@0.1__pcrec_d34c9131_vm-in-caps-simdna__budu-ryzen1600__20260907T040605Z				agreement	agree (0 of 239 groups; 14 of 6994 rows; 11 unjudged; k=1.5, 2/3; 5 trials)						
rank	alt-nested	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	median_ns	1198517.360577	3	1.0000	0	0		
rank	alt-nested	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	min_ns	1195185.225962	3	1.0000	0	0		
rank	alt-nested	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	max_ns	1222242.264423	3	1.0000	0	0		
rank	alt-nested	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	stddev_ns	9843.931004	3	1.0000	0	0		
rank	alt-nested	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	ratio_vs_baseline	0.092014	3	1.0000	0	0		
rank	alt-nested	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	ratio_vs_best	1.000000	3	1.0000	0	0		
rank	alt-nested	(set)	large-subject-throughput	plain	same program	pcrec_d34c9131_vm-caps-simdna	measured	pinned	2	median_ns	2050183.548387	3	1.0000	0	0		
rank	alt-nested	(set)	large-subject-throughput	plain	same program	pcrec_d34c9131_vm-caps-simdna	measured	pinned	2	min_ns	2047896.274194	3	1.0000	0	0		
rank	alt-nested	(set)	large-subject-throughput	plain	same program	pcrec_d34c9131_vm-caps-simdna	measured	pinned	2	max_ns	2051143.241935	3	1.0000	0	0		
rank	alt-nested	(set)	large-subject-throughput	plain	same program	pcrec_d34c9131_vm-caps-simdna	measured	pinned	2	stddev_ns	1139.819804	3	1.0000	0	0		
rank	alt-nested	(set)	large-subject-throughput	plain	same program	pcrec_d34c9131_vm-caps-simdna	measured	pinned	2	ratio_vs_baseline	0.157399	3	1.0000	0	0		
rank	alt-nested	(set)	large-subject-throughput	plain	same program	pcrec_d34c9131_vm-caps-simdna	measured	pinned	2	ratio_vs_best	1.710600	3	1.0000	0	0		
rank	alt-nested	(set)	large-subject-throughput	plain	same program	pcrec_d34c9131_vm-in-caps-simdna	measured	pinned	3	median_ns	2053804.527559	3	1.0000	0	0		
rank	alt-nested	(set)	large-subject-throughput	plain	same program	pcrec_d34c9131_vm-in-caps-simdna	measured	pinned	3	min_ns	2052153.811024	3	1.0000	0	0		
rank	alt-nested	(set)	large-subject-throughput	plain	same program	pcrec_d34c9131_vm-in-caps-simdna	measured	pinned	3	max_ns	2060321.173228	3	1.0000	0	0		
rank	alt-nested	(set)	large-subject-throughput	plain	same program	pcrec_d34c9131_vm-in-caps-simdna	measured	pinned	3	stddev_ns	2976.988531	3	1.0000	0	0		
rank	alt-nested	(set)	large-subject-throughput	plain	same program	pcrec_d34c9131_vm-in-caps-simdna	measured	pinned	3	ratio_vs_baseline	0.157677	3	1.0000	0	0		
rank	alt-nested	(set)	large-subject-throughput	plain	same program	pcrec_d34c9131_vm-in-caps-simdna	measured	pinned	3	ratio_vs_best	1.713621	3	1.0000	0	0		
rank	alt-nested	(set)	large-subject-throughput	plain	same program	pcrec_d34c9131_auto-caps-simdna	measured	pinned	4	median_ns	2123864.603306	3	1.0000	0	0		
