# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=capability, version=0.1, machine=budu-ryzen1600, since=2026-09-17T00:00:00Z, until=2026-09-17T08:00:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=libpcre2_10.46_dfa-nocaps-simdna, testee=pcrec_a770139e_auto-caps-simdna, testee=pcrec_a770139e_auto-nocaps-simdna, testee=pcrec_a770139e_vm-caps-simdna, testee=pcrec_a770139e_vm-in-caps-simdna; source: store/index.tsv (8 record(s) matching this query); records: 7; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.5; superseded: 1; newer_not_measured: 0; testees: libpcre2_10.46_dfa-nocaps-simdna,libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_a770139e_auto-caps-simdna,pcrec_a770139e_auto-nocaps-simdna,pcrec_a770139e_vm-caps-simdna,pcrec_a770139e_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_dfa-nocaps-simdna	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_a770139e_auto-caps-simdna	pcrec_a770139e_auto-nocaps-simdna	pcrec_a770139e_vm-caps-simdna	pcrec_a770139e_vm-in-caps-simdna
capability@0.1	balanced-parens-rec	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	562266.0	8.368517	5.164487	1.000000	9.753615	9.752978	9.742949	9.774253
capability@0.1	balanced-parens-rec	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	2959.0	1.549686	1.306721	1.000000	2.169199	2.245115	2.216366	2.232576
capability@0.1	base10num-near-miss	large-subject-throughput	plain	pcrec_a770139e_auto-caps-simdna	16.9	4.792911	5.485464	7.041980	1.000000	1.001256	240916.747796	241143.437445
capability@0.1	base10num-near-miss	short-subject-search	plain	pcrec_a770139e_auto-caps-simdna	548.7	8.985436	8.267582	5.790437	1.000000	1.005833	10.407242	10.303593
capability@0.1	bracket-array-define	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	128.3	2.423611	2.582757	1.000000	38046.936534	38042.086934	38040.014806	38152.522518
capability@0.1	bracket-array-define	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3233.6	2.746764	2.729060	1.000000	2.109717	2.124751	2.116362	2.193645
capability@0.1	codegrammar-flat	large-subject-throughput	plain	pcrec_a770139e_auto-caps-simdna	610465.6	25.252568	3.466273	1.487134	1.000000	1.057132	3.275659	7.283568
capability@0.1	codegrammar-flat	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	726.5	3.381250	3.763555	4.541562	1.291431	1.000000	2.141609	5.205558
capability@0.1	codegrammar-xflag	large-subject-throughput	plain	pcrec_a770139e_auto-caps-simdna	614392.3	24.113128	3.452495	1.471666	1.000000	1.051761	3.261397	7.183103
capability@0.1	codegrammar-xflag	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	726.2	3.412062	3.818080	4.342994	1.295147	1.000000	2.147328	5.197385
capability@0.1	currency-lookbehind-fixed	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	1723358.9	6.278008	6.590017	1.000000	6.520534	6.503339	6.452947	6.442006
capability@0.1	currency-lookbehind-fixed	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	4033.4	3.799308	3.954220	1.000000	1.276771	1.278617	3.069643	3.127249
capability@0.1	date-nested-plus	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	16.1	6.419155	6.069715	8.718857	1.907977	1.000000	239760.394340	239894.435396
capability@0.1	date-nested-plus	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	492.3	8.606883	8.808889	6.848940	1.764748	1.000000	12.422578	12.855121
capability@0.1	doubled-word	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	13111656.5	unsup	6.837077	1.000000	1.940219	1.942354	1.946412	1.940028
capability@0.1	doubled-word	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	13186.3	unsup	6.314447	1.000000	1.582309	1.577701	1.585714	1.599025
capability@0.1	dup-param-detect	large-subject-throughput	plain	libpcre2_10.46_interp-caps-simdna	23240.8	unsup	1.000000	142.040895	578.435827	576.641497	578.673876	578.506324
capability@0.1	dup-param-detect	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3338.5	unsup	1.738828	1.000000	3.250540	3.254303	3.247043	3.281991
capability@0.1	email-local-nodup	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	258.8	15.013144	10.676525	1.000000	3.777478	3.782876	14930.645526	14936.392445
capability@0.1	email-local-nodup	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5321.7	7.986336	6.292178	1.000000	2.001188	1.997946	2.994398	3.039762
capability@0.1	email-nested-plus	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	33.3	75.651566	829.597911	417.774626	1.455838	1.000000	134570.856184	134503.607747
capability@0.1	email-nested-plus	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	974.9	9.032337	3.254136	3.159028	1.470711	1.000000	excluded	excluded
capability@0.1	evil-alt-nested	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	27.0	58.437226	787.073151	72.122464	158616.693947	1.000000	158542.907912	158639.125379
capability@0.1	evil-alt-nested	short-subject-search	plain			wrong	gave-up	gave-up	excluded	wrong	excluded	excluded
capability@0.1	file-ext-order	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	76758.0	14.785117	15.931176	1.000000	3.812578	3.812001	50.243540	50.229101
capability@0.1	file-ext-order	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	833.5	wrong	4.889426	3.368107	1.004721	1.000000	5.740603	5.519998
capability@0.1	float-literal-bound	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	1789624.2	10.399609	8.465658	1.189183	1.000460	1.000000	10.540030	10.674966
capability@0.1	float-literal-bound	short-subject-search	plain	pcrec_a770139e_auto-caps-simdna	2482.1	2.360469	2.212002	1.403007	1.000000	1.000810	7.998583	8.093282
capability@0.1	floor-byte	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	23144.2	1.004259	1.004286	2.244837	1.000948	1.000000	35.175495	35.200339
capability@0.1	floor-byte	short-subject-search	plain	pcrec_a770139e_auto-caps-simdna	667.1	3.413684	3.871345	4.544741	1.000000	1.002964	2.030377	1.949712
capability@0.1	high-byte-run	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	407488.7	2.485061	2.497760	1.000000	1.186122	1.185681	4.993416	4.993476
capability@0.1	high-byte-run	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	1106.7	2.956954	3.188963	3.040521	1.000960	1.000000	2.590585	2.516287
capability@0.1	ipv4-near-miss	large-subject-throughput	plain	pcrec_a770139e_auto-caps-simdna	18.7	4.358358	4.927292	7.679513	1.000000	1.007306	217034.036709	217053.534824
capability@0.1	ipv4-near-miss	short-subject-search	plain	pcrec_a770139e_auto-caps-simdna	492.2	5.571667	6.022895	6.127551	1.000000	1.005310	13.009118	13.065127
capability@0.1	keyword-prefix-order	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	511780.6	6.141354	6.480897	1.000000	1.429852	1.427660	8.167992	8.202904
capability@0.1	keyword-prefix-order	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	776.7	wrong	5.167944	3.699580	1.001936	1.000000	6.023283	6.134288
capability@0.1	logparse-atomic	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	30.0	8.170739	8.706290	4.293725	1.004370	1.000000	94777.357393	94797.461437
capability@0.1	logparse-atomic	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	839.4	6.242289	5.907629	3.834972	1.013430	1.000000	4.908578	4.918138
capability@0.1	logparse-atomic-removed	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	18.7	10.356368	13.392583	6.879201	1.615501	1.000000	195326.378966	195249.101023
capability@0.1	logparse-atomic-removed	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	493.6	9.283835	9.793856	6.521616	1.638432	1.000000	9.751119	9.729833
capability@0.1	mojibake-curly-quote	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	23156.9	1.004663	1.003486	1.729334	1.000422	1.000000	17.599921	17.593671
capability@0.1	mojibake-curly-quote	short-subject-search	plain	libpcre2_10.46_interp-caps-simdna	2824.7	1.011600	1.000000	1.045965	wrong	wrong	wrong	wrong
capability@0.1	negation-scope-lookbehind-var	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	51588.5	gave-up	944.904161	1.000000	unsup	unsup	unsup	unsup
capability@0.1	negation-scope-lookbehind-var	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3119.1	gave-up	2.944491	1.000000	unsup	unsup	unsup	unsup
capability@0.1	nested-comment-rec	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	52006.5	40.487263	51.634501	1.000000	149.944958	150.105677	150.122452	150.255139
capability@0.1	nested-comment-rec	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3232.4	2.146135	1.618442	1.000000	2.878462	2.867406	2.871924	2.808542
capability@0.1	numeric-id-nested-plus	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	15.2	5.291149	6.206707	8.173031	1.832253	1.000000	268024.852695	268490.111373
capability@0.1	numeric-id-nested-plus	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	470.6	28.135998	72305.115313	6615.701418	1.800121	1.000000	19637.123970	19621.701299
capability@0.1	phone-list-nested-plus	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	15.2	5.341363	6.210026	8.189062	1.879266	1.000000	254993.476102	254820.816757
capability@0.1	phone-list-nested-plus	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	481.2	31.593469	83076.160642	8095.594953	1.854212	1.000000	20749.777625	20733.087205
capability@0.1	phone-palindrome-6	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	2212527.9	unsup	9.188432	1.000000	2.996401	3.401468	3.018864	3.204413
capability@0.1	phone-palindrome-6	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	4545.7	unsup	3.857302	1.000000	1.618509	1.623102	1.686294	1.692600
capability@0.1	pwd-strength-chain	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	221.7	54.606783	23.329702	5.106075	1.002678	1.000000	16652.839088	16621.121646
capability@0.1	pwd-strength-chain	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	8323.2	11.474081	4.338114	1.000000	1.485394	1.485205	1.739141	1.775001
capability@0.1	quoted-delim-match	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	460903.3	unsup	9.125004	1.000000	21.430712	21.171899	21.859373	21.824681
capability@0.1	quoted-delim-match	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3317.1	unsup	2.523402	1.000000	3.438616	3.355706	3.417154	3.459597
