# reporter: v16 (2026-09-08); filters: subbench=capability, version=0.1, machine=budu-ryzen1600, since=2026-09-17T00:00:00Z, until=2026-09-17T08:00:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=libpcre2_10.46_dfa-nocaps-simdna, testee=pcrec_a770139e_auto-caps-simdna, testee=pcrec_a770139e_auto-nocaps-simdna, testee=pcrec_a770139e_vm-caps-simdna, testee=pcrec_a770139e_vm-in-caps-simdna; source: store/index.tsv (8 record(s) matching this query); records: 7; excluded_invalid: 0; superseded: 1; newer_not_measured: 0; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.5; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.4 X13 (pre-flight + trial agreement) on 7; mixed_x13: False; include_provenance: False; worst_other_core_busy: 48.39% (libpcre2_10.46_dfa-nocaps-simdna / email-local-nodup / large-subject-throughput); floor_pattern: floor-byte
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						capability@0.1__libpcre2_10.46_dfa-nocaps-simdna__budu-ryzen1600__20260917T062345Z				agreement	agree (0 of 116 groups; 5 of 4572 rows; 30 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260917T005053Z				agreement	agree (0 of 126 groups; 52 of 4984 rows; 8 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260917T013333Z				agreement	agree (0 of 128 groups; 0 of 4990 rows; 2 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_a770139e_auto-caps-simdna__budu-ryzen1600__20260917T020152Z				agreement	agree (0 of 122 groups; 6 of 4755 rows; 3 unjudged (2 all-timed-out); k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_a770139e_auto-nocaps-simdna__budu-ryzen1600__20260917T024324Z				agreement	agree (0 of 124 groups; 4 of 4833 rows; 3 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_a770139e_vm-caps-simdna__budu-ryzen1600__20260917T030830Z				agreement	agree (0 of 124 groups; 5 of 4828 rows; 8 unjudged (7 all-timed-out); k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_a770139e_vm-in-caps-simdna__budu-ryzen1600__20260917T042856Z				agreement	agree (0 of 124 groups; 7 of 4828 rows; 8 unjudged (7 all-timed-out); k=1.5, 2/3; 5 trials)						
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	median_ns	562266.027714	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	min_ns	557095.607390	3	1.0000	0	0		
rank	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	max_ns	568518.648961	3	1.0000	0	0		
