# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=capability, version=0.1, since=2026-09-17T00:00:00Z, until=2026-09-18T03:00:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=libpcre2_10.46_dfa-nocaps-simdna, testee=pcrec_a770139e_auto-caps-simdna, testee=pcrec_a770139e_auto-nocaps-simdna, testee=pcrec_a770139e_vm-caps-simdna, testee=pcrec_a770139e_vm-in-caps-simdna, testee=pcrec_cf0962e3_auto-caps-simdna, testee=pcrec_cf0962e3_auto-nocaps-simdna, testee=pcrec_cf0962e3_vm-caps-simdna, testee=pcrec_cf0962e3_vm-in-caps-simdna; source: store/index.tsv (12 record(s) matching this query); records: 11; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.5,1.6; superseded: 1; newer_not_measured: 0; testees: libpcre2_10.46_dfa-nocaps-simdna,libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_a770139e_auto-caps-simdna,pcrec_a770139e_auto-nocaps-simdna,pcrec_a770139e_vm-caps-simdna,pcrec_a770139e_vm-in-caps-simdna,pcrec_cf0962e3_auto-caps-simdna,pcrec_cf0962e3_auto-nocaps-simdna,pcrec_cf0962e3_vm-caps-simdna,pcrec_cf0962e3_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_dfa-nocaps-simdna	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_a770139e_auto-caps-simdna	pcrec_a770139e_auto-nocaps-simdna	pcrec_a770139e_vm-caps-simdna	pcrec_a770139e_vm-in-caps-simdna	pcrec_cf0962e3_auto-caps-simdna	pcrec_cf0962e3_auto-nocaps-simdna	pcrec_cf0962e3_vm-caps-simdna	pcrec_cf0962e3_vm-in-caps-simdna
capability@0.1	balanced-parens-rec	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	562266.0	8.368517	5.164487	1.000000	9.753615	9.752978	9.742949	9.774253	9.746191	9.728100	9.759563	9.776804
capability@0.1	balanced-parens-rec	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	2959.0	1.549686	1.306721	1.000000	2.169199	2.245115	2.216366	2.232576	2.237952	2.211439	2.231687	2.228645
capability@0.1	base10num-near-miss	large-subject-throughput	plain	pcrec_a770139e_auto-caps-simdna	16.9	4.792911	5.485464	7.041980	1.000000	1.001256	240916.747796	241143.437445	1.001564	1.002598	240978.033094	240885.081229
capability@0.1	base10num-near-miss	short-subject-search	plain	pcrec_cf0962e3_auto-caps-simdna	544.5	9.055575	8.332117	5.835636	1.007806	1.013685	10.488480	10.384022	1.000000	1.017005	10.492489	10.342338
capability@0.1	bracket-array-define	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	128.3	2.423611	2.582757	1.000000	38046.936534	38042.086934	38040.014806	38152.522518	38024.952151	38010.247041	38011.935168	38013.772347
capability@0.1	bracket-array-define	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3233.6	2.746764	2.729060	1.000000	2.109717	2.124751	2.116362	2.193645	2.114719	2.125393	2.109440	2.189554
capability@0.1	codegrammar-flat	large-subject-throughput	plain	pcrec_cf0962e3_auto-caps-simdna	604250.7	25.512298	3.501925	1.502429	1.010285	1.068005	3.309350	7.358481	1.000000	1.027715	3.315937	7.294642
capability@0.1	codegrammar-flat	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	726.1	3.383097	3.765611	4.544042	1.292137	1.000546	2.142779	5.208401	1.290049	1.000000	2.154426	5.192368
capability@0.1	codegrammar-xflag	large-subject-throughput	plain	pcrec_cf0962e3_auto-caps-simdna	604949.3	24.489523	3.506387	1.494638	1.015610	1.068178	3.312306	7.295228	1.000000	1.036908	3.298037	7.347714
capability@0.1	codegrammar-xflag	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	726.2	3.412062	3.818080	4.342994	1.295147	1.000000	2.147328	5.197385	1.292509	1.000348	2.153098	5.187273
capability@0.1	currency-lookbehind-fixed	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	1723358.9	6.278008	6.590017	1.000000	6.520534	6.503339	6.452947	6.442006	6.511348	6.484205	6.453909	6.444034
capability@0.1	currency-lookbehind-fixed	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	4033.4	3.799308	3.954220	1.000000	1.276771	1.278617	3.069643	3.127249	1.279541	1.273223	3.067838	3.121810
capability@0.1	date-nested-plus	large-subject-throughput	plain	pcrec_cf0962e3_auto-nocaps-simdna	16.0	6.447066	6.096107	8.756768	1.916273	1.004348	240802.895609	240937.519488	1.905314	1.000000	240849.918358	240804.547242
capability@0.1	date-nested-plus	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	489.7	8.652413	8.855488	6.885172	1.774084	1.005290	12.488294	12.923125	1.774689	1.000000	12.486588	12.859443
capability@0.1	doubled-word	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	13111656.5	unsup	6.837077	1.000000	1.940219	1.942354	1.946412	1.940028	1.949514	1.932041	1.940899	1.949865
capability@0.1	doubled-word	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	13186.3	unsup	6.314447	1.000000	1.582309	1.577701	1.585714	1.599025	1.580923	1.585397	1.582409	1.595887
capability@0.1	dup-param-detect	large-subject-throughput	plain	libpcre2_10.46_interp-caps-simdna	23240.8	unsup	1.000000	142.040895	578.435827	576.641497	578.673876	578.506324	579.094620	576.594808	578.931127	578.466101
capability@0.1	dup-param-detect	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3338.5	unsup	1.738828	1.000000	3.250540	3.254303	3.247043	3.281991	3.244172	3.251424	3.255310	3.269919
capability@0.1	email-local-nodup	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	258.8	15.013144	10.676525	1.000000	3.777478	3.782876	14930.645526	14936.392445	3.796122	3.802128	14932.912779	14926.750137
capability@0.1	email-local-nodup	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5321.7	7.986336	6.292178	1.000000	2.001188	1.997946	2.994398	3.039762	2.000892	2.002463	2.994450	3.026540
capability@0.1	email-nested-plus	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	33.3	75.651566	829.597911	417.774626	1.455838	1.000000	134570.856184	134503.607747	1.472500	1.047577	134626.246656	134423.918222
capability@0.1	email-nested-plus	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	974.9	9.032337	3.254136	3.159028	1.470711	1.000000	excluded	excluded	1.473530	1.002928	gave-up	gave-up
capability@0.1	evil-alt-nested	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	27.0	58.437226	787.073151	72.122464	158616.693947	1.000000	158542.907912	158639.125379	158977.280630	1.016636	158472.117056	158495.515272
capability@0.1	evil-alt-nested	short-subject-search	plain			wrong	gave-up	gave-up	excluded	wrong	excluded	excluded	gave-up	wrong	gave-up	gave-up
capability@0.1	file-ext-order	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	76758.0	14.785117	15.931176	1.000000	3.812578	3.812001	50.243540	50.229101	3.809674	3.812162	50.215395	50.252663
capability@0.1	file-ext-order	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	833.5	wrong	4.889426	3.368107	1.004721	1.000000	5.740603	5.519998	1.016881	1.002814	5.856644	5.686594
capability@0.1	float-literal-bound	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	1789624.2	10.399609	8.465658	1.189183	1.000460	1.000000	10.540030	10.674966	1.001545	1.000212	10.539867	10.695601
capability@0.1	float-literal-bound	short-subject-search	plain	pcrec_cf0962e3_auto-caps-simdna	2482.0	2.360510	2.212040	1.403031	1.000017	1.000827	7.998719	8.093420	1.000000	1.002037	7.994939	8.097550
capability@0.1	floor-byte	large-subject-throughput	plain	pcrec_cf0962e3_auto-nocaps-simdna	23130.1	1.004869	1.004896	2.246200	1.001555	1.000607	35.196850	35.221709	1.001618	1.000000	35.226981	35.196466
capability@0.1	floor-byte	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	666.0	3.419653	3.878115	4.552688	1.001749	1.004718	2.033928	1.953122	1.002488	1.000000	2.038836	1.949151
capability@0.1	high-byte-run	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	407488.7	2.485061	2.497760	1.000000	1.186122	1.185681	4.993416	4.993476	1.185641	1.184955	4.993306	4.991887
