# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=capability, version=0.1, since=2026-09-18T03:00:00Z, until=2026-09-18T06:00:00Z, testee=re2_11.0.0_default-caps-simdna, testee=re2_11.0.0_longest-caps-simdna, testee=oniguruma_6.9.10_default-caps-simdna, testee=tre_0.9.0_default-caps-simdna, testee=vectorscan_5.4.11_block-nosom-nocaps-simd; source: store/index.tsv (5 record(s) matching this query); records: 5; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.6; superseded: 0; newer_not_measured: 0; testees: oniguruma_6.9.10_default-caps-simdna,re2_11.0.0_default-caps-simdna,re2_11.0.0_longest-caps-simdna,tre_0.9.0_default-caps-simdna,vectorscan_5.4.11_block-nosom-nocaps-simd
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	oniguruma_6.9.10_default-caps-simdna	re2_11.0.0_default-caps-simdna	re2_11.0.0_longest-caps-simdna	tre_0.9.0_default-caps-simdna	vectorscan_5.4.11_block-nosom-nocaps-simd
capability@0.1	balanced-parens-rec					refused	unsup	unsup	unsup	unsup
capability@0.1	base10num-near-miss	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	98.6	1.000000	2.900059	2.885811	120079.004623	1.701180
capability@0.1	base10num-near-miss	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	2045.9	3.822687	1.986041	1.991438	9.165987	1.000000
capability@0.1	bracket-array-define	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	93.6	1.000000	unsup	unsup	unsup	unsup
capability@0.1	bracket-array-define	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	2915.5	1.000000	unsup	unsup	unsup	unsup
capability@0.1	codegrammar-flat	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	121417.2	80.183405	18.417571	18.426676	525.283007	1.000000
capability@0.1	codegrammar-flat	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	2464.5	2.288775	3.119519	3.118486	9.715995	1.000000
capability@0.1	codegrammar-xflag	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	121260.2	80.230325	unsup	unsup	unsup	1.000000
capability@0.1	codegrammar-xflag	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	2463.2	2.288993	unsup	unsup	unsup	1.000000
capability@0.1	currency-lookbehind-fixed	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	9600379.3	1.000000	unsup	unsup	unsup	unsup
capability@0.1	currency-lookbehind-fixed	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	17465.4	1.000000	unsup	unsup	unsup	unsup
capability@0.1	date-nested-plus	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	94.8	1.000000	3.009440	3.036791	91655.052765	1.760785
