# reporter: v17 (2026-09-17); filters: subbench=capability, version=0.1, since=2026-09-18T03:00:00Z, until=2026-09-18T06:00:00Z, testee=re2_11.0.0_default-caps-simdna, testee=re2_11.0.0_longest-caps-simdna, testee=oniguruma_6.9.10_default-caps-simdna, testee=tre_0.9.0_default-caps-simdna, testee=vectorscan_5.4.11_block-nosom-nocaps-simd; source: store/index.tsv (5 record(s) matching this query); records: 5; excluded_invalid: 0; superseded: 0; newer_not_measured: 0; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.6; grain: subject; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.4 X13 (pre-flight + trial agreement) on 5; mixed_x13: False; include_provenance: False; worst_other_core_busy: 76.52% (vectorscan_5.4.11_block-nosom-nocaps-simd / wild-semdiv-altorder-foo-foobar-rustregex / large-subject-throughput); floor_pattern: floor-byte
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						capability@0.1__oniguruma_6.9.10_default-caps-simdna__budu-ryzen1600__20260918T040233Z				agreement	agree (0 of 123 groups; 0 of 4831 rows; 5 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__re2_11.0.0_default-caps-simdna__budu-ryzen1600__20260918T033345Z				agreement	agree (0 of 77 groups; 0 of 3037 rows; 5 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__re2_11.0.0_longest-caps-simdna__budu-ryzen1600__20260918T052217Z				agreement	agree (0 of 77 groups; 0 of 3034 rows; 8 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__tre_0.9.0_default-caps-simdna__budu-ryzen1600__20260918T043931Z				agreement	agree (0 of 79 groups; 0 of 3142 rows; 56 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__vectorscan_5.4.11_block-nosom-nocaps-simd__budu-ryzen1600__20260918T045924Z				agreement	agree (0 of 80 groups; 1 of 3118 rows; 2 unjudged; k=1.5, 2/3; 5 trials)						
rank	base10num-near-miss	br-doubled-word	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.776986	5	1.0000	0	0		
rank	base10num-near-miss	br-doubled-word	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	25.093424	5	1.0000	0	0		
rank	base10num-near-miss	br-doubled-word	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	median_ns	25.106677	5	1.0000	0	0		
rank	base10num-near-miss	br-doubled-word	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	median_ns	32.178247	5	1.0000	0	0		
rank	base10num-near-miss	br-doubled-word	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	median_ns	210.143581	5	1.0000	0	0		
rank	base10num-near-miss	br-dup-param	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.789425	5	1.0000	0	0		
rank	base10num-near-miss	br-dup-param	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	25.087994	5	1.0000	0	0		
rank	base10num-near-miss	br-dup-param	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	median_ns	25.298459	5	1.0000	0	0		
rank	base10num-near-miss	br-dup-param	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	median_ns	31.777056	5	1.0000	0	0		
rank	base10num-near-miss	br-dup-param	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	median_ns	176.514991	5	1.0000	0	0		
rank	base10num-near-miss	br-palindrome	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	1	median_ns	40.993856	5	1.0000	0	0		
rank	base10num-near-miss	br-palindrome	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	2	median_ns	41.405388	5	1.0000	0	0		
rank	base10num-near-miss	br-palindrome	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	3	median_ns	44.373869	5	1.0000	0	0		
rank	base10num-near-miss	br-palindrome	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	4	median_ns	235.541428	5	1.0000	0	0		
rank	base10num-near-miss	br-palindrome	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	5	median_ns	272.341293	5	1.0000	0	0		
rank	base10num-near-miss	br-quoted-delim	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.782347	5	1.0000	0	0		
rank	base10num-near-miss	br-quoted-delim	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	25.390411	5	1.0000	0	0		
rank	base10num-near-miss	br-quoted-delim	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	median_ns	25.467434	5	1.0000	0	0		
rank	base10num-near-miss	br-quoted-delim	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	median_ns	31.842723	5	1.0000	0	0		
rank	base10num-near-miss	br-quoted-delim	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	median_ns	209.386407	5	1.0000	0	0		
rank	base10num-near-miss	br-tag-mismatch	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.783530	5	1.0000	0	0		
rank	base10num-near-miss	br-tag-mismatch	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	2	median_ns	32.220601	5	1.0000	0	0		
rank	base10num-near-miss	br-tag-mismatch	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	median_ns	90.239587	5	1.0000	0	0		
rank	base10num-near-miss	br-tag-mismatch	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	4	median_ns	90.368091	5	1.0000	0	0		
rank	base10num-near-miss	br-tag-mismatch	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	median_ns	242.711356	5	1.0000	0	0		
rank	base10num-near-miss	br-tag-pair	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.776933	5	1.0000	0	0		
rank	base10num-near-miss	br-tag-pair	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	2	median_ns	32.187790	5	1.0000	0	0		
rank	base10num-near-miss	br-tag-pair	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	3	median_ns	90.507002	5	1.0000	0	0		
rank	base10num-near-miss	br-tag-pair	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	4	median_ns	90.705414	5	1.0000	0	0		
rank	base10num-near-miss	br-tag-pair	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	median_ns	235.591352	5	1.0000	0	0		
rank	base10num-near-miss	cg-array-begin	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.775265	5	1.0000	0	0		
rank	base10num-near-miss	cg-array-begin	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	2	median_ns	26.020465	5	1.0000	0	0		
rank	base10num-near-miss	cg-array-begin	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	3	median_ns	26.022399	5	1.0000	0	0		
rank	base10num-near-miss	cg-array-begin	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	median_ns	30.646937	5	1.0000	0	0		
rank	base10num-near-miss	cg-array-begin	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	median_ns	83.137674	5	1.0000	0	0		
rank	base10num-near-miss	cg-constant	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.778822	5	1.0000	0	0		
rank	base10num-near-miss	cg-constant	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	25.086453	5	1.0000	0	0		
rank	base10num-near-miss	cg-constant	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	median_ns	25.095760	5	1.0000	0	0		
rank	base10num-near-miss	cg-constant	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	median_ns	31.700172	5	1.0000	0	0		
rank	base10num-near-miss	cg-constant	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	median_ns	104.707640	5	1.0000	0	0		
rank	base10num-near-miss	cg-key-colon	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.783317	5	1.0000	0	0		
rank	base10num-near-miss	cg-key-colon	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	25.395639	5	1.0000	0	0		
rank	base10num-near-miss	cg-key-colon	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	median_ns	25.423466	5	1.0000	0	0		
rank	base10num-near-miss	cg-key-colon	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	median_ns	32.260318	5	1.0000	0	0		
rank	base10num-near-miss	cg-key-colon	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	median_ns	143.072117	5	1.0000	0	0		
rank	base10num-near-miss	cg-number	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	28.178612	5	1.0000	0	0		
rank	base10num-near-miss	cg-number	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	48.322312	5	1.0000	0	0		
rank	base10num-near-miss	cg-number	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	median_ns	48.366769	5	1.0000	0	0		
rank	base10num-near-miss	cg-number	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	4	median_ns	234.913612	5	1.0000	0	0		
rank	base10num-near-miss	cg-number	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	5	median_ns	378.889800	5	1.0000	0	0		
rank	base10num-near-miss	cg-object-begin	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.775899	5	1.0000	0	0		
rank	base10num-near-miss	cg-object-begin	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	2	median_ns	25.424865	5	1.0000	0	0		
rank	base10num-near-miss	cg-object-begin	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	3	median_ns	25.428097	5	1.0000	0	0		
rank	base10num-near-miss	cg-object-begin	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	median_ns	30.818001	5	1.0000	0	0		
rank	base10num-near-miss	cg-object-begin	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	median_ns	83.456866	5	1.0000	0	0		
rank	base10num-near-miss	cg-string-escape	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.780117	5	1.0000	0	0		
rank	base10num-near-miss	cg-string-escape	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	2	median_ns	26.031539	5	1.0000	0	0		
rank	base10num-near-miss	cg-string-escape	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	3	median_ns	26.247354	5	1.0000	0	0		
rank	base10num-near-miss	cg-string-escape	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	median_ns	32.115638	5	1.0000	0	0		
rank	base10num-near-miss	cg-string-escape	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	median_ns	91.397027	5	1.0000	0	0		
rank	base10num-near-miss	dt-iso8601	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	23.264951	5	1.0000	0	0		
rank	base10num-near-miss	dt-iso8601	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	101.672574	5	1.0000	0	0		
rank	base10num-near-miss	dt-iso8601	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	median_ns	102.159875	5	1.0000	0	0		
rank	base10num-near-miss	dt-iso8601	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	median_ns	314.357848	5	1.0000	0	0		
rank	base10num-near-miss	dt-iso8601	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	median_ns	315.734783	5	1.0000	0	0		
rank	base10num-near-miss	dt-prose-month	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.808701	5	1.0000	0	0		
rank	base10num-near-miss	dt-prose-month	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	2	median_ns	25.104906	5	1.0000	0	0		
rank	base10num-near-miss	dt-prose-month	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	3	median_ns	25.109751	5	1.0000	0	0		
rank	base10num-near-miss	dt-prose-month	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	median_ns	32.094771	5	1.0000	0	0		
rank	base10num-near-miss	dt-prose-month	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	median_ns	193.121856	5	1.0000	0	0		
rank	base10num-near-miss	floor-hit	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.779031	5	1.0000	0	0		
rank	base10num-near-miss	floor-hit	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	2	median_ns	25.406147	5	1.0000	0	0		
rank	base10num-near-miss	floor-hit	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	3	median_ns	25.499257	5	1.0000	0	0		
rank	base10num-near-miss	floor-hit	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	median_ns	30.726570	5	1.0000	0	0		
rank	base10num-near-miss	floor-hit	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	median_ns	82.520760	5	1.0000	0	0		
rank	base10num-near-miss	la-currency	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.778638	5	1.0000	0	0		
rank	base10num-near-miss	la-currency	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	25.403342	5	1.0000	0	0		
rank	base10num-near-miss	la-currency	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	median_ns	25.420424	5	1.0000	0	0		
rank	base10num-near-miss	la-currency	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	4	median_ns	165.597689	5	1.0000	0	0		
rank	base10num-near-miss	la-currency	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	5	median_ns	247.021572	5	1.0000	0	0		
rank	base10num-near-miss	la-email-dotdot	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.777134	5	1.0000	0	0		
rank	base10num-near-miss	la-email-dotdot	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	25.088342	5	1.0000	0	0		
rank	base10num-near-miss	la-email-dotdot	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	median_ns	25.095949	5	1.0000	0	0		
rank	base10num-near-miss	la-email-dotdot	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	median_ns	31.692875	5	1.0000	0	0		
rank	base10num-near-miss	la-email-dotdot	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	median_ns	165.618610	5	1.0000	0	0		
rank	base10num-near-miss	la-email-nodup	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.778834	5	1.0000	0	0		
rank	base10num-near-miss	la-email-nodup	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	25.095926	5	1.0000	0	0		
rank	base10num-near-miss	la-email-nodup	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	median_ns	25.100614	5	1.0000	0	0		
rank	base10num-near-miss	la-email-nodup	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	median_ns	31.791181	5	1.0000	0	0		
rank	base10num-near-miss	la-email-nodup	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	median_ns	157.135521	5	1.0000	0	0		
rank	base10num-near-miss	la-float-bound	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.780270	5	1.0000	0	0		
rank	base10num-near-miss	la-float-bound	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	25.090914	5	1.0000	0	0		
rank	base10num-near-miss	la-float-bound	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	median_ns	25.094902	5	1.0000	0	0		
rank	base10num-near-miss	la-float-bound	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	median_ns	31.792624	5	1.0000	0	0		
rank	base10num-near-miss	la-float-bound	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	median_ns	193.801138	5	1.0000	0	0		
rank	base10num-near-miss	la-float-dotted	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.773645	5	1.0000	0	0		
rank	base10num-near-miss	la-float-dotted	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	25.089757	5	1.0000	0	0		
rank	base10num-near-miss	la-float-dotted	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	median_ns	25.103750	5	1.0000	0	0		
rank	base10num-near-miss	la-float-dotted	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	4	median_ns	159.096093	5	1.0000	0	0		
rank	base10num-near-miss	la-float-dotted	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	5	median_ns	247.496292	5	1.0000	0	0		
rank	base10num-near-miss	la-negation-hit	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.781481	5	1.0000	0	0		
rank	base10num-near-miss	la-negation-hit	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	2	median_ns	31.807488	5	1.0000	0	0		
rank	base10num-near-miss	la-negation-hit	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	3	median_ns	90.333305	5	1.0000	0	0		
rank	base10num-near-miss	la-negation-hit	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	4	median_ns	90.489911	5	1.0000	0	0		
rank	base10num-near-miss	la-negation-hit	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	median_ns	241.899667	5	1.0000	0	0		
rank	base10num-near-miss	la-negation-miss	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.781429	5	1.0000	0	0		
rank	base10num-near-miss	la-negation-miss	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	2	median_ns	31.684314	5	1.0000	0	0		
rank	base10num-near-miss	la-negation-miss	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	3	median_ns	90.181553	5	1.0000	0	0		
rank	base10num-near-miss	la-negation-miss	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	4	median_ns	90.348342	5	1.0000	0	0		
rank	base10num-near-miss	la-negation-miss	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	median_ns	278.739701	5	1.0000	0	0		
rank	base10num-near-miss	la-pwd-strong	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.783526	5	1.0000	0	0		
rank	base10num-near-miss	la-pwd-strong	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	25.087812	5	1.0000	0	0		
rank	base10num-near-miss	la-pwd-strong	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	median_ns	25.433714	5	1.0000	0	0		
rank	base10num-near-miss	la-pwd-strong	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	median_ns	31.635250	5	1.0000	0	0		
rank	base10num-near-miss	la-pwd-strong	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	median_ns	151.752998	5	1.0000	0	0		
rank	base10num-near-miss	la-pwd-weak	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.783161	5	1.0000	0	0		
rank	base10num-near-miss	la-pwd-weak	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	25.091556	5	1.0000	0	0		
