# reporter: v18 (2026-09-18); filters: subbench=capability, version=0.1, since=2026-09-18T03:00:00Z, until=2026-09-18T06:00:00Z, testee=re2_11.0.0_default-caps-simdna, testee=re2_11.0.0_longest-caps-simdna, testee=oniguruma_6.9.10_default-caps-simdna, testee=tre_0.9.0_default-caps-simdna, testee=vectorscan_5.4.11_block-nosom-nocaps-simd; source: store/index.tsv (5 record(s) matching this query); records: 5; excluded_invalid: 0; superseded: 0; newer_not_measured: 0; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.6; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.4 X13 (pre-flight + trial agreement) on 5; mixed_x13: False; include_provenance: False; worst_other_core_busy: 76.52% (vectorscan_5.4.11_block-nosom-nocaps-simd / wild-semdiv-altorder-foo-foobar-rustregex / large-subject-throughput); floor_pattern: floor-byte
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						capability@0.1__oniguruma_6.9.10_default-caps-simdna__budu-ryzen1600__20260918T040233Z				agreement	agree (0 of 123 groups; 0 of 4831 rows; 5 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__re2_11.0.0_default-caps-simdna__budu-ryzen1600__20260918T033345Z				agreement	agree (0 of 77 groups; 0 of 3037 rows; 5 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__re2_11.0.0_longest-caps-simdna__budu-ryzen1600__20260918T052217Z				agreement	agree (0 of 77 groups; 0 of 3034 rows; 8 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__tre_0.9.0_default-caps-simdna__budu-ryzen1600__20260918T043931Z				agreement	agree (0 of 79 groups; 0 of 3142 rows; 56 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__vectorscan_5.4.11_block-nosom-nocaps-simd__budu-ryzen1600__20260918T045924Z				agreement	agree (0 of 80 groups; 1 of 3118 rows; 2 unjudged; k=1.5, 2/3; 5 trials)						
baseline	base10num-near-miss	(set)	large-subject-throughput			oniguruma_6.9.10_default-caps-simdna				baseline_identity	row-best-fallback					oniguruma_6.9.10_default-caps-simdna (row-best fallback -- interp absent from this group)	
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	1	median_ns	98.645688	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	1	min_ns	96.165794	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	1	max_ns	99.620299	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	1	stddev_ns	1.406882	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	1	ratio_vs_baseline	1.000000	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	1	ratio_vs_best	1.000000	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	2	median_ns	167.814055	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	2	min_ns	167.700067	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	2	max_ns	170.676735	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	2	stddev_ns	1.154306	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	2	ratio_vs_baseline	1.701180	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	2	ratio_vs_best	1.701180	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	median_ns	284.672795	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	min_ns	284.397004	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	max_ns	287.476522	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	stddev_ns	1.167352	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	ratio_vs_baseline	2.885811	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	ratio_vs_best	2.885811	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	4	median_ns	286.078336	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	4	min_ns	284.616840	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	4	max_ns	286.880212	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	4	stddev_ns	0.758582	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	4	ratio_vs_baseline	2.900059	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	4	ratio_vs_best	2.900059	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	median_ns	11845276.045455	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	min_ns	11812971.772727	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	max_ns	11862771.136364	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	stddev_ns	17777.935433	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	ratio_vs_baseline	120079.004623	3	1.0000	0	0		
rank	base10num-near-miss	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	ratio_vs_best	120079.004623	3	1.0000	0	0		
baseline	base10num-near-miss	(set)	short-subject-search			vectorscan_5.4.11_block-nosom-nocaps-simd				baseline_identity	row-best-fallback					vectorscan_5.4.11_block-nosom-nocaps-simd (row-best fallback -- interp absent from this group)	
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	2045.892942	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	min_ns	2044.800367	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	max_ns	2051.335865	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	stddev_ns	2.488179	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	ratio_vs_baseline	1.000000	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	ratio_vs_best	1.000000	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	4063.227331	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	min_ns	4060.916569	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	max_ns	4188.569398	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	stddev_ns	50.309371	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	ratio_vs_baseline	1.986041	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	ratio_vs_best	1.986041	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	median_ns	4074.269692	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	min_ns	4061.890011	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	max_ns	4144.148460	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	stddev_ns	29.862551	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	ratio_vs_baseline	1.991438	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	ratio_vs_best	1.991438	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	median_ns	7820.807829	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	min_ns	7793.391060	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	max_ns	8921.480925	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	stddev_ns	439.231116	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	ratio_vs_baseline	3.822687	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	ratio_vs_best	3.822687	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	median_ns	18752.628513	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	min_ns	18606.572424	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	max_ns	19026.684391	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	stddev_ns	153.292869	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	ratio_vs_baseline	9.165987	75	1.0000	0	0		
rank	base10num-near-miss	(set)	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	ratio_vs_best	9.165987	75	1.0000	0	0		
baseline	bracket-array-define	(set)	large-subject-throughput			oniguruma_6.9.10_default-caps-simdna				baseline_identity	row-best-fallback					oniguruma_6.9.10_default-caps-simdna (row-best fallback -- interp absent from this group)	
rank	bracket-array-define	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	1	median_ns	93.612381	3	1.0000	0	0		
rank	bracket-array-define	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	1	min_ns	93.481178	3	1.0000	0	0		
rank	bracket-array-define	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	1	max_ns	94.037949	3	1.0000	0	0		
rank	bracket-array-define	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	1	stddev_ns	0.196090	3	1.0000	0	0		
rank	bracket-array-define	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	1	ratio_vs_baseline	1.000000	3	1.0000	0	0		
rank	bracket-array-define	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	1	ratio_vs_best	1.000000	3	1.0000	0	0		
baseline	bracket-array-define	(set)	short-subject-search			oniguruma_6.9.10_default-caps-simdna				baseline_identity	row-best-fallback					oniguruma_6.9.10_default-caps-simdna (row-best fallback -- interp absent from this group)	
rank	bracket-array-define	(set)	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	1	median_ns	2915.489615	75	1.0000	0	0		
rank	bracket-array-define	(set)	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	1	min_ns	2905.899974	75	1.0000	0	0		
rank	bracket-array-define	(set)	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	1	max_ns	2938.817256	75	1.0000	0	0		
rank	bracket-array-define	(set)	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	1	stddev_ns	11.423958	75	1.0000	0	0		
rank	bracket-array-define	(set)	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	1	ratio_vs_baseline	1.000000	75	1.0000	0	0		
rank	bracket-array-define	(set)	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	1	ratio_vs_best	1.000000	75	1.0000	0	0		
baseline	codegrammar-flat	(set)	large-subject-throughput			vectorscan_5.4.11_block-nosom-nocaps-simd				baseline_identity	row-best-fallback					vectorscan_5.4.11_block-nosom-nocaps-simd (row-best fallback -- interp absent from this group)	
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	121417.224128	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	min_ns	121195.358052	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	max_ns	121618.514665	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	stddev_ns	137.506459	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	ratio_vs_baseline	1.000000	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	ratio_vs_best	1.000000	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	2236210.289855	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	min_ns	2235095.086957	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	max_ns	2247883.724638	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	stddev_ns	4756.352998	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	ratio_vs_baseline	18.417571	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	ratio_vs_best	18.417571	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	median_ns	2237315.838235	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	min_ns	2236202.161765	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	max_ns	2247920.750000	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	stddev_ns	4278.311806	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	ratio_vs_baseline	18.426676	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	re2_11.0.0_longest-caps-simdna	measured	pinned	3	ratio_vs_best	18.426676	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	median_ns	9735646.500000	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	min_ns	9613981.142857	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	max_ns	9806489.392857	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	stddev_ns	77809.753389	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	ratio_vs_baseline	80.183405	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	4	ratio_vs_best	80.183405	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	median_ns	63778404.600000	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	min_ns	63649370.000000	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	max_ns	64735844.200000	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	stddev_ns	406183.904210	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	ratio_vs_baseline	525.283007	3	1.0000	0	0		
rank	codegrammar-flat	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	5	ratio_vs_best	525.283007	3	1.0000	0	0		
baseline	codegrammar-flat	(set)	short-subject-search			vectorscan_5.4.11_block-nosom-nocaps-simd				baseline_identity	row-best-fallback					vectorscan_5.4.11_block-nosom-nocaps-simd (row-best fallback -- interp absent from this group)	
rank	codegrammar-flat	(set)	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	2464.479629	75	1.0000	0	0		
rank	codegrammar-flat	(set)	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	min_ns	2458.824446	75	1.0000	0	0		
rank	codegrammar-flat	(set)	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	max_ns	2467.139055	75	1.0000	0	0		
rank	codegrammar-flat	(set)	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	stddev_ns	3.283526	75	1.0000	0	0		
rank	codegrammar-flat	(set)	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	ratio_vs_baseline	1.000000	75	1.0000	0	0		
rank	codegrammar-flat	(set)	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	ratio_vs_best	1.000000	75	1.0000	0	0		
rank	codegrammar-flat	(set)	short-subject-search	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	2	median_ns	5640.639029	75	1.0000	0	0		
