# reporter: v24 (2026-09-26); filters: subbench=capability, version=0.1, since=2026-09-18T06:00:00Z, until=2026-09-19T05:00:00Z, testee=re2_11.0.0_default-caps-simdna, testee=tre_0.9.0_default-caps-simdna, testee=vectorscan_5.4.11_block-nosom-nocaps-simd; source: store/index.tsv (3 record(s) matching this query); records: 3; excluded_invalid: 0; superseded: 0; newer_not_measured: 0; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.6; grain: subject; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.4 X13 (pre-flight + trial agreement) on 3; mixed_x13: False; include_provenance: False; worst_other_core_busy: 33.33% (re2_11.0.0_default-caps-simdna / logparse-atomic-removed / large-subject-throughput); floor_pattern: floor-byte
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict	capture_class
record						capability@0.1__re2_11.0.0_default-caps-simdna__budu-ryzen1600__20260919T032209Z				agreement	agree (0 of 77 groups; 0 of 3037 rows; 5 unjudged; k=1.5, 2/3; 5 trials)							
record						capability@0.1__tre_0.9.0_default-caps-simdna__budu-ryzen1600__20260919T033612Z				agreement	agree (0 of 79 groups; 0 of 3142 rows; 56 unjudged; k=1.5, 2/3; 5 trials)							
record						capability@0.1__vectorscan_5.4.11_block-nosom-nocaps-simd__budu-ryzen1600__20260919T035552Z				agreement	agree (0 of 80 groups; 0 of 3118 rows; 2 unjudged; k=1.5, 2/3; 5 trials)							
baseline	base10num-near-miss	br-doubled-word	short-subject-search			vectorscan_5.4.11_block-nosom-nocaps-simd				baseline_identity	row-best-fallback					vectorscan_5.4.11_block-nosom-nocaps-simd (row-best fallback -- interp absent from this group)		
rank	base10num-near-miss	br-doubled-word	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.788166	5	1.0000	0	0			no
rank	base10num-near-miss	br-doubled-word	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	25.096293	5	1.0000	0	0			yes
rank	base10num-near-miss	br-doubled-word	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	3	median_ns	207.870120	5	1.0000	0	0			yes
baseline	base10num-near-miss	br-dup-param	short-subject-search			vectorscan_5.4.11_block-nosom-nocaps-simd				baseline_identity	row-best-fallback					vectorscan_5.4.11_block-nosom-nocaps-simd (row-best fallback -- interp absent from this group)		
rank	base10num-near-miss	br-dup-param	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.829461	5	1.0000	0	0			no
rank	base10num-near-miss	br-dup-param	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	25.106520	5	1.0000	0	0			yes
rank	base10num-near-miss	br-dup-param	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	3	median_ns	174.362146	5	1.0000	0	0			yes
baseline	base10num-near-miss	br-palindrome	short-subject-search			re2_11.0.0_default-caps-simdna				baseline_identity	row-best-fallback					re2_11.0.0_default-caps-simdna (row-best fallback -- interp absent from this group)		
rank	base10num-near-miss	br-palindrome	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	1	median_ns	40.877183	5	1.0000	0	0			yes
rank	base10num-near-miss	br-palindrome	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	2	median_ns	44.509905	5	1.0000	0	0			no
rank	base10num-near-miss	br-palindrome	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	3	median_ns	234.227804	5	1.0000	0	0			yes
baseline	base10num-near-miss	br-quoted-delim	short-subject-search			vectorscan_5.4.11_block-nosom-nocaps-simd				baseline_identity	row-best-fallback					vectorscan_5.4.11_block-nosom-nocaps-simd (row-best fallback -- interp absent from this group)		
rank	base10num-near-miss	br-quoted-delim	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.783190	5	1.0000	0	0			no
rank	base10num-near-miss	br-quoted-delim	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	25.430576	5	1.0000	0	0			yes
rank	base10num-near-miss	br-quoted-delim	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	3	median_ns	208.935394	5	1.0000	0	0			yes
baseline	base10num-near-miss	br-tag-mismatch	short-subject-search			vectorscan_5.4.11_block-nosom-nocaps-simd				baseline_identity	row-best-fallback					vectorscan_5.4.11_block-nosom-nocaps-simd (row-best fallback -- interp absent from this group)		
rank	base10num-near-miss	br-tag-mismatch	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.807422	5	1.0000	0	0			no
rank	base10num-near-miss	br-tag-mismatch	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	90.507655	5	1.0000	0	0			yes
rank	base10num-near-miss	br-tag-mismatch	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	3	median_ns	242.793590	5	1.0000	0	0			yes
baseline	base10num-near-miss	br-tag-pair	short-subject-search			vectorscan_5.4.11_block-nosom-nocaps-simd				baseline_identity	row-best-fallback					vectorscan_5.4.11_block-nosom-nocaps-simd (row-best fallback -- interp absent from this group)		
rank	base10num-near-miss	br-tag-pair	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.781088	5	1.0000	0	0			no
rank	base10num-near-miss	br-tag-pair	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	90.495686	5	1.0000	0	0			yes
rank	base10num-near-miss	br-tag-pair	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	3	median_ns	233.088432	5	1.0000	0	0			yes
baseline	base10num-near-miss	cg-array-begin	short-subject-search			vectorscan_5.4.11_block-nosom-nocaps-simd				baseline_identity	row-best-fallback					vectorscan_5.4.11_block-nosom-nocaps-simd (row-best fallback -- interp absent from this group)		
rank	base10num-near-miss	cg-array-begin	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.794799	5	1.0000	0	0			no
rank	base10num-near-miss	cg-array-begin	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	26.049736	5	1.0000	0	0			yes
rank	base10num-near-miss	cg-array-begin	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	3	median_ns	82.320889	5	1.0000	0	0			yes
baseline	base10num-near-miss	cg-constant	short-subject-search			vectorscan_5.4.11_block-nosom-nocaps-simd				baseline_identity	row-best-fallback					vectorscan_5.4.11_block-nosom-nocaps-simd (row-best fallback -- interp absent from this group)		
rank	base10num-near-miss	cg-constant	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.780398	5	1.0000	0	0			no
rank	base10num-near-miss	cg-constant	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	25.109940	5	1.0000	0	0			yes
rank	base10num-near-miss	cg-constant	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	3	median_ns	103.138626	5	1.0000	0	0			yes
baseline	base10num-near-miss	cg-key-colon	short-subject-search			vectorscan_5.4.11_block-nosom-nocaps-simd				baseline_identity	row-best-fallback					vectorscan_5.4.11_block-nosom-nocaps-simd (row-best fallback -- interp absent from this group)		
rank	base10num-near-miss	cg-key-colon	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	19.786586	5	1.0000	0	0			no
rank	base10num-near-miss	cg-key-colon	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	2	median_ns	25.475479	5	1.0000	0	0			yes
rank	base10num-near-miss	cg-key-colon	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	3	median_ns	141.946936	5	1.0000	0	0			yes
baseline	base10num-near-miss	cg-number	short-subject-search			vectorscan_5.4.11_block-nosom-nocaps-simd				baseline_identity	row-best-fallback					vectorscan_5.4.11_block-nosom-nocaps-simd (row-best fallback -- interp absent from this group)		
rank	base10num-near-miss	cg-number	short-subject-search	plain	same program	vectorscan_5.4.11_block-nosom-nocaps-simd	measured	pinned	1	median_ns	28.170144	5	1.0000	0	0			no
