# reporter: v24 (2026-09-26); filters: subbench=capability, version=0.1, since=2026-09-18T06:00:00Z, until=2026-09-19T05:00:00Z, testee=re2_11.0.0_default-caps-simdna, testee=tre_0.9.0_default-caps-simdna, testee=vectorscan_5.4.11_block-nosom-nocaps-simd; source: store/index.tsv (3 record(s) matching this query); records: 3; excluded_invalid: 0; superseded: 0; newer_not_measured: 0; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.6; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.4 X13 (pre-flight + trial agreement) on 3; mixed_x13: False; include_provenance: False; worst_other_core_busy: 33.33% (re2_11.0.0_default-caps-simdna / logparse-atomic-removed / large-subject-throughput); floor_pattern: floor-byte
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						capability@0.1__re2_11.0.0_default-caps-simdna__budu-ryzen1600__20260919T032209Z				agreement	agree (0 of 77 groups; 0 of 3037 rows; 5 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__tre_0.9.0_default-caps-simdna__budu-ryzen1600__20260919T033612Z				agreement	agree (0 of 79 groups; 0 of 3142 rows; 56 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__vectorscan_5.4.11_block-nosom-nocaps-simd__budu-ryzen1600__20260919T035552Z				agreement	agree (0 of 80 groups; 0 of 3118 rows; 2 unjudged; k=1.5, 2/3; 5 trials)						
baseline_yes	base10num-near-miss	(set)	large-subject-throughput			re2_11.0.0_default-caps-simdna				baseline_identity	row-best-fallback					re2_11.0.0_default-caps-simdna (row-best fallback -- interp absent from this group)	
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	1	median_ns	284.922137	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	1	min_ns	283.344114	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	1	max_ns	287.610428	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	1	stddev_ns	1.798445	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	1	ratio_vs_baseline	1.000000	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	1	ratio_vs_best	1.000000	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	2	median_ns	11842838.782609	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	2	min_ns	11797877.260870	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	2	max_ns	11924289.173913	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	2	stddev_ns	44904.527452	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	2	ratio_vs_baseline	41565.176096	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	2	ratio_vs_best	41565.176096	3	1.0000	0	0		
baseline_yes	base10num-near-miss	(set)	short-subject-search			re2_11.0.0_default-caps-simdna				baseline_identity	row-best-fallback					re2_11.0.0_default-caps-simdna (row-best fallback -- interp absent from this group)	
rank_yes	base10num-near-miss	(set)	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	1	median_ns	4066.211348	75	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	1	min_ns	4061.933320	75	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	1	max_ns	4067.049050	75	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	1	stddev_ns	1.867842	75	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	1	ratio_vs_baseline	1.000000	75	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	1	ratio_vs_best	1.000000	75	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	2	median_ns	18605.505632	75	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	2	min_ns	18486.116916	75	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	2	max_ns	18804.969414	75	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	2	stddev_ns	106.939147	75	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	2	ratio_vs_baseline	4.575637	75	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	short-subject-search	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	2	ratio_vs_best	4.575637	75	1.0000	0	0		
baseline_yes	codegrammar-flat	(set)	large-subject-throughput			re2_11.0.0_default-caps-simdna				baseline_identity	row-best-fallback					re2_11.0.0_default-caps-simdna (row-best fallback -- interp absent from this group)	
rank_yes	codegrammar-flat	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	1	median_ns	2237627.318841	3	1.0000	0	0		
rank_yes	codegrammar-flat	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	1	min_ns	2236493.985507	3	1.0000	0	0		
rank_yes	codegrammar-flat	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	1	max_ns	2241591.681159	3	1.0000	0	0		
rank_yes	codegrammar-flat	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	1	stddev_ns	1835.701993	3	1.0000	0	0		
rank_yes	codegrammar-flat	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	1	ratio_vs_baseline	1.000000	3	1.0000	0	0		
rank_yes	codegrammar-flat	(set)	large-subject-throughput	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	1	ratio_vs_best	1.000000	3	1.0000	0	0		
rank_yes	codegrammar-flat	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	2	median_ns	63969063.600000	3	1.0000	0	0		
rank_yes	codegrammar-flat	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	2	min_ns	63711186.400000	3	1.0000	0	0		
rank_yes	codegrammar-flat	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	2	max_ns	65136253.400000	3	1.0000	0	0		
rank_yes	codegrammar-flat	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	2	stddev_ns	524881.815370	3	1.0000	0	0		
rank_yes	codegrammar-flat	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	2	ratio_vs_baseline	28.587899	3	1.0000	0	0		
rank_yes	codegrammar-flat	(set)	large-subject-throughput	plain	same program	tre_0.9.0_default-caps-simdna	measured	pinned	2	ratio_vs_best	28.587899	3	1.0000	0	0		
baseline_yes	codegrammar-flat	(set)	short-subject-search			re2_11.0.0_default-caps-simdna				baseline_identity	row-best-fallback					re2_11.0.0_default-caps-simdna (row-best fallback -- interp absent from this group)	
rank_yes	codegrammar-flat	(set)	short-subject-search	plain	same program	re2_11.0.0_default-caps-simdna	measured	pinned	1	median_ns	7689.960782	75	1.0000	0	0		
